Keyword;Class;EID;Year;Highly Cited;North Africa;OA;Journal Article
convolutional neural network;computer science;2-s2.0-85084656133;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85084656133;2020;True;True;True;True
machine learning;computer science;2-s2.0-85084656133;2020;True;True;True;True
deep learning;computer science;2-s2.0-85087655069;2020;True;True;False;True
feature extraction;computer science;2-s2.0-85087655069;2020;True;True;False;True
deep learning;computer science;2-s2.0-85076119250;2020;True;True;True;False
COVID-19;medicine;2-s2.0-85088226654;2020;True;True;True;True
deep learning;computer science;2-s2.0-85088226654;2020;True;True;True;True
forecasting;other;2-s2.0-85088226654;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85127509397;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85092457474;2020;True;True;True;True
deep learning;computer science;2-s2.0-85092457474;2020;True;True;True;True
machine learning;computer science;2-s2.0-85088916811;2020;True;True;False;True
deep learning;computer science;2-s2.0-85085621199;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85088622312;2020;True;True;True;True
deep learning;computer science;2-s2.0-85088622312;2020;True;True;True;True
machine learning;computer science;2-s2.0-85088622312;2020;True;True;True;True
deep learning;computer science;2-s2.0-85097512478;2020;True;True;False;False
COVID-19;medicine;2-s2.0-85093947069;2020;True;True;True;True
deep learning;computer science;2-s2.0-85075265982;2020;True;True;False;True
transfer learning;computer science;2-s2.0-85075265982;2020;True;True;False;True
convolutional neural network;computer science;2-s2.0-85093822512;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85093822512;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85090405236;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85090405236;2020;True;True;True;True
deep learning;computer science;2-s2.0-85090405236;2020;True;True;True;True
machine learning;computer science;2-s2.0-85052648478;2020;True;True;False;False
deep learning;computer science;2-s2.0-85083366479;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85089359084;2020;True;True;True;False
COVID-19;medicine;2-s2.0-85089359084;2020;True;True;True;False
machine learning;computer science;2-s2.0-85089359084;2020;True;True;True;False
artificial intelligence;computer science;2-s2.0-85085730116;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85085730116;2020;True;True;True;True
deep learning;computer science;2-s2.0-85085730116;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85078697900;2020;True;False;False;True
deep learning;computer science;2-s2.0-85078697900;2020;True;False;False;True
convolutional neural network;computer science;2-s2.0-85085154586;2020;True;True;True;True
