Keyword;Class;EID;Year;Highly Cited;North Africa;OA;Journal Article
convolutional neural network;STEM;2-s2.0-85084656133;2020;True;True;True;True
COVID-19;Biomedicine;2-s2.0-85084656133;2020;True;True;True;True
machine learning;STEM;2-s2.0-85084656133;2020;True;True;True;True
deep learning;STEM;2-s2.0-85087655069;2020;True;True;False;True
feature extraction;STEM;2-s2.0-85087655069;2020;True;True;False;True
deep learning;STEM;2-s2.0-85076119250;2020;True;True;True;False
COVID-19;Biomedicine;2-s2.0-85088226654;2020;True;True;True;True
deep learning;STEM;2-s2.0-85088226654;2020;True;True;True;True
forecasting;Other;2-s2.0-85088226654;2020;True;True;True;True
COVID-19;Biomedicine;2-s2.0-85127509397;2020;True;True;True;True
COVID-19;Biomedicine;2-s2.0-85092457474;2020;True;True;True;True
deep learning;STEM;2-s2.0-85092457474;2020;True;True;True;True
machine learning;STEM;2-s2.0-85088916811;2020;True;True;False;True
deep learning;STEM;2-s2.0-85085621199;2020;True;True;True;True
COVID-19;Biomedicine;2-s2.0-85088622312;2020;True;True;True;True
deep learning;STEM;2-s2.0-85088622312;2020;True;True;True;True
machine learning;STEM;2-s2.0-85088622312;2020;True;True;True;True
deep learning;STEM;2-s2.0-85097512478;2020;True;True;False;False
COVID-19;Biomedicine;2-s2.0-85093947069;2020;True;True;True;True
deep learning;STEM;2-s2.0-85075265982;2020;True;True;False;True
transfer learning;STEM;2-s2.0-85075265982;2020;True;True;False;True
convolutional neural network;STEM;2-s2.0-85093822512;2020;True;True;True;True
COVID-19;Biomedicine;2-s2.0-85093822512;2020;True;True;True;True
convolutional neural network;STEM;2-s2.0-85090405236;2020;True;True;True;True
COVID-19;Biomedicine;2-s2.0-85090405236;2020;True;True;True;True
deep learning;STEM;2-s2.0-85090405236;2020;True;True;True;True
machine learning;STEM;2-s2.0-85052648478;2020;True;True;False;False
deep learning;STEM;2-s2.0-85083366479;2020;True;True;True;True
artificial intelligence;STEM;2-s2.0-85089359084;2020;True;True;True;False
COVID-19;Biomedicine;2-s2.0-85089359084;2020;True;True;True;False
machine learning;STEM;2-s2.0-85089359084;2020;True;True;True;False
artificial intelligence;STEM;2-s2.0-85085730116;2020;True;True;True;True
convolutional neural network;STEM;2-s2.0-85085730116;2020;True;True;True;True
deep learning;STEM;2-s2.0-85085730116;2020;True;True;True;True
artificial intelligence;STEM;2-s2.0-85078697900;2020;True;False;False;True
deep learning;STEM;2-s2.0-85078697900;2020;True;False;False;True
convolutional neural network;STEM;2-s2.0-85085154586;2020;True;True;True;True
deep learning;STEM;2-s2.0-85085154586;2020;True;True;True;True
machine learning;STEM;2-s2.0-85075540575;2020;True;True;False;True
deep learning;STEM;2-s2.0-85085353964;2020;True;True;True;True
convolutional neural network;STEM;2-s2.0-85088599682;2020;True;True;True;True
deep learning;STEM;2-s2.0-85088599682;2020;True;True;True;True
transfer learning;STEM;2-s2.0-85088599682;2020;True;True;True;True
machine learning;STEM;2-s2.0-85077746216;2020;True;True;False;True
COVID-19;Biomedicine;2-s2.0-85101867177;2020;True;True;True;True
deep learning;STEM;2-s2.0-85101867177;2020;True;True;True;True
artificial intelligence;STEM;2-s2.0-85090163898;2020;True;False;True;False
COVID-19;Biomedicine;2-s2.0-85090163898;2020;True;False;True;False
convolutional neural network;STEM;2-s2.0-85067701488;2020;True;False;False;True
deep learning;STEM;2-s2.0-85067701488;2020;True;False;False;True
