Title;EID;DOI;DocumentType;Year;Category
Electrocardiogram heartbeat classification based on a deep convolutional neural network and focal loss;2-s2.0-85087720372;10.1016/j.compbiomed.2020.103866;Article;2020;angiology
Heart disease classification using data mining tools and machine learning techniques;2-s2.0-85085543182;10.1007/s12553-020-00438-1;Article;2020;angiology
A novel medical diagnosis support system for predicting patients with atherosclerosis diseases;2-s2.0-85097438509;10.1016/j.imu.2020.100483;Article;2020;angiology
A Hybrid Approach for Heart Disease Diagnosis and Prediction Using Machine Learning Techniques;2-s2.0-85087750131;10.1007/978-3-030-51517-1_26;Conference Paper;2020;angiology
Atherosclerosis disease prediction using Supervised Machine Learning Techniques;2-s2.0-85085520742;10.1109/IRASET48871.2020.9092082;Conference Paper;2020;angiology
Detection of Cardiac Arrhythmias from Varied Length Multichannel Electrocardiogram Recordings Using Deep Convolutional Neural Networks;2-s2.0-85100933346;10.22489/CinC.2020.339;Conference Paper;2020;angiology
Automated rheumatic heart disease detection from phonocardiogram in cardiology ward;2-s2.0-85083704813;;Conference Paper;2020;angiology
IMED: Ubiquitous healthcare platform for chronic patients;2-s2.0-85100544390;10.1109/DASA51403.2020.9317281;Conference Paper;2020;angiology
A remote medical monitoring system based on data mining;2-s2.0-85089951983;10.1109/CCSSP49278.2020.9151713;Conference Paper;2020;angiology
An overview of cardiovascular disease infection: A comparative analysis of boosting algorithms and some single based classifiers;2-s2.0-85097285450;10.3233/SJI-190609;Article;2020;angiology
Twitter Based Classification for Personal and Non-personal Heart Disease Claims;2-s2.0-85093083744;10.1007/978-3-030-59506-7_21;Conference Paper;2020;angiology
Flower pollination algorithm and multilayer perceptron artificial neural network for heart disease feature selection and classification;2-s2.0-85081101093;;Conference Paper;2020;angiology
A Multitier Deep Learning Model for Arrhythmia Detection;2-s2.0-85098332137;10.1109/TIM.2020.3033072;Article;2021;angiology
A systematic literature review on obesity: Understanding the causes & consequences of obesity and reviewing various machine learning approaches used to predict obesity;2-s2.0-85112757441;10.1016/j.compbiomed.2021.104754;Review;2021;angiology
Improvement in automated diagnosis of soft tissues tumors using machine learning;2-s2.0-85099579159;10.26599/BDMA.2020.9020023;Article;2021;angiology
DeepMI: Deep multi-lead ECG fusion for identifying myocardial infarction and its occurrence-time;2-s2.0-85118505491;10.1016/j.artmed.2021.102192;Article;2021;angiology
Risk Factors and Comorbidities Associated to Cardiovascular Disease in Qatar: A Machine Learning Based Case-Control Study;2-s2.0-85100930619;10.1109/ACCESS.2021.3059469;Article;2021;angiology
Air-pollution prediction in smart city, deep learning approach;2-s2.0-85121478645;10.1186/s40537-021-00548-1;Article;2021;angiology
Automated cardiac segmentation of cross-modal medical images using unsupervised multi-domain adaptation and spatial neural attention structure;2-s2.0-85108649670;10.1016/j.media.2021.102135;Article;2021;angiology
A systematic mapping study for ensemble classification methods in cardiovascular disease;2-s2.0-85091735819;10.1007/s10462-020-09914-6;Article;2021;angiology
Multirate processing with selective subbands and machine learning for efficient arrhythmia classificationâ€ ;2-s2.0-85101176437;10.3390/s21041511;Article;2021;angiology
DIAGNOSIS OF METABOLIC SYNDROME USING MACHINE LEARNING, STATISTICAL AND RISK QUANTIFICATION TECHNIQUES: A SYSTEMATIC LITERATURE REVIEW;2-s2.0-85112844683;10.22452/mjcs.vol34no3.1;Article;2021;angiology
Real-Time System Prediction for Heart Rate Using Deep Learning and Stream Processing Platforms;2-s2.0-85102234376;10.1155/2021/5535734;Article;2021;angiology
Convolutional Denoising Auto-Encoder Based AWGN Removal from ECG Signal;2-s2.0-85116627586;10.1109/INISTA52262.2021.9548524;Conference Paper;2021;angiology
Towards Application of Machine Learning in Classification and Prediction of Heart Disease;2-s2.0-85116696390;10.1109/ICESC51422.2021.9532940;Conference Paper;2021;angiology
Decision-support tools via mobile devices to improve quality of care in primary healthcare settings;2-s2.0-85111459388;10.1002/14651858.CD012944.pub2;Article;2021;angiology
Data and Machine Learning Fusion Architecture for Cardiovascular Disease Prediction;2-s2.0-85110707849;10.32604/cmc.2021.019013;Article;2021;angiology
Automatic diagnosis of common carotid artery disease using different machine learning techniques;2-s2.0-85105861117;10.1007/s12652-021-03295-6;Article;2021;angiology
Optimal Length of Heart Rate Variability Data and Forecasting Time for Ventricular Fibrillation Prediction Using Machine Learning;2-s2.0-85103624040;10.1155/2021/6663996;Article;2021;angiology
Machine learning-based identification of patients with a cardiovascular defect;2-s2.0-85117379933;10.1186/s40537-021-00524-9;Article;2021;angiology
Cardiovascular disease recognition based on heartbeat segmentation and selection process;2-s2.0-85117127358;10.3390/ijerph182010952;Article;2021;angiology
A new smart healthcare framework for real-time heart disease detection based on deep and machine learning;2-s2.0-85112838561;10.7717/PEERJ-CS.646;Article;2021;angiology
Big Health Data: Cardiovascular Disease Prevention Using Big Data and Machine Learning;2-s2.0-85107358485;10.1007/978-3-030-72065-0_17;Book Chapter;2021;angiology
Predicting risk of stroke from lab tests using machine learning algorithms: Development and evaluation of prediction models;2-s2.0-85121460631;10.2196/23440;Article;2021;angiology
Multi-model deep learning ensemble for ECG heartbeat arrhythmia classification;2-s2.0-85099296901;10.23919/Eusipco47968.2020.9287520;Conference Paper;2021;angiology
Majority-Vote over Multiple ECG Segments for Risk Assessment (MOMESRA): A Machine Learning Approach for Predicting Cardiovascular Events;2-s2.0-85123728650;10.1109/BIBE52308.2021.9635281;Conference Paper;2021;angiology
Optimization: Molecular Communication Networks for Viral Disease Analysis Using Deep Leaning Autoencoder;2-s2.0-85122528216;10.1155/2021/9949328;Article;2021;angiology
Literature Review: Overview of Cancer Treatment and Prediction Approaches Based on Machine Learning;2-s2.0-85104727505;10.1007/978-3-030-14939-0_10;Book Chapter;2021;angiology
Anomaly Detection in Health Insurance Claims Using Bayesian Quantile Regression;2-s2.0-85102296107;10.1155/2021/6667671;Article;2021;angiology
Multi-Label Active Learning-Based Machine Learning Model for Heart Disease Prediction;2-s2.0-85123934462;10.3390/s22031184;Article;2022;angiology
P Wave Parameters and Indices: A Critical Appraisal of Clinical Utility, Challenges, and Future Researchâ€”A Consensus Document Endorsed by the International Society of Electrocardiology and the International Society for Holter and Noninvasive Electrocardiology;2-s2.0-85128800370;10.1161/CIRCEP.121.010435;Review;2022;angiology
ONTOLOGY-BASED DECISION TREE MODEL FOR PREDICTION OF CARDIOVASCULAR DISEASE;2-s2.0-85132901885;10.21817/indjcse/2022/v13i3/221303143;Article;2022;angiology
A deep learning-based cardio-vascular disease diagnosis system;2-s2.0-85124659476;10.11591/ijeecs.v25.i2.pp963-971;Article;2022;angiology
Automated tool detection with deep learning for monitoring kinematics and eye-hand coordination in microsurgery;2-s2.0-85121965606;10.1016/j.compbiomed.2021.105121;Article;2022;angiology
Machine Learning: Assisted Cardiovascular Diseases Diagnosis;2-s2.0-85126773623;10.14569/IJACSA.2022.0130216;Article;2022;angiology
Automating and improving cardiovascular disease prediction using Machine learning and EMR data features from a regional healthcare system;2-s2.0-85129508005;10.1016/j.ijmedinf.2022.104786;Article;2022;angiology
Advanced Echocardiography Techniques: The Future Stethoscope of Systemic Diseases;2-s2.0-85105793662;10.1016/j.cpcardiol.2021.100847;Review;2022;angiology
The role of adiposity, diet and inflammation on the discordance between LDL-C and apolipoprotein B;2-s2.0-85124189177;10.1016/j.numecd.2021.12.004;Article;2022;angiology
Clinical Data Analysis for Prediction of Cardiovascular Disease Using Machine Learning Techniques;2-s2.0-85123656684;10.1155/2022/2973324;Article;2022;angiology
A multi-variate heart disease optimization and recognition framework;2-s2.0-85129699010;10.1007/s00521-022-07241-1;Article;2022;angiology
Artificial Intelligence for Cardiac Diseases Diagnosis and Prediction Using ECG Images on Embedded Systems;2-s2.0-85137373954;10.3390/biomedicines10082013;Article;2022;angiology
An approach to detect human body movement using different channel models and machine learning techniques;2-s2.0-85104809004;10.1007/s12652-021-03237-2;Article;2022;angiology
A Machine Learning Based Discharge Prediction of Cardiovascular Diseases Patients in Intensive Care Units;2-s2.0-85131379397;10.3390/healthcare10060966;Article;2022;angiology
Machine learning for coronary artery calcification detection and labeling using only native computer tomography;2-s2.0-85119292342;10.1007/s13246-021-01080-5;Article;2022;angiology
The Impact of Ontology on the Prediction of Cardiovascular Disease Compared to Machine Learning Algorithms;2-s2.0-85137644833;10.3991/ijoe.v18i11.32647;Article;2022;angiology
Towards AI Based Diagnosis of Rheumatic Heart Disease: Data Annotation and View Classification;2-s2.0-85137525522;10.23919/IST-Africa56635.2022.9845657;Conference Paper;2022;angiology
ECG-Based Heartbeat Classification forÂ Arrhythmia Detection Using Artificial Neural Networks;2-s2.0-85135089094;10.1007/978-3-031-10450-3_20;Conference Paper;2022;angiology
Detection of Biliary Artesia using Sonographic Gallbladder Images with the help of Deep Learning approaches;2-s2.0-85134339309;10.1109/CoDIT55151.2022.9804084;Conference Paper;2022;angiology
Combining machine learning and artery characterization to identify the main bifurcations in 3D vascular trees;2-s2.0-85132023114;10.1117/12.2605459;Conference Paper;2022;angiology
Integration of Machine Learning andÂ Optimization Techniques forÂ Cardiac Health Recognition;2-s2.0-85131811533;10.1007/978-3-030-99079-4_6;Book Chapter;2022;angiology
Implementation of a Heart Disease Risk Prediction Model Using Machine Learning;2-s2.0-85130383354;10.1155/2022/6517716;Article;2022;angiology
ResNet-50 for 12-Lead Electrocardiogram Automated Diagnosis;2-s2.0-85129977235;10.1155/2022/7617551;Article;2022;angiology
Machine Learning Based Mobile Applications for Cardiovascular Diseases (CVDs);2-s2.0-85128651172;10.1007/978-3-031-03918-8_14;Book Chapter;2022;angiology
Arithmetic Optimization Algorithm with Explainable Artificial Intelligence Technique for Biomedical Signal Analysis;2-s2.0-85128166649;10.1007/978-981-19-1476-8_9;Book Chapter;2022;angiology
Predicting Chronic Kidney Disease Using Hybrid Machine Learning Based on Apache Spark;2-s2.0-85125845772;10.1155/2022/9898831;Article;2022;angiology
Automated Cardioailment Identification and Prevention by Hybrid Machine Learning Models;2-s2.0-85125316052;10.1155/2022/9797844;Article;2022;angiology
Towards Predicting the Risk of Cardiovascular Disease Using Machine Learning Approach;2-s2.0-85122596903;10.1007/978-3-030-93709-6_33;Conference Paper;2022;angiology
Automatic Spatio-Temporal Deep Learning-Based Approach for Cardiac Cine MRI Segmentation;2-s2.0-85116855617;10.1007/978-981-16-3637-0_5;Conference Paper;2022;angiology
Phenotypic Clustering of Left Ventricular Diastolic Function Parameters: Patterns and Prognostic Relevance;2-s2.0-85045348351;10.1016/j.jcmg.2018.02.005;Article;2019;angiology
Design and clinical validation of a point-of-care device for the diagnosis of lymphoma via contrast-enhanced microholography and machine learning;2-s2.0-85050530041;10.1038/s41551-018-0265-3;Article;2018;angiology
Classification and Prediction of atherosclerosis diseases using machine learning algorithms;2-s2.0-85068035816;10.1109/ICOA.2019.8727688;Conference Paper;2019;angiology
How Haptics and Drawing Enhance the Learning of Anatomy;2-s2.0-85052648707;10.1002/ase.1807;Article;2019;angiology
Machine learning in electrocardiogram diagnosis;2-s2.0-78649757623;10.1109/IMCSIT.2009.5352689;Conference Paper;2009;angiology
Identification of Cardiovascular Diseases Using Machine Learning;2-s2.0-85077971728;10.1109/CMT.2019.8931411;Conference Paper;2019;angiology
Hybrid system for lymphatic diseases diagnosis;2-s2.0-84891923396;10.1109/ICACCI.2013.6637195;Conference Paper;2013;angiology
Learning anatomy through dissection: Perceptions of a diverse medical student cohort [Aprendizaje de la AnatomÃ­a a TravÃ©s de DisecciÃ³n: PercepciÃ³n de una Amplia Cohorte de Estudiantes de Medicina];2-s2.0-84927669246;10.4067/S0717-95022015000100015;Article;2015;angiology
Remote sensing observation of annual dust cycles and possible causality of Kawasaki disease outbreaks in Japan;2-s2.0-85064668818;10.21542/gcsp.2017.22;Article;2017;angiology
Multiscale Graph Cuts Based Method for Coronary Artery Segmentation in Angiograms;2-s2.0-85019415415;10.1016/j.irbm.2017.04.004;Article;2017;angiology
Automatic diagnosis metabolic syndrome via a kâˆ’nearest neighbour classifier;2-s2.0-85019243929;10.1007/978-3-319-57186-7_45;Conference Paper;2017;angiology
Afibpred: A novel atrial fibrillation prediction approach based on short single-lead ECG using deep transfer knowledge;2-s2.0-85117540533;10.1145/3372938.3372964;Conference Paper;2019;angiology
Diagnosis of metabolic syndrome: A diversity based hybrid model;2-s2.0-84978986156;10.1007/978-3-319-41920-6_14;Conference Paper;2016;angiology
Robust and reliable PPG and ECG integrated biosensor;2-s2.0-85079245402;10.1109/ISPA48434.2019.8966922;Conference Paper;2019;angiology
Application of Koniocortex-Like Networks to Cardiac Arrhythmias Classification;2-s2.0-85065963665;10.1007/978-3-030-19651-6_26;Conference Paper;2019;angiology
