Title;EID;DOI;DocumentType;Year;Category
A smart healthcare monitoring system for heart disease prediction based on ensemble deep learning and feature fusion;2-s2.0-85087655069;10.1016/j.inffus.2020.06.008;Article;2020;cardiology
Detection of myocardial infarction based on novel deep transfer learning methods for urban healthcare in smart cities;2-s2.0-85083366479;10.1007/s11042-020-08769-x;Article;2020;cardiology
Generalization of Convolutional Neural Networks for ECG Classification Using Generative Adversarial Networks;2-s2.0-85080894221;10.1109/ACCESS.2020.2974712;Article;2020;cardiology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;cardiology
Electrocardiogram heartbeat classification based on a deep convolutional neural network and focal loss;2-s2.0-85087720372;10.1016/j.compbiomed.2020.103866;Article;2020;cardiology
Cardiac substructure segmentation with deep learning for improved cardiac sparing;2-s2.0-85077871944;10.1002/mp.13940;Article;2020;cardiology
Heart disease classification using data mining tools and machine learning techniques;2-s2.0-85085543182;10.1007/s12553-020-00438-1;Article;2020;cardiology
Improved sparse autoencoder based artificial neural network approach for prediction of heart disease;2-s2.0-85080984540;10.1016/j.imu.2020.100307;Article;2020;cardiology
Heart disease identification from patientsâ€™ social posts, machine learning solution on Spark;2-s2.0-85073818817;10.1016/j.future.2019.09.056;Article;2020;cardiology
Integrating Artificial and Human Intelligence: A Partnership for Responsible Innovation in Biomedical Engineering and Medicine;2-s2.0-85084721758;10.1089/omi.2019.0038;Review;2020;cardiology
Data preprocessing for heart disease classification: A systematic literature review.;2-s2.0-85087500300;10.1016/j.cmpb.2020.105635;Review;2020;cardiology
Medical Diagnostic Systems Using Artificial Intelligence (AI) Algorithms: Principles and Perspectives;2-s2.0-85097951867;10.1109/ACCESS.2020.3042273;Article;2020;cardiology
A novel medical diagnosis support system for predicting patients with atherosclerosis diseases;2-s2.0-85097438509;10.1016/j.imu.2020.100483;Article;2020;cardiology
A Hybrid Approach for Heart Disease Diagnosis and Prediction Using Machine Learning Techniques;2-s2.0-85087750131;10.1007/978-3-030-51517-1_26;Conference Paper;2020;cardiology
Supervised machine learning based medical diagnosis support system for prediction of patients with heart disease;2-s2.0-85092798039;10.25046/AJ050533;Article;2020;cardiology
Atherosclerosis disease prediction using Supervised Machine Learning Techniques;2-s2.0-85085520742;10.1109/IRASET48871.2020.9092082;Conference Paper;2020;cardiology
Integrating enhanced sparse autoencoder-based artificial neural network technique and softmax regression for medical diagnosis;2-s2.0-85096523004;10.3390/electronics9111963;Article;2020;cardiology
Implementing Artificial Intelligence and Digital Health in Resource-Limited Settings? Top 10 Lessons We Learned in Congenital Heart Defects and Cardiology;2-s2.0-85078330919;10.1089/omi.2019.0142;Article;2020;cardiology
Deep Learning-Based Approach for Atrial Fibrillation Detection;2-s2.0-85087778670;10.1007/978-3-030-51517-1_9;Conference Paper;2020;cardiology
An End-to-End Multi-Level Wavelet Convolutional Neural Networks for heart diseases diagnosis;2-s2.0-85089814880;10.1016/j.neucom.2020.07.056;Article;2020;cardiology
Prediction of Patients with Heart Disease using Artificial Neural Network and Adaptive Boosting techniques;2-s2.0-85093645755;10.1109/CommNet49926.2020.9199620;Conference Paper;2020;cardiology
Big data analytics in heart diseases prediction;2-s2.0-85089585486;;Article;2020;cardiology
Diagnosis and precise localization of cardiomegaly disease using U-NET;2-s2.0-85082621768;10.1016/j.imu.2020.100306;Article;2020;cardiology
A Clinical support system for Prediction of Heart Disease using Machine Learning Techniques;2-s2.0-85096626788;10.1109/ATSIP49331.2020.9231760;Conference Paper;2020;cardiology
Heart Diseases Diagnosis based on a Novel Convolution Neural Network and Gate Recurrent Unit Technique;2-s2.0-85091999755;10.1109/ICEENG45378.2020.9171739;Conference Paper;2020;cardiology
Applying Cloud Based Machine Learning on Biosensors Streaming Data for Health Status Prediction;2-s2.0-85099199503;10.1109/IISA50023.2020.9284349;Conference Paper;2020;cardiology
Topology-Aware Generative Adversarial Network for Joint Prediction of Multiple Brain Graphs from a Single Brain Graph;2-s2.0-85092704087;10.1007/978-3-030-59728-3_54;Conference Paper;2020;cardiology
Real-time healthcare monitoring system using online machine learning and spark streaming;2-s2.0-85091950027;10.14569/IJACSA.2020.0110977;Article;2020;cardiology
Does data cleaning improve heart disease prediction?;2-s2.0-85093360090;10.1016/j.procs.2020.09.109;Conference Paper;2020;cardiology
Quantification of left ventricular function in MRI: A review of current approaches;2-s2.0-85096584229;10.1109/ATSIP49331.2020.9231709;Conference Paper;2020;cardiology
ReÐ°l-time heÐ°rt diseÐ°se detection Ð°nd monitoring system bÐ°sed on fÐ°st mÐ°chine leÐ°rning using SpÐ°rk;2-s2.0-85087631314;10.1007/s12553-020-00460-3;Article;2020;cardiology
Improve the Accuracy of Heart Disease Predictions Using Machine Learning and Feature Selection Techniques;2-s2.0-85088210210;10.1007/978-981-15-6318-8_19;Conference Paper;2020;cardiology
Combination of Convolutional and Recurrent Neural Networks for Heartbeat Classification;2-s2.0-85082989242;10.1007/978-3-030-44289-7_34;Conference Paper;2020;cardiology
Detection of Cardiac Arrhythmias from Varied Length Multichannel Electrocardiogram Recordings Using Deep Convolutional Neural Networks;2-s2.0-85100933346;10.22489/CinC.2020.339;Conference Paper;2020;cardiology
Arrhythmias Prediction Using an Hybrid Model Based on Convolutional Neural Network and Nonlinear Regression;2-s2.0-85092550839;10.1142/S1469026820500248;Article;2020;cardiology
Automated rheumatic heart disease detection from phonocardiogram in cardiology ward;2-s2.0-85083704813;;Conference Paper;2020;cardiology
Heart Disease Risk Level Prediction: Knitting Machine Learning Classifiers;2-s2.0-85101175333;10.1109/IMITEC50163.2020.9334141;Conference Paper;2020;cardiology
IMED: Ubiquitous healthcare platform for chronic patients;2-s2.0-85100544390;10.1109/DASA51403.2020.9317281;Conference Paper;2020;cardiology
A remote medical monitoring system based on data mining;2-s2.0-85089951983;10.1109/CCSSP49278.2020.9151713;Conference Paper;2020;cardiology
An overview of cardiovascular disease infection: A comparative analysis of boosting algorithms and some single based classifiers;2-s2.0-85097285450;10.3233/SJI-190609;Article;2020;cardiology
Twitter Based Classification for Personal and Non-personal Heart Disease Claims;2-s2.0-85093083744;10.1007/978-3-030-59506-7_21;Conference Paper;2020;cardiology
Flower pollination algorithm and multilayer perceptron artificial neural network for heart disease feature selection and classification;2-s2.0-85081101093;;Conference Paper;2020;cardiology
A Multitier Deep Learning Model for Arrhythmia Detection;2-s2.0-85098332137;10.1109/TIM.2020.3033072;Article;2021;cardiology
Diagnosis and risk stratification in hypertrophic cardiomyopathy using machine learning wall thickness measurement: a comparison with human test-retest performance;2-s2.0-85098873583;10.1016/S2589-7500(20)30267-3;Article;2021;cardiology
A systematic literature review on obesity: Understanding the causes & consequences of obesity and reviewing various machine learning approaches used to predict obesity;2-s2.0-85112757441;10.1016/j.compbiomed.2021.104754;Review;2021;cardiology
Improving the Accuracy for Analyzing Heart Diseases Prediction Based on the Ensemble Method;2-s2.0-85101507012;10.1155/2021/6663455;Article;2021;cardiology
A new automated CNN deep learning approach for identification of ECG congestive heart failure and arrhythmia using constant-Q non-stationary Gabor transform;2-s2.0-85097331071;10.1016/j.bspc.2020.102326;Article;2021;cardiology
Automatic Diabetic Retinopathy Grading System Based on Detecting Multiple Retinal Lesions;2-s2.0-85099725193;10.1109/ACCESS.2021.3052870;Article;2021;cardiology
Improved heart disease prediction using particle swarm optimization based stacked sparse autoencoder;2-s2.0-85115791077;10.3390/electronics10192347;Article;2021;cardiology
Precision Medicine and cardiac channelopathies: When dreams meet reality;2-s2.0-85107084930;10.1093/eurheartj/ehab007;Review;2021;cardiology
Lifespan Perspective on Congenital Heart Disease Research: JACC State-of-the-Art Review;2-s2.0-85104461635;10.1016/j.jacc.2021.03.012;Review;2021;cardiology
An automated system for ECG arrhythmia detection using machine learning techniques;2-s2.0-85119345465;10.3390/jcm10225450;Article;2021;cardiology
Infectivity upsurge by COVID-19 viral variants in japan: Evidence from deep learning modeling;2-s2.0-85110701277;10.3390/ijerph18157799;Article;2021;cardiology
Automatic cardiac cine MRI segmentation and heart disease classification;2-s2.0-85100171320;10.1016/j.compmedimag.2021.101864;Article;2021;cardiology
Disease-specific variant pathogenicity prediction significantly improves variant interpretation in inherited cardiac conditions;2-s2.0-85092410595;10.1038/s41436-020-00972-3;Article;2021;cardiology
DeepMI: Deep multi-lead ECG fusion for identifying myocardial infarction and its occurrence-time;2-s2.0-85118505491;10.1016/j.artmed.2021.102192;Article;2021;cardiology
Risk Factors and Comorbidities Associated to Cardiovascular Disease in Qatar: A Machine Learning Based Case-Control Study;2-s2.0-85100930619;10.1109/ACCESS.2021.3059469;Article;2021;cardiology
Air-pollution prediction in smart city, deep learning approach;2-s2.0-85121478645;10.1186/s40537-021-00548-1;Article;2021;cardiology
Automated cardiac segmentation of cross-modal medical images using unsupervised multi-domain adaptation and spatial neural attention structure;2-s2.0-85108649670;10.1016/j.media.2021.102135;Article;2021;cardiology
A systematic mapping study for ensemble classification methods in cardiovascular disease;2-s2.0-85091735819;10.1007/s10462-020-09914-6;Article;2021;cardiology
