Title;EID;DOI;DocumentType;Year;Category
Detection Methods of COVID-19;2-s2.0-85091805474;10.1177/2472630320962002;Article;2020;clinical pathology
Temporal pattern detection to predict adverse events in critical care: Case study with acute kidney injury;2-s2.0-85097493496;10.2196/14272;Article;2020;clinical pathology
Diagnosis of hepatitis disease with logistic regression and artificial neural networks;2-s2.0-85087069058;10.3844/JCSSP.2020.364.377;Article;2020;clinical pathology
Predicting the Risk Factor for Developing Chronic Kidney Disease Using a 3-Stage Prediction Model;2-s2.0-85081383346;10.1007/978-3-030-39442-4_46;Conference Paper;2020;clinical pathology
COVID-19 cough classification using machine learning and global smartphone recordings;2-s2.0-85109402269;10.1016/j.compbiomed.2021.104572;Article;2021;clinical pathology
A novel method for COVID-19 diagnosis using artificial intelligence in chest x-ray images;2-s2.0-85105546525;10.3390/healthcare9050522;Article;2021;clinical pathology
Artificial intelligence of toilet (AI-Toilet) for an integrated health monitoring system (IHMS) using smart triboelectric pressure sensors and image sensor;2-s2.0-85115446815;10.1016/j.nanoen.2021.106517;Article;2021;clinical pathology
Artificial flora algorithm-based feature selection with gradient boosted tree model for diabetes classification;2-s2.0-85120658576;10.2147/DMSO.S312787;Article;2021;clinical pathology
Determination of Rifampin Concentrations by Urine Colorimetry and Mobile Phone Readout for Personalized Dosing in Tuberculosis Treatment;2-s2.0-85103608374;10.1093/jpids/piaa024;Article;2021;clinical pathology
HIV care coverage among HIV-positive adolescent girls and young women in South Africa: Results from the HERStory Study;2-s2.0-85105358035;10.7196/SAMJ.2021.v111i5.15351;Article;2021;clinical pathology
A software for thorax images analysis based on deep learning;2-s2.0-85102742386;10.4018/IJOSSP.2021010104;Article;2021;clinical pathology
A Survey on Deep Learning and Machine Learning for COVID-19 Detection;2-s2.0-85128630345;10.1145/3508072.3508094;Conference Paper;2021;clinical pathology
Predicting risk of stroke from lab tests using machine learning algorithms: Development and evaluation of prediction models;2-s2.0-85121460631;10.2196/23440;Article;2021;clinical pathology
Why machine learning integrated patient flow simulation?;2-s2.0-85105868610;10.36819/SW21.041;Conference Paper;2021;clinical pathology
Towards Automatic Diagnosis of the COVID-19 Based on Machine Learning;2-s2.0-85102622610;10.1007/978-3-030-66840-2_95;Conference Paper;2021;clinical pathology
External Validation of a Mobile Clinical Decision Support System for Diarrhea Etiology Prediction in Children: A Multicenter Study in Bangladesh and Mali;2-s2.0-85125602612;10.7554/ELIFE.72294;Article;2022;clinical pathology
Interpretable deep learning for the prediction of ICU admission likelihood and mortality of COVID-19 patients;2-s2.0-85130388556;10.7717/peerj-cs.889;Article;2022;clinical pathology
Prediction of gestational diabetes based on explainable deep learning and fog computing;2-s2.0-85137031939;10.1007/s00500-022-07420-1;Article;2022;clinical pathology
A machine-learning-based prediction method for easy COPD classification based on pulse oximetry clinical use;2-s2.0-85132451207;10.3233/JIFS-219270;Article;2022;clinical pathology
Prediction of liver fibrosis stages by machine learning model: A decision tree approach;2-s2.0-84978437257;10.1109/ICoCS.2015.7483212;Conference Paper;2016;clinical pathology
Machine learning to improve the effectiveness of ANRS in predicting HIV drug resistance;2-s2.0-85045406126;10.4258/hir.2017.23.4.271;Article;2017;clinical pathology
Remote Diagnosis, Maintenance and Prognosis for Advanced Driver Assistance Systems Using Machine Learning Algorithms;2-s2.0-84988896963;10.4271/2016-01-0076;Article;2016;clinical pathology
Seminal quality evaluation with RBF neural network;2-s2.0-85015259074;;Article;2016;clinical pathology
A Fibrosis Diagnosis Clinical Decision Support System Using Fuzzy Knowledge;2-s2.0-85063256311;10.1007/s13369-018-3670-8;Article;2019;clinical pathology
Applying machine learning of erythrocytes dynamic antigens store in medicine;2-s2.0-85065128651;10.3389/fmolb.2019.00019;Article;2019;clinical pathology
