Title;EID;DOI;DocumentType;Year;Category
Using structural MRI to identify bipolar disorders â€“ 13 site machine learning study in 3020 individuals from the ENIGMA Bipolar Disorders Working Group;2-s2.0-85053320480;10.1038/s41380-018-0228-9;Article;2020;clinical psychology
Increased power by harmonizing structural MRI site differences with the ComBat batch adjustment method in ENIGMA;2-s2.0-85086881765;10.1016/j.neuroimage.2020.116956;Article;2020;clinical psychology
Deep learning techniques for automatic detection of embryonic neurodevelopmental disorders;2-s2.0-85078472535;10.3390/diagnostics10010027;Article;2020;clinical psychology
A multi-label learning model for psychotic diseases in Nigeria;2-s2.0-85083880684;10.1016/j.imu.2020.100326;Article;2020;clinical psychology
A mixed deep learning based model to early detection of depression;2-s2.0-85097946595;10.13052/jwe1540-9589.19344;Article;2020;clinical psychology
Deep classifier model for autism spectrum disorder prediction;2-s2.0-85092717393;10.3233/FAIA200560;Conference Paper;2020;clinical psychology
Autopsy, thanatopraxy, cemeteries and crematoria as hotspots of toxic organic contaminants in the funeral industry continuum;2-s2.0-85090293628;10.1016/j.scitotenv.2020.141819;Review;2021;clinical psychology
Application of deep and machine learning techniques for multi-label classification performance on psychotic disorder diseases;2-s2.0-85103372300;10.1016/j.imu.2021.100545;Article;2021;clinical psychology
A robust DWTâ€“CNN-based CAD system for early diagnosis of autism using task-based fMRI;2-s2.0-85102892758;10.1002/mp.14692;Article;2021;clinical psychology
Towards developing a pocket therapist: An intelligent adaptive psychological support chatbot against mental health disorders in a pandemic situation;2-s2.0-85112075661;10.11591/ijeecs.v23.i2.pp1200-1211;Article;2021;clinical psychology
A review of systems biology research of anxiety disorders;2-s2.0-85115084128;10.1590/1516-4446-2020-1090;Article;2021;clinical psychology
From genetics to systems biology of stress-related mental disorders;2-s2.0-85122782043;10.1016/j.ynstr.2021.100393;Article;2021;clinical psychology
EEG signal analysis using deep learning: A systematic literature review;2-s2.0-85123480267;10.1109/ICDS53782.2021.9626707;Conference Paper;2021;clinical psychology
A novel grading system for autism severity level using task-based functional MRI: A response to speech study;2-s2.0-85110807684;10.1109/ACCESS.2021.3097606;Article;2021;clinical psychology
Applying machine learning on home videos for remote autism diagnosis: Further study and analysis;2-s2.0-85101472406;10.1177/1460458221991882;Article;2021;clinical psychology
Big Data in Psychiatry & Neurology;2-s2.0-85128105954;10.1016/B978-0-12-822884-5.09992-X;Book;2021;clinical psychology
CairoDep: Detecting Depression in Arabic Posts Using BERT Transformers;2-s2.0-85127085178;10.1109/ICICIS52592.2021.9694178;Conference Paper;2021;clinical psychology
Classifying Severity Level of Psychiatric Symptoms on Twitter Data;2-s2.0-85125339007;10.1109/ICT4DA53266.2021.9672228;Conference Paper;2021;clinical psychology
Assessment of Lifestyle and Mental Health: Case Study of the FST Beni Mellal;2-s2.0-85111146472;10.1007/978-3-030-76508-8_7;Conference Paper;2021;clinical psychology
Autism spectrum disorder prediction by an explainable deep learning approach;2-s2.0-85118644392;10.32604/cmc.2022.022170;Article;2022;clinical psychology
The prevalence of feeding and eating disorders symptomology in medical students: an updated systematic review, meta-analysis, and meta-regression;2-s2.0-85123462569;10.1007/s40519-021-01351-w;Review;2022;clinical psychology
Analyzing the Patient Behavior for Improving the Medical Treatment Using Smart Healthcare and IoT-Based Deep Belief Network;2-s2.0-85126852529;10.1155/2022/6389069;Article;2022;clinical psychology
Employing Machine Learning-Based Predictive Analytical Approaches to Classify Autism Spectrum Disorder Types;2-s2.0-85123749598;10.1155/2022/8134018;Article;2022;clinical psychology
SMAD: SMart assistant during and after a medical emergency case based on deep learning sentiment analysis: The pandemic COVID-19 case;2-s2.0-85129690989;10.1007/s10586-022-03601-7;Article;2022;clinical psychology
Comparing automated and non-automated machine learning for autism spectrum disorders classification using facial images;2-s2.0-85126866164;10.4218/etrij.2021-0097;Article;2022;clinical psychology
Mental Health Intent Recognition for Arabic-Speaking Patients Using the Mini International Neuropsychiatric Interview (MINI) and BERT Model;2-s2.0-85123055371;10.3390/s22030846;Article;2022;clinical psychology
Autism Spectrum Disorder (ASD) Detection Using Machine Learning Algorithms;2-s2.0-85134181253;10.1007/978-3-031-09593-1_18;Conference Paper;2022;clinical psychology
An Hybrid Deep Learning Approach for Prediction and Binary Classification of Studentâ€™s Stress;2-s2.0-85133227292;10.1007/978-3-031-08277-1_26;Conference Paper;2022;clinical psychology
Optimization of Mental Health-Related Critical Barriers in IoT-Based Teaching Methodology;2-s2.0-85127872832;10.1155/2022/4602072;Article;2022;clinical psychology
How well can post-traumatic stress disorder be predicted from pre-trauma risk factors? An exploratory study in the WHO World Mental Health Surveys;2-s2.0-84908086547;10.1002/wps.20150;Article;2014;clinical psychology
ENIGMA and the individual: Predicting factors that affect the brain in 35 countries worldwide;2-s2.0-84975760946;10.1016/j.neuroimage.2015.11.057;Article;2017;clinical psychology
Problematic internet use as an age-related multifaceted problem: Evidence from a two-site survey;2-s2.0-85042214615;10.1016/j.addbeh.2018.02.017;Article;2018;clinical psychology
Characterization of Post-traumatic Stress Disorder Using Resting-State fMRI with a Multi-level Parametric Classification Approach;2-s2.0-84932610622;10.1007/s10548-014-0386-2;Article;2015;clinical psychology
Machine Learning and Semantic Sentiment Analysis based Algorithms for Suicide Sentiment Prediction in Social Networks;2-s2.0-85033461596;10.1016/j.procs.2017.08.290;Conference Paper;2017;clinical psychology
Candidate gene networks and blood biomarkers of methamphetamine-associated psychosis: an integrative RNA-sequencing report;2-s2.0-85016119798;10.1038/TP.2016.67;Article;2016;clinical psychology
A Novel Deep Learning Approach for Recognizing Stereotypical Motor Movements within and across Subjects on the Autism Spectrum Disorder;2-s2.0-85050932398;10.1155/2018/7186762;Article;2018;clinical psychology
The design of a psychotherapy remote intelligent system;2-s2.0-84995581765;;Article;2016;clinical psychology
Investigating autism etiology and heterogeneity by decision tree algorithm;2-s2.0-85073706372;10.1016/j.imu.2019.100215;Article;2019;clinical psychology
Systematic review of blood transcriptome profiling in neuropsychiatric disorders: guidelines for biomarker discovery;2-s2.0-84988447800;10.1002/hup.2546;Review;2016;clinical psychology
Modelling PTSD diagnosis using sleep, memory, and adrenergic metabolites: An exploratory machine-learning study;2-s2.0-85061994920;10.1002/hup.2691;Article;2019;clinical psychology
Overlaps in brain dynamic functional connectivity between schizophrenia and autism spectrum disorder;2-s2.0-85065246536;10.1016/j.sciaf.2018.e00019;Article;2019;clinical psychology
Automatic detection of stereotyped movements in autistic children using the Kinect sensor;2-s2.0-85061204583;10.1504/IJBET.2019.097621;Article;2019;clinical psychology
Integrated multisystem analysis in a mental health and criminal justice ecosystem;2-s2.0-85016017924;10.1186/s40352-017-0049-y;Article;2017;clinical psychology
PANDA: Paediatric attention-deficit/hyperactivity disorder app;2-s2.0-85048400394;10.1109/SAIBMEC.2018.8363190;Conference Paper;2018;clinical psychology
A Model for Inebriation Recognition in Humans Using Computer Vision;2-s2.0-85068118271;10.1007/978-3-030-20485-3_20;Conference Paper;2019;clinical psychology
IQ and EQ Enhancement for People with Mental Illness;2-s2.0-85063032534;10.1007/978-3-030-11935-5_19;Conference Paper;2019;clinical psychology
Psychological named entity recognition from psychological Arabic texts;2-s2.0-85060151671;10.1504/IJMSO.2017.090758;Article;2017;clinical psychology
