Title;EID;DOI;DocumentType;Year;Category
A novel hybrid machine learning classification for the detection of bruxism patients using physiological signals;2-s2.0-85094600641;10.3390/app10217410;Article;2020;dentistry
Detecting dental problem related brain disease using intelligent bacterial optimized associative deep neural network;2-s2.0-85083381752;10.1007/s10586-020-03104-3;Article;2020;dentistry
Dental Images' Segmentation Using Threshold Connected Component Analysis;2-s2.0-85122379675;10.1155/2021/2921508;Article;2021;dentistry
Mitigating preconception in machine learning classifiers;2-s2.0-85119421282;10.1109/ICECCME52200.2021.9591043;Conference Paper;2021;dentistry
Automated Dental Diagnosis using Deep Learning;2-s2.0-85125305122;10.1109/ICCES54031.2021.9686185;Conference Paper;2021;dentistry
Predicting the spread of COVID-19 with a machine learning technique and multiplicative calculus;2-s2.0-85127725203;10.1007/s00500-022-06996-y;Article;2022;dentistry
The local ternary pattern encoderâ€“decoder neural network for dental image segmentation;2-s2.0-85124539922;10.1049/ipr2.12416;Article;2022;dentistry
A Survey of Dental Caries Segmentation and Detection Techniques;2-s2.0-85128634075;10.1155/2022/8415705;Review;2022;dentistry
Automatic Spatio-Temporal Deep Learning-Based Approach for Cardiac Cine MRI Segmentation;2-s2.0-85116855617;10.1007/978-981-16-3637-0_5;Conference Paper;2022;dentistry
Maintaining patient oral health by using a xeno-genetic spiking neural network;2-s2.0-85058450264;10.1007/s12652-018-1166-8;Article in Press;2018;dentistry
Evaluation of respiratory properties by means of fractional order models;2-s2.0-85013635455;10.1016/j.bspc.2017.02.006;Review;2017;dentistry
Detection of dental diseases from radiographic 2d dental image using hybrid graph-cut technique and convolutional neural network;2-s2.0-85068189738;10.1016/j.measurement.2019.06.014;Article;2019;dentistry
