Title;EID;DOI;DocumentType;Year;Category
Deep learning-based system for automatic melanoma detection;2-s2.0-85078315682;10.1109/ACCESS.2019.2962812;Article;2020;dermatology
Melanoma skin cancer detection using deep learning and classical machine learning techniques: A hybrid approach;2-s2.0-85096595498;10.1109/ATSIP49331.2020.9231544;Conference Paper;2020;dermatology
Accuracy and efficiency of an artificial intelligence tool when counting breast mitoses;2-s2.0-85087471414;10.1186/s13000-020-00995-z;Article;2020;dermatology
Breast tumor segmentation in ultrasound images using contextual-information-aware deep adversarial learning framework;2-s2.0-85089563637;10.1016/j.eswa.2020.113870;Article;2020;dermatology
Fairness of Classifiers Across Skin Tones in Dermatology;2-s2.0-85092762846;10.1007/978-3-030-59725-2_31;Conference Paper;2020;dermatology
eNose breath prints as a surrogate biomarker for classifying patients with asthma by atopy;2-s2.0-85088219111;10.1016/j.jaci.2020.05.038;Article;2020;dermatology
Semantic segmentation of diabetic foot ulcer images: Dealing with small dataset in dl approaches;2-s2.0-85088749626;10.1007/978-3-030-51935-3_17;Conference Paper;2020;dermatology
Computer assisted medical decision-making system using genetic algorithm and extreme learning machine for diagnosing allergic rhinitis;2-s2.0-85096615126;10.1504/IJBIC.2020.111279;Article;2020;dermatology
Fully Automated Approach for Early Detection of Pigmented Skin Lesion Diagnosis Using ABCD;2-s2.0-85088159975;10.1007/s41666-020-00067-3;Article;2020;dermatology
Segmentation of plantar foot thermal images: Application to diabetic foot diagnosis;2-s2.0-85089159312;10.1109/IWSSIP48289.2020.9145167;Conference Paper;2020;dermatology
Combined Datasets for Breast Cancer Grading Based on Multi-CNN Architectures;2-s2.0-85099272967;10.1109/IPTA50016.2020.9286653;Conference Paper;2020;dermatology
Machine learning for breast cancer classification using K-star algorithm;2-s2.0-85091678490;10.18576/amis/140513;Article;2020;dermatology
Clustering-Based Deep Brain MultiGraph Integrator Network for Learning Connectional Brain Templates;2-s2.0-85093102517;10.1007/978-3-030-60365-6_11;Conference Paper;2020;dermatology
Computer-aided diagnosis of melanoma: A review of existing knowledge and strategies;2-s2.0-85091096300;10.2174/1573405615666191210104141;Review;2020;dermatology
MobileNet Neural Network skin disease detector with Raspberry pi Integrated to Telegram;2-s2.0-85092067068;10.1109/icABCD49160.2020.9183888;Conference Paper;2020;dermatology
Macroscopic Skin Lesion Segmentation Using GrabCut;2-s2.0-85097556029;10.1007/978-3-030-63007-2_41;Conference Paper;2020;dermatology
Deep convolutional neural network with tensorflow and keras to classify skin cancer images;2-s2.0-85088915848;10.12694:/scpe.v21i3.1725;Article;2020;dermatology
Breast cancer detection in thermal images using extreme learning machine;2-s2.0-85081614195;10.3233/JIFS-179553;Article;2020;dermatology
Machine learning reveals that Mycobacterium tuberculosis genotypes and anatomic disease site impacts drug resistance and disease transmission among patients with proven extra-pulmonary tuberculosis;2-s2.0-85088906161;10.1186/s12879-020-05256-4;Article;2020;dermatology
Deep learning techniques for skin lesion analysis and melanoma cancer detection: a survey of state-of-the-art;2-s2.0-85087368605;10.1007/s10462-020-09865-y;Article;2021;dermatology
Deep learning with backtracking search optimization based skin lesion diagnosis model;2-s2.0-85114555037;10.32604/cmc.2022.018396;Article;2021;dermatology
How artificial intelligence may help the Covid-19 pandemic: Pitfalls and lessons for the future;2-s2.0-85097737527;10.1002/rmv.2205;Review;2021;dermatology
Early stage risk communication and community engagement (RCCE) strategies and measures against the coronavirus disease 2019 (COVID-19) pandemic crisis;2-s2.0-85106762845;10.1016/j.glohj.2021.02.009;Review;2021;dermatology
A novel melanoma prediction model for imbalanced data using optimized SqueezeNet by bald eagle search optimization;2-s2.0-85113649388;10.1016/j.compbiomed.2021.104712;Article;2021;dermatology
Automatic semantic segmentation of breast tumors in ultrasound images based on combining fuzzy logic and deep learningâ€”A feasibility study;2-s2.0-85106364142;10.1371/journal.pone.0251899;Article;2021;dermatology
Deep Learning Approach for Medical Image Analysis;2-s2.0-85106376551;10.1155/2021/6215281;Article;2021;dermatology
A prospective, randomized, single-blinded, crossover trial to investigate the effect of a wearable device in addition to a daily symptom diary for the remote early detection of SARS-CoV-2 infections (COVID-RED): a structured summary of a study protocol for a randomized controlled trial;2-s2.0-85109057117;10.1186/s13063-021-05241-5;Letter;2021;dermatology
