Title;EID;DOI;DocumentType;Year;Category
An intelligent healthcare monitoring framework using wearable sensors and social networking data;2-s2.0-85088916811;10.1016/j.future.2020.07.047;Article;2020;diabetology
CNN-based health model for regular health factors analysis in internet-of-medical things environment;2-s2.0-85082511150;10.1109/ACCESS.2020.2980938;Article;2020;diabetology
Predictive Supervised Machine Learning Models for Diabetes Mellitus;2-s2.0-85101019596;10.1007/s42979-020-00250-8;Article;2020;diabetology
An IoT-cloud based intelligent computer-aided diagnosis of diabetic retinopathy stage classification using deep learning approach;2-s2.0-85097204164;10.32604/cmc.2020.013251;Article;2020;diabetology
A deep learning-based smartphone app for real-time detection of five stages of diabetic retinopathy;2-s2.0-85085739484;10.1117/12.2557554;Conference Paper;2020;diabetology
Design and Development of Diabetes Management System Using Machine Learning;2-s2.0-85089017069;10.1155/2020/8870141;Article;2020;diabetology
Using Big Data-machine learning models for diabetes prediction and flight delays analytics;2-s2.0-85091182205;10.1186/s40537-020-00355-0;Article;2020;diabetology
Predicting Diabetes using Distributed Machine Learning based on Apache Spark;2-s2.0-85083552173;10.1109/ITCE48509.2020.9047795;Conference Paper;2020;diabetology
Semantic segmentation of diabetic foot ulcer images: Dealing with small dataset in dl approaches;2-s2.0-85088749626;10.1007/978-3-030-51935-3_17;Conference Paper;2020;diabetology
Data-Driven Visual Characterization of Patient Health-Status Using Electronic Health Records and Self-Organizing Maps;2-s2.0-85089571507;10.1109/ACCESS.2020.3012082;Article;2020;diabetology
Obesity in Qatar: A case-control study on the identification of associated risk factors;2-s2.0-85106412710;10.3390/diagnostics10110883;Article;2020;diabetology
Applying Cloud Based Machine Learning on Biosensors Streaming Data for Health Status Prediction;2-s2.0-85099199503;10.1109/IISA50023.2020.9284349;Conference Paper;2020;diabetology
Diabetes Diseases Prediction Using Supervised Machine Learning and Neighbourhood Components Analysis;2-s2.0-85123040657;10.1145/3386723.3387887;Conference Paper;2020;diabetology
Diabetic Patients Monitoring and Data Classification Using IoT Application;2-s2.0-85086892391;10.1109/ICEIT48248.2020.9113171;Conference Paper;2020;diabetology
Multi-Agent System Based on Machine Learning for Early Diagnosis of Diabetes;2-s2.0-85085772289;10.1109/ICOA49421.2020.9094511;Conference Paper;2020;diabetology
Analysis for Disease Gene Association Using Machine Learning;2-s2.0-85091309988;10.1109/ACCESS.2020.3020592;Article;2020;diabetology
Classification Algorithm in Predicting the Diabetes in Early Stages;2-s2.0-85096694948;10.3844/jcssp.2020.1417.1422;Article;2020;diabetology
Real-time healthcare monitoring system using online machine learning and spark streaming;2-s2.0-85091950027;10.14569/IJACSA.2020.0110977;Article;2020;diabetology
Improved Whale optimization Algorithm for SVM Model Selection: Application in Medical Diagnosis;2-s2.0-85096543328;10.23919/SoftCOM50211.2020.9238265;Conference Paper;2020;diabetology
Performance analysis of Machine learning classifiers for predicting diabetes and prostate cancer;2-s2.0-85085489496;10.1109/IRASET48871.2020.9092255;Conference Paper;2020;diabetology
Diabetic Retinopathy Grading Based on a Hybrid Deep Learning Model;2-s2.0-85100481995;10.1109/ICDABI51230.2020.9325672;Conference Paper;2020;diabetology
Recent advances in computational tools and resources for the self-management of type 2 diabetes;2-s2.0-85077161761;10.1080/17538157.2018.1559168;Review;2020;diabetology
A novel weighted compressive sensing using L1-magic recovery technique in medical image compression;2-s2.0-85126683507;10.1007/s13755-019-0093-1;Article;2020;diabetology
Medicine recommendation system for diabetes using prior medical knowledge;2-s2.0-85102952965;10.1145/3448823.3448872;Conference Paper;2020;diabetology
Early Deep Detection for Diabetic Retinopathy;2-s2.0-85115448703;10.1109/ISAECT50560.2020.9523650;Conference Paper;2020;diabetology
IMED: Ubiquitous healthcare platform for chronic patients;2-s2.0-85100544390;10.1109/DASA51403.2020.9317281;Conference Paper;2020;diabetology
