Title;EID;DOI;DocumentType;Year;Category
CNN-based health model for regular health factors analysis in internet-of-medical things environment;2-s2.0-85082511150;10.1109/ACCESS.2020.2980938;Article;2020;endocrinology
Predicting Diabetes using Distributed Machine Learning based on Apache Spark;2-s2.0-85083552173;10.1109/ITCE48509.2020.9047795;Conference Paper;2020;endocrinology
Sequence- and structure-based prediction of amyloidogenic regions in proteins;2-s2.0-85068121272;10.1007/s00500-019-04087-z;Article;2020;endocrinology
Obesity in Qatar: A case-control study on the identification of associated risk factors;2-s2.0-85106412710;10.3390/diagnostics10110883;Article;2020;endocrinology
A Predictive Performance Analysis of Vitamin D Deficiency Severity Using Machine Learning Methods;2-s2.0-85087275695;10.1109/ACCESS.2020.3002191;Article;2020;endocrinology
Deep Learning based Approach for Bone Diagnosis Classification in Ultrasonic Computed Tomographic Images;2-s2.0-85099379820;10.14569/IJACSA.2020.0111210;Article;2020;endocrinology
Flower pollination algorithm and multilayer perceptron artificial neural network for heart disease feature selection and classification;2-s2.0-85081101093;;Conference Paper;2020;endocrinology
Diabetic Retinopathy Diagnosis from Fundus Images Using Stacked Generalization of Deep Models;2-s2.0-85111578483;10.1109/ACCESS.2021.3101142;Article;2021;endocrinology
A systematic literature review on obesity: Understanding the causes & consequences of obesity and reviewing various machine learning approaches used to predict obesity;2-s2.0-85112757441;10.1016/j.compbiomed.2021.104754;Review;2021;endocrinology
3D assessment of intervertebral disc degeneration in zebrafish identifies changes in bone density that prime disc disease;2-s2.0-85114136715;10.1038/s41413-021-00156-y;Article;2021;endocrinology
A comparative analysis of machine learning algorithms to build a predictive model for detecting diabetes complications;2-s2.0-85105116735;10.31449/inf.v45i1.3111;Article;2021;endocrinology
Cloud-Based Diabetes Decision Support System Using Machine Learning Fusion;2-s2.0-85103655589;10.32604/cmc.2021.016814;Article;2021;endocrinology
Breast Cancer Calcifications: Identification Using a Novel Segmentation Approach;2-s2.0-85117385188;10.1155/2021/9905808;Article;2021;endocrinology
Classification of initial stages of alzheimerâ€™s disease through pet neuroimaging modality and deep learning: Quantifying the impact of image filtering approaches;2-s2.0-85120639689;10.3390/math9233101;Article;2021;endocrinology
HANA: A Healthy Artificial Nutrition Analysis model during COVID-19 pandemic;2-s2.0-85109425471;10.1016/j.compbiomed.2021.104606;Article;2021;endocrinology
Novel mri-based cad system for early detection of thyroid cancer using multi-input CNN;2-s2.0-85107342872;10.3390/s21113878;Article;2021;endocrinology
Thyroid cancer computer-aided diagnosis system using mri-based multi-input CNN model;2-s2.0-85107231765;10.1109/ISBI48211.2021.9433841;Conference Paper;2021;endocrinology
