Title;EID;DOI;DocumentType;Year;Category
Expert-level automated malaria diagnosis on routine blood films with deep neural networks;2-s2.0-85084221352;10.1002/ajh.25827;Article;2020;epidemiology
Machine learning approaches classify clinical malaria outcomes based on haematological parameters;2-s2.0-85096832659;10.1186/s12916-020-01823-3;Article;2020;epidemiology
Integration of DHIS2 and Climatic Data for Disease Prediction: A Case of Malaria occurrence in Gulu District, Uganda;2-s2.0-85094324426;;Conference Paper;2020;epidemiology
A predictive model, and predictors of under-five child malaria prevalence in Ghana: How do LASSO, Ridge and Elastic net regression approaches compare?;2-s2.0-85108877703;10.1016/j.pmedr.2021.101475;Article;2021;epidemiology
Location Intelligence Powered by Machine Learning Automation for Mapping Malaria Mosquito Habitats Employing an Unmanned Aerial Vehicle (UAV) for Implementing â€œSeek and Destroyâ€ for Commercial Roadside Ditch Foci and Real Time Larviciding Rock Pit Quarry Habitats in Peri-Domestic Agro-Pastureland Ecosystems in Northern Uganda;2-s2.0-85107284648;10.1007/978-3-030-71998-2_8;Book Chapter;2021;epidemiology
A Novel Data Augmentation Convolutional Neural Network for Detecting Malaria Parasite in Blood Smear Images;2-s2.0-85124099032;10.1080/08839514.2022.2033473;Article;2022;epidemiology
Development and Validation of Manually Modified and Supervised Machine Learning Clinical Assessment Algorithms for Malaria in Nigerian Children;2-s2.0-85124735108;10.3389/frai.2021.554017;Article;2022;epidemiology
Employing Machine Learning Techniques for the Malaria Epidemic Prediction in Ethiopia;2-s2.0-85064412293;10.1109/CEEC.2018.8674210;Conference Paper;2019;epidemiology
An in silico approach to detect efficient malaria drug targets to combat the malaria resistance problem;2-s2.0-70449562696;10.1109/IACSIT-SC.2009.128;Conference Paper;2009;epidemiology
Malawian children with uncomplicated and cerebral malaria have decreased activated VÎ³9VÎ´2 Î³Î´ T cells which increase in convalescence;2-s2.0-85073110622;10.1371/journal.pone.0223410;Article;2019;epidemiology
