Title;EID;DOI;DocumentType;Year;Category
CNN-based health model for regular health factors analysis in internet-of-medical things environment;2-s2.0-85082511150;10.1109/ACCESS.2020.2980938;Article;2020;family medicine
Machine Learning Prediction Models for Diagnosing Hepatocellular Carcinoma with HCV-related Chronic Liver Disease;2-s2.0-85086722836;10.1016/j.cmpb.2020.105551;Article;2020;family medicine
Detecting liver fibrosis using a machine learning-based approach to the quantification of the heart-induced deformation in tagged MR images;2-s2.0-85075446441;10.1002/nbm.4215;Article;2020;family medicine
Data-Driven Visual Characterization of Patient Health-Status Using Electronic Health Records and Self-Organizing Maps;2-s2.0-85089571507;10.1109/ACCESS.2020.3012082;Article;2020;family medicine
Classical and deep learning paradigms for detection and validation of key genes of risky outcomes of HCV;2-s2.0-85083486821;10.3390/a13030073;Article;2020;family medicine
Recent advances in computational tools and resources for the self-management of type 2 diabetes;2-s2.0-85077161761;10.1080/17538157.2018.1559168;Review;2020;family medicine
Diagnosis of hepatitis disease with logistic regression and artificial neural networks;2-s2.0-85087069058;10.3844/JCSSP.2020.364.377;Article;2020;family medicine
Bat-inspired optimizer for prediction of anti-viral cure drug of SARS-CoV-2 based on recurrent neural network;2-s2.0-85092451509;10.33168/JSMS.2020.0302;Article;2020;family medicine
Simulation, modeling, and optimization of intelligent kidney disease predication empowered with computational intelligence approaches;2-s2.0-85102491324;10.32604/cmc.2021.012737;Article;2021;family medicine
Predicting Systolic Blood Pressure in Real-Time Using Streaming Data and Deep Learning;2-s2.0-85090316629;10.1007/s11036-020-01645-w;Article;2021;family medicine
A deep bidirectional recurrent neural network for identification of SARS-CoV-2 from viral genome sequences;2-s2.0-85117921115;10.3934/mbe.2021440;Article;2021;family medicine
Identification of Microbiota Biomarkers With Orthologous Gene Annotation for Type 2 Diabetes;2-s2.0-85111166570;10.3389/fmicb.2021.711244;Article;2021;family medicine
DIAGNOSIS OF METABOLIC SYNDROME USING MACHINE LEARNING, STATISTICAL AND RISK QUANTIFICATION TECHNIQUES: A SYSTEMATIC LITERATURE REVIEW;2-s2.0-85112844683;10.22452/mjcs.vol34no3.1;Article;2021;family medicine
Subphenotyping of Patients With Aortic Stenosis by Unsupervised Agglomerative Clustering of Echocardiographic and Hemodynamic Data;2-s2.0-85115621561;10.1016/j.jcin.2021.08.034;Article;2021;family medicine
Diagnosing the Stage of Hepatitis C Using Machine Learning;2-s2.0-85122228136;10.1155/2021/8062410;Article;2021;family medicine
Enhancement of blood pressure estimation method via machine learning;2-s2.0-85107583872;10.1016/j.aej.2021.04.035;Article;2021;family medicine
Similarity-based machine learning framework for predicting safety signals of adverse drugâ€“drug interactions;2-s2.0-85122159722;10.1016/j.imu.2021.100699;Article;2021;family medicine
Direct pixel to pixel principal strain mapping from tagging MRI using end to end deep convolutional neural network (DeepStrain);2-s2.0-85120005320;10.1038/s41598-021-02279-y;Article;2021;family medicine
Use of Machine Learning and Statistical Algorithms to Predict Hospital Length of Stay Following Colorectal Cancer Resection: A South African Pilot Study;2-s2.0-85117169525;10.3389/fonc.2021.644045;Article;2021;family medicine
The forgotten oral microbial transplantation for improving the outcomes of COVID-19;2-s2.0-85122654889;10.1016/j.nmni.2021.100923;Review;2021;family medicine
Current and future clinical research in Sudan: An opportunity for everyone to choose research in medical education, communicable and non-communicable diseases;2-s2.0-85115342308;10.21037/JPHE-21-31;Review;2021;family medicine
Validation of a machine learning approach using FIB-4 and APRI scores assessed by the metavir scoring system: A cohort study;2-s2.0-85105591754;10.1016/j.ajg.2021.04.003;Article;2021;family medicine
Monitoring information-seeking patterns and obesity prevalence in africa with internet search data: Observational study;2-s2.0-85105102600;10.2196/24348;Article;2021;family medicine
Design of an IoT-based Body Mass Index (BMI) Prediction Model;2-s2.0-85126683291;10.1109/ISRITI54043.2021.9702866;Conference Paper;2021;family medicine
Sensitivity analysis of coronary heart disease using two deep learning algorithms CNN RNN;2-s2.0-85118943646;;Conference Paper;2021;family medicine
Advancing hypertension management in Asia 2021, beyond COVID-19;2-s2.0-85101442230;10.1111/jch.14211;Editorial;2021;family medicine
Optimization: Molecular Communication Networks for Viral Disease Analysis Using Deep Leaning Autoencoder;2-s2.0-85122528216;10.1155/2021/9949328;Article;2021;family medicine
Replacing subjective assessment of dairy cows with objective measures;2-s2.0-85113522302;;Article;2021;family medicine
Design and development of machine learning model for osteoarthritis identification;2-s2.0-85105101134;10.1007/978-981-33-4543-0_84;Book Chapter;2021;family medicine
