Title;EID;DOI;DocumentType;Year;Category
A novel method based on deep learning for herniated lumbar disc segmentation;2-s2.0-85100605938;10.1109/IC_ASET49463.2020.9318261;Conference Paper;2020;general surgery
GAN-Based Synthetic Gastrointestinal Image Generation;2-s2.0-85100006021;10.1109/ICCWAMTIP51612.2020.9317341;Conference Paper;2020;general surgery
3D assessment of intervertebral disc degeneration in zebrafish identifies changes in bone density that prime disc disease;2-s2.0-85114136715;10.1038/s41413-021-00156-y;Article;2021;general surgery
A comprehensive computer-assisted diagnosis system for early assessment of renal cancer tumors;2-s2.0-85110516927;10.3390/s21144928;Article;2021;general surgery
A new computer-aided diagnostic (CAD) system for precise identification of renal tumors;2-s2.0-85107176797;10.1109/ISBI48211.2021.9433865;Conference Paper;2021;general surgery
Herniated lumbar disc generation and classification using cycle generative adversarial networks on axial view mri;2-s2.0-85104380792;10.3390/electronics10080982;Article;2021;general surgery
Detection and classification of large bowel obstruction from X-ray images using machine learning algorithms;2-s2.0-85137439386;10.1002/ima.22800;Article;2022;general surgery
Boosted decision trees for vertebral column disease diagnosis;2-s2.0-84952360897;10.1007/978-3-319-18296-4_27;Conference Paper;2016;general surgery
GFD Faster R-CNN: Gabor Fractal DenseNet Faster R-CNN for Automatic Detection of Esophageal Abnormalities in Endoscopic Images;2-s2.0-85075687793;10.1007/978-3-030-32692-0_11;Conference Paper;2019;general surgery
A framework for harmla alkaloid extraction process development using fuzzy-rough sets feature selection and J48 classification;2-s2.0-85044422030;10.19101/IJACR.2017.733022;Article;2017;general surgery
