Title;EID;DOI;DocumentType;Year;Category
Bacterial Vaginosis: Current Diagnostic Avenues and Future Opportunities;2-s2.0-85089995499;10.3389/fcimb.2020.00354;Review;2020;gynaecology
Ensemble deep learning for cervix image selection toward improving reliability in automated cervical precancer screening;2-s2.0-85088267988;10.3390/diagnostics10070451;Article;2020;gynaecology
The penile microbiota of Black South African men: Relationship with human papillomavirus and HIV infection;2-s2.0-85083071567;10.1186/s12866-020-01759-x;Article;2020;gynaecology
Screening test accuracy to improve detection of precancerous lesions of the cervix in women living with HIV: A study protocol;2-s2.0-85098229521;10.1136/bmjopen-2020-037955;Article;2020;gynaecology
Context-Aware Synergetic Multiplex Network for Multi-organ Segmentation of Cervical Cancer MRI;2-s2.0-85092914104;10.1007/978-3-030-59354-4_1;Conference Paper;2020;gynaecology
Diagnosis of Cervical Cancer based on Ensemble Deep Learning Network using Colposcopy Images;2-s2.0-85106376862;10.1155/2021/5584004;Article;2021;gynaecology
Point-of-Care Digital Cytology with Artificial Intelligence for Cervical Cancer Screening in a Resource-Limited Setting;2-s2.0-85103145466;10.1001/jamanetworkopen.2021.1740;Article;2021;gynaecology
Improvement in automated diagnosis of soft tissues tumors using machine learning;2-s2.0-85099579159;10.26599/BDMA.2020.9020023;Article;2021;gynaecology
Breast cancer risk prediction in African women using Random Forest Classifier;2-s2.0-85106864765;10.1016/j.ctarc.2021.100396;Article;2021;gynaecology
Prediction of clinical outcomes in women with placenta accreta spectrum using machine learning models: an international multicenter study;2-s2.0-85111741739;10.1080/14767058.2021.1918670;Article;2021;gynaecology
A deep clustering method for analyzing uterine cervix images across imaging devices;2-s2.0-85110832092;10.1109/CBMS52027.2021.00085;Conference Paper;2021;gynaecology
New computer aided diagnostic system using deep neural network and SVM to detect breast cancer in thermography;2-s2.0-85122523709;10.1080/17686733.2021.2025018;Article;2022;gynaecology
Intelligent classification model for biomedical pap smear images on iot environment;2-s2.0-85120824910;10.32604/cmc.2022.022701;Article;2022;gynaecology
Cervix Type and Cervical Cancer Classification System Using Deep Learning Techniques;2-s2.0-85132885701;10.2147/MDER.S366303;Article;2022;gynaecology
Cleaning Highly Unbalanced Multisource Image Dataset for Quality Control in Cervical Precancer Screening;2-s2.0-85131927231;10.1007/978-3-031-07005-1_1;Conference Paper;2022;gynaecology
A review of image analysis and machine learning techniques for automated cervical cancer screening from pap-smear images;2-s2.0-85049506605;10.1016/j.cmpb.2018.05.034;Review;2018;gynaecology
Multi-class breast cancer classification using deep learning convolutional neural network;2-s2.0-85049525200;10.14569/IJACSA.2018.090645;Article;2018;gynaecology
Automatic Detection of Tuberculosis Bacilli from Microscopic Sputum Smear Images Using Faster R-CNN, Transfer Learning and Augmentation;2-s2.0-85076091228;10.1007/978-3-030-31332-6_24;Conference Paper;2019;gynaecology
Deep feature extraction for pap-smear image classification: A comparative study;2-s2.0-85066803052;10.1145/3323933.3324060;Conference Paper;2019;gynaecology
Identification of tuberculosis bacilli in ZN-stained sputum smear images: A deep learning approach;2-s2.0-85083293289;10.1109/CVPRW.2019.00147;Conference Paper;2019;gynaecology
