Title;EID;DOI;DocumentType;Year;Category
Leukemia image segmentation using a hybrid histogram-based soft covering rough K-means clustering algorithm;2-s2.0-85078983499;10.3390/electronics9010188;Article;2020;hematology
Real-time Malaria Parasite Screening in Thick Blood Smears for Low-Resource Setting;2-s2.0-85078361205;10.1007/s10278-019-00284-2;Article;2020;hematology
Detection and Classification of White Blood Cells Through Deep Learning Techniques;2-s2.0-85099070550;10.3991/ijoe.v16i15.15481;Article;2020;hematology
A survey on blood image diseases detection using deep learning;2-s2.0-85086936458;10.4018/IJSSMET.2020070102;Review;2020;hematology
Analysis for Disease Gene Association Using Machine Learning;2-s2.0-85091309988;10.1109/ACCESS.2020.3020592;Article;2020;hematology
A Weakly Supervised Deep Learning Approach for Detecting Malaria and Sickle Cells in Blood Films;2-s2.0-85092747756;10.1007/978-3-030-59722-1_22;Conference Paper;2020;hematology
Medical use of deep learning: Malaria testing using pre-trained ResNet;2-s2.0-85080864592;10.1007/978-3-030-36664-3_31;Conference Paper;2020;hematology
Risk Factors and Comorbidities Associated to Cardiovascular Disease in Qatar: A Machine Learning Based Case-Control Study;2-s2.0-85100930619;10.1109/ACCESS.2021.3059469;Article;2021;hematology
Artificial intelligence approach for analyzing anaemia prevalence in children and adolescents in brics countries: A review;2-s2.0-85105615068;10.12944/CRNFSJ.9.1.01;Article;2021;hematology
Prediction of clinical outcomes in women with placenta accreta spectrum using machine learning models: an international multicenter study;2-s2.0-85111741739;10.1080/14767058.2021.1918670;Article;2021;hematology
Dynamics of T-Lymphocyte Activation Related to Paradoxical Tuberculosis-Associated Immune Reconstitution Inflammatory Syndrome in Persons With Advanced HIV;2-s2.0-85117565637;10.3389/fimmu.2021.757843;Article;2021;hematology
Accurate Machine-Learning-Based classification of Leukemia from Blood Smear Images;2-s2.0-85114312472;10.1016/j.clml.2021.06.025;Article;2021;hematology
Determinants of brain swelling in pediatric and adult cerebral malaria;2-s2.0-85116078472;10.1172/jci.insight.145823;Article;2021;hematology
Derivation and external validation of a risk score for predicting HIV-associated tuberculosis to support case finding and preventive therapy scale-up: A cohort study;2-s2.0-85115018842;10.1371/journal.pmed.1003739;Article;2021;hematology
Opposition-based learning tunicate swarm algorithm for biomedical classification;2-s2.0-85126514517;10.1109/ICENCO49852.2021.9698940;Conference Paper;2021;hematology
Deep Learning Enabling Analysis of Exhaled Breath Using Fourier Transform Spectroscopy in the Mid-Infrared;2-s2.0-85127070179;10.1109/ICICIS52592.2021.9694262;Conference Paper;2021;hematology
White Blood Cells Detection and Classification Using Convolutional Neural Network;2-s2.0-85091484716;10.1007/978-3-030-49932-7_80;Conference Paper;2021;hematology
Identification of âˆ†9-tetrahydrocannabinol (THC) impairment using functional brain imaging;2-s2.0-85122655738;10.1038/s41386-021-01259-0;Article;2022;hematology
Automating Pitted Red Blood Cell Counts Using Deep Neural Network Analysis: A New Method for Measuring Splenic Function in Sickle Cell Anaemia;2-s2.0-85128769682;10.3389/fphys.2022.859906;Article;2022;hematology
Predicting the level of anemia among Ethiopian pregnant women using homogeneous ensemble machine learning algorithm;2-s2.0-85138412380;10.1186/s12911-022-01992-6;Article;2022;hematology
Diagnosis of coronavirus disease 2019 and the potential role of deep learning: insights from the experience of Cairo University Hospitals;2-s2.0-85134776064;10.1177/03000605221109392;Article;2022;hematology
Combining mathematical modeling and deep learning to make rapid and explainable predictions of the patient-specific response to anticoagulant therapy under venous flow;2-s2.0-85130731854;10.1016/j.mbs.2022.108830;Article;2022;hematology
Identification of Anemia and Its Severity Level in a Peripheral Blood Smear Using 3-Tier Deep Neural Network;2-s2.0-85130753230;10.3390/app12105030;Article;2022;hematology
An algorithm to detect overlapping red blood cells for sickle cell disease diagnosis;2-s2.0-85124454895;10.1049/ipr2.12439;Article;2022;hematology
A Framework for Interactive Medical Image Segmentation Using Optimized Swarm Intelligence with Convolutional Neural Networks;2-s2.0-85137216621;10.1155/2022/7935346;Article;2022;hematology
Leveraging Deep Learning and Grab Cut for Automatic Segmentation of White Blood Cell Images;2-s2.0-85136292259;10.4028/p-oj4d78;Article;2022;hematology
A Highly Discriminative Hybrid Feature Selection Algorithm for Cancer Diagnosis;2-s2.0-85136086019;10.1155/2022/1056490;Article;2022;hematology
Medical Image Classification Using Transfer Learning and Chaos Game Optimization on the Internet of Medical Things;2-s2.0-85134894004;10.1155/2022/9112634;Article;2022;hematology
Feature Extraction using CNN for Peripheral Blood Cells Recognition;2-s2.0-85126349770;10.4108/eai.20-10-2021.171548;Article;2022;hematology
Hybrid Model for Prediction of Treatment Response in Beta-thalassemia Patients with Hepatitis C Infection;2-s2.0-85115191579;10.1007/978-981-16-2275-5_37;Conference Paper;2022;hematology
Linking EPCR-Binding PfEMP1 to Brain Swelling in Pediatric Cerebral Malaria;2-s2.0-85032590759;10.1016/j.chom.2017.09.009;Article;2017;hematology
Baseline exposure, antibody subclass, and hepatitis B response differentially affect malaria protective immunity following RTS,S/AS01E vaccination in African children;2-s2.0-85055630542;10.1186/s12916-018-1186-4;Article;2018;hematology
An overview of thermal necrosis: present and future;2-s2.0-85070764628;10.1080/03007995.2019.1603671;Review;2019;hematology
Automated detection of white blood cells cancer diseases;2-s2.0-85048389705;10.1109/IWDRL.2018.8358214;Conference Paper;2018;hematology
Framework of Computer Aided Diagnosis Systems for Cancer Classification Based on Medical Images;2-s2.0-85049881387;10.1007/s10916-018-1010-x;Article;2018;hematology
Targeting the Versatile Wnt/Î²-Catenin Pathway in Cancer Biology and Therapeutics: From Concept to Actionable Strategy;2-s2.0-85074571423;10.1089/omi.2019.0147;Review;2019;hematology
Meta-analysis of plasmodium falciparum var signatures contributing to severe Malaria in African children and Indian adults;2-s2.0-85065491930;10.1128/MBIO.00217-19;Article;2019;hematology
Proteomics Versus Clinical Data and Stochastic Local Search Based Feature Selection for Acute Myeloid Leukemia Patientsâ€™ Classification;2-s2.0-85048245704;10.1007/s10916-018-0972-z;Article;2018;hematology
Discriminate the response of Acute Myeloid Leukemia patients to treatment by using proteomics data and Answer Set Programming;2-s2.0-85043481702;10.1186/s12859-018-2034-4;Article;2018;hematology
Using Multi-Feature Selection with machine learning for de novo Acute Myeloid Leukemia in Egypt;2-s2.0-85084281820;10.1109/ISACS48493.2019.9068905;Conference Paper;2019;hematology
