Title;EID;DOI;DocumentType;Year;Category
Detecting liver fibrosis using a machine learning-based approach to the quantification of the heart-induced deformation in tagged MR images;2-s2.0-85075446441;10.1002/nbm.4215;Article;2020;hepatology
Classical and deep learning paradigms for detection and validation of key genes of risky outcomes of HCV;2-s2.0-85083486821;10.3390/a13030073;Article;2020;hepatology
A New Model for Image Segmentation Based on Deep Learning;2-s2.0-85109428694;10.3991/ijoe.v17i07.21241;Article;2021;hepatology
Ontology-Driven Approach for Liver MRI Classification and HCC Detection;2-s2.0-85118797051;10.1142/S0218001421600077;Article;2021;hepatology
Development and multicenter validation of FIB-6: A novel, machine learning, simple bedside score to rule out liver cirrhosis and compensated advanced chronic liver disease in patients with chronic hepatitis C;2-s2.0-85119822395;10.1111/hepr.13729;Article;2022;hepatology
A Novel Method for Survival Prediction of Hepatocellular Carcinoma Using Feature-Selection Techniques;2-s2.0-85133278451;10.3390/app12136427;Article;2022;hepatology
Random forest and support vector machine-based hybrid liver disease detection;2-s2.0-85131574528;10.11591/eei.v11i3.3787;Article;2022;hepatology
Detection of Biliary Artesia using Sonographic Gallbladder Images with the help of Deep Learning approaches;2-s2.0-85134339309;10.1109/CoDIT55151.2022.9804084;Conference Paper;2022;hepatology
Automatic Classification of Diffuse Liver Diseases: Cirrhosis & Hepatosteatosis using Ultrasound Images;2-s2.0-85132445414;10.1109/MIUCC55081.2022.9781734;Conference Paper;2022;hepatology
FibroGENE: A gene-based model for staging liver fibrosis;2-s2.0-84954366506;10.1016/j.jhep.2015.11.008;Article;2016;hepatology
Classification of mice hepatic granuloma microscopic images based on a deep convolutional neural network;2-s2.0-85055199280;10.1016/j.asoc.2018.10.006;Article;2019;hepatology
Performance of machine learning approaches on prediction of esophageal varices for Egyptian chronic hepatitis C patients;2-s2.0-85075209594;10.1016/j.imu.2019.100267;Article;2019;hepatology
A Fibrosis Diagnosis Clinical Decision Support System Using Fuzzy Knowledge;2-s2.0-85063256311;10.1007/s13369-018-3670-8;Article;2019;hepatology
