Title;EID;DOI;DocumentType;Year;Category
Bacterial Vaginosis: Current Diagnostic Avenues and Future Opportunities;2-s2.0-85089995499;10.3389/fcimb.2020.00354;Review;2020;immunology
When machine learning meets medical world: Current status and future challenges;2-s2.0-85090287012;10.1016/j.cosrev.2020.100280;Review;2020;immunology
Machine Learning to Identify Persons at High-Risk of Human Immunodeficiency Virus Acquisition in Rural Kenya and Uganda;2-s2.0-85097210673;10.1093/cid/ciz1096;Article;2020;immunology
Computer assisted medical decision-making system using genetic algorithm and extreme learning machine for diagnosing allergic rhinitis;2-s2.0-85096615126;10.1504/IJBIC.2020.111279;Article;2020;immunology
Screening test accuracy to improve detection of precancerous lesions of the cervix in women living with HIV: A study protocol;2-s2.0-85098229521;10.1136/bmjopen-2020-037955;Article;2020;immunology
Deep learning of HIV field-based rapid tests;2-s2.0-85107952840;10.1038/s41591-021-01384-9;Article;2021;immunology
Plasma Metabolomics Reveals Dysregulated Metabolic Signatures in HIV-Associated Immune Reconstitution Inflammatory Syndrome;2-s2.0-85109048925;10.3389/fimmu.2021.693074;Article;2021;immunology
Dynamics of T-Lymphocyte Activation Related to Paradoxical Tuberculosis-Associated Immune Reconstitution Inflammatory Syndrome in Persons With Advanced HIV;2-s2.0-85117565637;10.3389/fimmu.2021.757843;Article;2021;immunology
Utility of a machine-guided tool for assessing risk behavior associated with contracting HIV in three sites in South Africa: Protocol for an in-field evaluation;2-s2.0-85120969347;10.2196/30304;Article;2021;immunology
Predicting upper limb disability progression in primary progressive multiple sclerosis using machine learning and statistical methods;2-s2.0-85125198608;10.1109/BIBM52615.2021.9669665;Conference Paper;2021;immunology
Chest X-ray Analysis With Deep Learning-Based Software as a Triage Test for Pulmonary Tuberculosis: An Individual Patient Data Meta-Analysis of Diagnostic Accuracy;2-s2.0-85129780429;10.1093/cid/ciab639;Article;2022;immunology
External Validation of a Mobile Clinical Decision Support System for Diarrhea Etiology Prediction in Children: A Multicenter Study in Bangladesh and Mali;2-s2.0-85125602612;10.7554/ELIFE.72294;Article;2022;immunology
Human Immunodeficiency Virus (HIV) Genetic Diversity Informs Stage of HIV-1 Infection Among Patients Receiving Antiretroviral Therapy in Botswana;2-s2.0-85128493909;10.1093/infdis/jiab293;Conference Paper;2022;immunology
Recent Advances in the Rheumatic Fever and Rheumatic Heart Disease Continuum;2-s2.0-85124020402;10.3390/pathogens11020179;Review;2022;immunology
Allergen30: Detecting Food Items with Possible Allergens Using Deep Learning-Based Computer Vision;2-s2.0-85133493454;10.1007/s12161-022-02353-9;Article;2022;immunology
An Eigenvalues-Based Covariance Matrix Bootstrap Model Integrated With Support Vector Machines for Multichannel EEG Signals Analysis;2-s2.0-85124882954;10.3389/fninf.2021.808339;Article;2022;immunology
Accuracy of the Traditional COVID-19 Phone Triaging System and Phone Triage-Driven Deep Learning Model;2-s2.0-85134978398;10.1177/21501319221113544;Article;2022;immunology
Machine Learning Model for Prediction and Visualization of HIV Index Testing in Northern Tanzania;2-s2.0-85126085178;10.14569/IJACSA.2022.0130246;Article;2022;immunology
Exhaled human breath analysis in active pulmonary tuberculosis diagnostics by comprehensive gas chromatography-mass spectrometry and chemometric techniques;2-s2.0-85056281342;10.1088/1752-7163/aae80e;Article;2019;immunology
Detection of tuberculosis patterns in digital photographs of chest X-ray images using Deep Learning: Feasibility study;2-s2.0-85040508258;10.5588/ijtld.17.0520;Article;2018;immunology
DACH1: Its role as a classifier of long term good prognosis in luminal breast cancer;2-s2.0-84894251319;10.1371/journal.pone.0084428;Article;2014;immunology
A cascade-learning approach for automated segmentation of tumour epithelium in colorectal cancer;2-s2.0-85055179274;10.1016/j.eswa.2018.10.030;Article;2019;immunology
Machine learning to improve the effectiveness of ANRS in predicting HIV drug resistance;2-s2.0-85045406126;10.4258/hir.2017.23.4.271;Article;2017;immunology
A DASH diet recommendation system for hypertensive patients using machine learning;2-s2.0-85073210661;10.1109/ICoICT.2019.8835323;Conference Paper;2019;immunology
A Markov Model to Estimate Mortality Due to HIV/AIDS Using Viral Load Levels-Based States and CD4 Cell Counts: A Principal Component Analysis Approach;2-s2.0-85056846184;10.1007/s40121-018-0217-y;Article;2018;immunology
HIV drug-resistant patient information management, analysis, and interpretation;2-s2.0-85102874950;10.2196/resprot.1930;Article;2012;immunology
