Title;EID;DOI;DocumentType;Year;Category
Viral epitope profiling of COVID-19 patients reveals cross-reactivity and correlates of severity;2-s2.0-85093850734;10.1126/science.abd4250;Article;2020;infectious diseases
Within the lack of chest COVID-19 X-ray dataset: A novel detection model based on GAN and deep transfer learning;2-s2.0-85084656133;10.3390/SYM12040651;Article;2020;infectious diseases
Deep learning methods for forecasting COVID-19 time-Series data: A Comparative study;2-s2.0-85088226654;10.1016/j.chaos.2020.110121;Article;2020;infectious diseases
Forecasting Models for Coronavirus Disease (COVID-19): A Survey of the State-of-the-Art;2-s2.0-85127509397;10.1007/s42979-020-00209-9;Article;2020;infectious diseases
Sentiment Analysis of COVID-19 tweets by Deep Learning Classifiersâ€”A study to show how popularity is affecting accuracy in social media;2-s2.0-85092457474;10.1016/j.asoc.2020.106754;Article;2020;infectious diseases
An intelligent healthcare monitoring framework using wearable sensors and social networking data;2-s2.0-85088916811;10.1016/j.future.2020.07.047;Article;2020;infectious diseases
Using X-ray images and deep learning for automated detection of coronavirus disease;2-s2.0-85085621199;10.1080/07391102.2020.1767212;Article;2020;infectious diseases
Deploying machine and deep learning models for efficient data-augmented detection of COVID-19 infections;2-s2.0-85088622312;10.3390/v12070769;Article;2020;infectious diseases
Leveraging Deep Learning and IoT big data analytics to support the smart cities development: Review and future directions;2-s2.0-85097512478;10.1016/j.cosrev.2020.100303;Review;2020;infectious diseases
A deep transfer learning model with classical data augmentation and CGAN to detect COVID-19 from chest CT radiography digital images;2-s2.0-85093947069;10.1007/s00521-020-05437-x;Article;2020;infectious diseases
Review of big data analytics, artificial intelligence and nature-inspired computing models towards accurate detection of COVID-19 pandemic cases and contact tracing;2-s2.0-85088810709;10.3390/ijerph17155330;Review;2020;infectious diseases
Novel feature selection and voting classifier algorithms for COVID-19 classification in CT images;2-s2.0-85093822512;10.1109/ACCESS.2020.3028012;Article;2020;infectious diseases
CVDNet: A novel deep learning architecture for detection of coronavirus (Covid-19) from chest x-ray images;2-s2.0-85090405236;10.1016/j.chaos.2020.110245;Article;2020;infectious diseases
Approaches Based on artificial intelligence and the internet of intelligent things to prevent the spread of COVID-19: Scoping review;2-s2.0-85089359084;10.2196/19104;Review;2020;infectious diseases
Deep digital twins for detection, diagnostics and prognostics;2-s2.0-85078697900;10.1016/j.ymssp.2019.106612;Article;2020;infectious diseases
A survey of IoT security based on a layered architecture of sensing and data analysis;2-s2.0-85086984865;10.3390/s20133625;Review;2020;infectious diseases
