Title;EID;DOI;DocumentType;Year;Category
Evaluation of Combined Artificial Intelligence and Radiologist Assessment to Interpret Screening Mammograms;2-s2.0-85081118470;10.1001/jamanetworkopen.2020.0265;Article;2020;medical genetics
Using structural MRI to identify bipolar disorders â€“ 13 site machine learning study in 3020 individuals from the ENIGMA Bipolar Disorders Working Group;2-s2.0-85053320480;10.1038/s41380-018-0228-9;Article;2020;medical genetics
Multimodal multitask deep learning model for Alzheimer's disease progression detection based on time series data;2-s2.0-85087653691;10.1016/j.neucom.2020.05.087;Article;2020;medical genetics
Heart disease classification using data mining tools and machine learning techniques;2-s2.0-85085543182;10.1007/s12553-020-00438-1;Article;2020;medical genetics
A Noninvasive Blood Glucose Monitoring System Based on Smartphone PPG Signal Processing and Machine Learning;2-s2.0-85089343041;10.1109/TII.2020.2975222;Article;2020;medical genetics
Estimation of connectional brain templates using selective multi-view network normalization;2-s2.0-85073170115;10.1016/j.media.2019.101567;Article;2020;medical genetics
Alzheimer's disease diagnosis from diffusion tensor images using convolutional neural networks;2-s2.0-85082187809;10.1371/journal.pone.0230409;Article;2020;medical genetics
A novel hybrid machine learning classification for the detection of bruxism patients using physiological signals;2-s2.0-85094600641;10.3390/app10217410;Article;2020;medical genetics
Data preprocessing for heart disease classification: A systematic literature review.;2-s2.0-85087500300;10.1016/j.cmpb.2020.105635;Review;2020;medical genetics
Hybrid machine learning ensemble techniques for modeling dissolved oxygen concentration;2-s2.0-85091213249;10.1109/ACCESS.2020.3017743;Article;2020;medical genetics
Development of an ensemble approach to chronic kidney disease diagnosis;2-s2.0-85087314741;10.1016/j.sciaf.2020.e00456;Article;2020;medical genetics
Thermogram breast cancer detection: A comparative study of two machine learning techniques;2-s2.0-85081221716;10.3390/app10020551;Article;2020;medical genetics
A case-based reasoning system for supervised classification problems in the medical field;2-s2.0-85080913192;10.1016/j.eswa.2020.113335;Article;2020;medical genetics
GP-GAN: Brain tumor growth prediction using stacked 3D generative adversarial networks from longitudinal MR Images;2-s2.0-85091235764;10.1016/j.neunet.2020.09.004;Article;2020;medical genetics
Epileptic seizure detection on EEG signals using machine learning techniques and advanced preprocessing methods;2-s2.0-85078510517;10.1515/bmt-2019-0001;Article;2020;medical genetics
Assessment of Human Skin Burns: A Deep Transfer Learning Approach;2-s2.0-85084123824;10.1007/s40846-020-00520-z;Review;2020;medical genetics
A Smart Chatbot Architecture based NLP and Machine Learning for Health Care Assistance;2-s2.0-85123041067;10.1145/3386723.3387897;Conference Paper;2020;medical genetics
A Dynamic filtering df-rnn deep-learning-based approach for eeg-based neurological disorders diagnosis;2-s2.0-85097220687;10.1109/ACCESS.2020.3037995;Article;2020;medical genetics
A deep convolutional neural network for automated vestibular disorder classification using VNG analysis;2-s2.0-85076435227;10.1080/21681163.2019.1699165;Article;2020;medical genetics
Supervised domain generalization for integration of disparate scalp EEG datasets for automatic epileptic seizure detection;2-s2.0-85083420347;10.1016/j.compbiomed.2020.103757;Article;2020;medical genetics
Parkinson's Disease Identification using KNN and ANN Algorithms based on Voice Disorder;2-s2.0-85085494040;10.1109/IRASET48871.2020.9092228;Conference Paper;2020;medical genetics
A new approach for microscopic diagnosis of malaria parasites in thick blood smears using pre-trained deep learning models;2-s2.0-85089882567;10.1007/s42452-020-3000-0;Article;2020;medical genetics
Automated system for chromosome karyotyping to recognize the most common numerical abnormalities using deep learning;2-s2.0-85102855754;10.1109/ACCESS.2020.3019937;Article;2020;medical genetics
Nature Inspired Meta-heuristic Algorithms for Deep Learning: Recent Progress and Novel Perspective;2-s2.0-85065478343;10.1007/978-3-030-17795-9_5;Conference Paper;2020;medical genetics
Wavelet-Based Cough Signal Decomposition for Multimodal Classification;2-s2.0-85100045973;10.1109/ICCWAMTIP51612.2020.9317337;Conference Paper;2020;medical genetics
A multimodal computer-aided diagnostic system for precise identification of renal allograft rejection: Preliminary results;2-s2.0-85082972566;10.1002/mp.14109;Article;2020;medical genetics
Instanceeasytl: An improved transfer-learning method for EEG-based cross-subject fatigue detection;2-s2.0-85097818973;10.3390/s20247251;Article;2020;medical genetics
Noninvasive assessment and classification of human skin burns using images of Caucasian and African patients;2-s2.0-85088268157;10.1117/1.JEI.29.4.041002;Article;2020;medical genetics
Obesity in Qatar: A case-control study on the identification of associated risk factors;2-s2.0-85106412710;10.3390/diagnostics10110883;Article;2020;medical genetics
Brain graph super-resolution for boosting neurological disorder diagnosis using unsupervised multi-topology connectional brain template learning;2-s2.0-85087880099;10.1016/j.media.2020.101768;Article;2020;medical genetics
MULTIPLE CLASSIFICATION TECHNIQUES TOWARD A ROBUST and RELIABLE P300 BCI SYSTEM;2-s2.0-85083307491;10.4015/S1016237220500106;Article;2020;medical genetics
Toward identifying reproducible brain signatures of obsessive-compulsive profiles: Rationale and methods for a new global initiative;2-s2.0-85079359493;10.1186/s12888-020-2439-2;Article;2020;medical genetics
An Embedded ANN Raspberry PI for Inertial Sensor Based Human Activity Recognition;2-s2.0-85087760347;10.1007/978-3-030-51517-1_34;Conference Paper;2020;medical genetics
Learning-based estimation of dielectric properties and tissue density in head models for personalized radio-frequency dosimetry;2-s2.0-85081945699;10.1088/1361-6560/ab7308;Article;2020;medical genetics
Machine learning and deep learning for clinical data and PET/SPECT imaging in parkinsonâ€™s disease: A review;2-s2.0-85102770101;;Review;2020;medical genetics
Deep learning-based image evaluation for cervical precancer screening with a smartphone targeting low resource settings - Engineering approach;2-s2.0-85089968637;10.1109/EMBC44109.2020.9175863;Conference Paper;2020;medical genetics
Adaptive-size dictionary learning using information theoretic criteria for image reconstruction from undersampled k-space data in low field magnetic resonance imaging;2-s2.0-85087398395;10.1186/s12880-020-00474-3;Article;2020;medical genetics
Analysis for Disease Gene Association Using Machine Learning;2-s2.0-85091309988;10.1109/ACCESS.2020.3020592;Article;2020;medical genetics
A medical percussion instrument using a wavelet-based method for archivable output and automatic classification;2-s2.0-85096175005;10.1016/j.compbiomed.2020.104100;Article;2020;medical genetics
SPeCECA: a smart pervasive chatbot for emergency case assistance based on cloud computing;2-s2.0-85076054114;10.1007/s10586-019-03020-1;Article;2020;medical genetics
Foreseeing Brain Graph Evolution over Time Using Deep Adversarial Network Normalizer;2-s2.0-85092900945;10.1007/978-3-030-59354-4_11;Conference Paper;2020;medical genetics
A long short-term memory autoencoder approach for EEG motor imagery classification;2-s2.0-85083503887;10.1109/ICCAKM46823.2020.9051489;Conference Paper;2020;medical genetics
Intelligent Mobile Applications: A Systematic Mapping Study;2-s2.0-85083095554;10.1155/2020/6715363;Review;2020;medical genetics
Self-Organizing Maps to Assess Rehabilitation Progress of Post-Stroke Patients;2-s2.0-85097935359;10.1109/NILES50944.2020.9257927;Conference Paper;2020;medical genetics
Classification of eeg signal by methods of machine learning;2-s2.0-85103405528;10.23743/acs-2020-29;Article;2020;medical genetics
Intelligent detection of fetal hydrocephalus;2-s2.0-85096767535;10.1080/21681163.2020.1780156;Article;2020;medical genetics
Clustering-Based Deep Brain MultiGraph Integrator Network for Learning Connectional Brain Templates;2-s2.0-85093102517;10.1007/978-3-030-60365-6_11;Conference Paper;2020;medical genetics
Automated recognition of hand grasps using electromyography signal based on LWT and DTCWT of wavelet energy;2-s2.0-85089214908;10.2991/ijcis.d.200724.001;Article;2020;medical genetics
Plasma cell identification based on evidential segmentation and supervised learning;2-s2.0-85084933937;10.1504/IJBET.2020.107202;Article;2020;medical genetics
Medical use of deep learning: Malaria testing using pre-trained ResNet;2-s2.0-85080864592;10.1007/978-3-030-36664-3_31;Conference Paper;2020;medical genetics
Enhancing ontology-based home Care Services platform using Bayesian networks;2-s2.0-85102516794;10.1109/ICMLA51294.2020.00205;Conference Paper;2020;medical genetics
Burns Depth Assessment Using Deep Learning Features;2-s2.0-85092644660;10.1007/s40846-020-00574-z;Article;2020;medical genetics
Moment invariants for cancer classification based on electronâ€“ion interaction pseudo potentials (EIIP);2-s2.0-85091197066;10.1007/s13721-020-00270-7;Article;2020;medical genetics
Automated machine vision enabled detection of movement disorders from hand drawn spirals;2-s2.0-85103149589;10.1109/ICHI48887.2020.9374333;Conference Paper;2020;medical genetics
MobileNet Neural Network skin disease detector with Raspberry pi Integrated to Telegram;2-s2.0-85092067068;10.1109/icABCD49160.2020.9183888;Conference Paper;2020;medical genetics
EEG Person Identification Using Facenet, LSTM-RNN and SVM;2-s2.0-85103005861;10.1109/SSD49366.2020.9364129;Conference Paper;2020;medical genetics
Context-Aware Synergetic Multiplex Network for Multi-organ Segmentation of Cervical Cancer MRI;2-s2.0-85092914104;10.1007/978-3-030-59354-4_1;Conference Paper;2020;medical genetics
Automated rheumatic heart disease detection from phonocardiogram in cardiology ward;2-s2.0-85083704813;;Conference Paper;2020;medical genetics
VNG technique for a convenient vestibular neuritis rating;2-s2.0-85082977276;10.1080/21681163.2020.1741034;Article;2020;medical genetics
Breast cancer detection in thermal images using extreme learning machine;2-s2.0-85081614195;10.3233/JIFS-179553;Article;2020;medical genetics
Automatic Ischemic Stroke Lesions Segmentation in Multimodality MRI using Mask Region-based Convolutional Neural Network;2-s2.0-85100693504;10.1109/IC_ASET49463.2020.9318265;Conference Paper;2020;medical genetics
Smartening E-therapy using Facial Expressions and Deep Learning;2-s2.0-85101118651;10.1109/IMITEC50163.2020.9334115;Conference Paper;2020;medical genetics
A novel computer-aided diagnostic system for early assessment of hepatocellular carcinoma;2-s2.0-85110523752;10.1109/ICPR48806.2021.9413044;Conference Paper;2020;medical genetics
Machine learning applications for monitoring construction health and safety legislation and compliance;2-s2.0-85108448822;10.14455/ISEC.2020.7(2).CON-23;Conference Paper;2020;medical genetics
Twitter Based Classification for Personal and Non-personal Heart Disease Claims;2-s2.0-85093083744;10.1007/978-3-030-59506-7_21;Conference Paper;2020;medical genetics
Healthcare Social Data Platform Based on Linked Data and Machine Learning;2-s2.0-85085167411;10.1007/978-981-15-0947-6_28;Conference Paper;2020;medical genetics
COVID-19 cough classification using machine learning and global smartphone recordings;2-s2.0-85109402269;10.1016/j.compbiomed.2021.104572;Article;2021;medical genetics
A multilayer multimodal detection and prediction model based on explainable artificial intelligence for Alzheimerâ€™s disease;2-s2.0-85100118850;10.1038/s41598-021-82098-3;Article;2021;medical genetics
Robust hybrid deep learning models for Alzheimer's progression detection;2-s2.0-85099654736;10.1016/j.knosys.2020.106688;Article;2021;medical genetics
How do you feel during the COVID-19 pandemic? A survey using psychological and linguistic self-report measures, and machine learning to investigate mental health, subjective experience, personality, and behaviour during the COVID-19 pandemic among university students;2-s2.0-85107210724;10.1186/s40359-021-00574-x;Article;2021;medical genetics
