Title;EID;DOI;DocumentType;Year;Category
Medical Diagnostic Systems Using Artificial Intelligence (AI) Algorithms: Principles and Perspectives;2-s2.0-85097951867;10.1109/ACCESS.2020.3042273;Article;2020;nephrology
Development of an ensemble approach to chronic kidney disease diagnosis;2-s2.0-85087314741;10.1016/j.sciaf.2020.e00456;Article;2020;nephrology
Integrating enhanced sparse autoencoder-based artificial neural network technique and softmax regression for medical diagnosis;2-s2.0-85096523004;10.3390/electronics9111963;Article;2020;nephrology
Temporal pattern detection to predict adverse events in critical care: Case study with acute kidney injury;2-s2.0-85097493496;10.2196/14272;Article;2020;nephrology
Performance Evaluation of an Ensemble Method for Diagnosis of Chronic Kidney Disease with Feature Selection Technique;2-s2.0-85100597870;10.1109/DASA51403.2020.9317190;Conference Paper;2020;nephrology
Predicting the Risk Factor for Developing Chronic Kidney Disease Using a 3-Stage Prediction Model;2-s2.0-85081383346;10.1007/978-3-030-39442-4_46;Conference Paper;2020;nephrology
Predicting diabetes from health-based streaming data using social media, machine learning and stream processing technologies;2-s2.0-85093696888;10.37624/ijert/13.8.2020.1957-1967;Article;2020;nephrology
Performance analysis of cost-sensitive learning methods with application to imbalanced medical data;2-s2.0-85111923392;10.1016/j.imu.2021.100690;Article;2021;nephrology
Simulation, modeling, and optimization of intelligent kidney disease predication empowered with computational intelligence approaches;2-s2.0-85102491324;10.32604/cmc.2021.012737;Article;2021;nephrology
A machine learning framework for predicting long-term graft survival after kidney transplantation;2-s2.0-85106882130;10.1016/j.eswa.2021.115235;Article;2021;nephrology
Ensemble of Deep Learning Based Clinical Decision Support System for Chronic Kidney Disease Diagnosis in Medical Internet of Things Environment;2-s2.0-85122883716;10.1155/2021/4931450;Article;2021;nephrology
Early Prediction of Chronic Kidney Disease Using Deep Belief Network;2-s2.0-85115701219;10.1109/ACCESS.2021.3114306;Article;2021;nephrology
Commentary: Machine Learning Prediction of Acute Kidney Injury With Cardiac Surgery;2-s2.0-85096446079;10.1053/j.semtcvs.2020.10.007;Editorial;2021;nephrology
Predicting and Staging Chronic Kidney Disease using Optimized Random Forest Algorithm;2-s2.0-85125308624;10.1109/ICISAT54145.2021.9678441;Conference Paper;2021;nephrology
Implementation of Machine Learning Models for the Prevention of Kidney Diseases (CKD) or Their Derivatives;2-s2.0-85122882394;10.1155/2021/3941978;Article;2021;nephrology
A Novel Diabetes Healthcare Disease Prediction Framework Using Machine Learning Techniques;2-s2.0-85123745975;10.1155/2022/1684017;Article;2022;nephrology
Data science appositeness in diabetes mellitus diagnosis for healthcare systems of developing nations;2-s2.0-85123469441;10.1049/cmu2.12338;Article;2022;nephrology
External Validation of a Mobile Clinical Decision Support System for Diarrhea Etiology Prediction in Children: A Multicenter Study in Bangladesh and Mali;2-s2.0-85125602612;10.7554/ELIFE.72294;Article;2022;nephrology
Data mining based medical intelligent system for chronic kidney disease diagnosis and treatment in the Oromo language;2-s2.0-85131670820;;Article;2022;nephrology
Optimized tuned deep learning model for chronic kidney disease classification;2-s2.0-85116042609;10.32604/cmc.2022.019790;Article;2022;nephrology
Enhanced Prediction of Chronic Kidney Disease Using Feature Selection and Boosted Classifiers;2-s2.0-85127664801;10.1007/978-3-030-96308-8_49;Conference Paper;2022;nephrology
A Machine Learning Method with Filter-Based Feature Selection for Improved Prediction of Chronic Kidney Disease;2-s2.0-85137358481;10.3390/bioengineering9080350;Article;2022;nephrology
Chronic diseases monitoring and diagnosis system based on features selection and machine learning predictive models;2-s2.0-85130534828;10.1007/s00500-022-07130-8;Article;2022;nephrology
Detection and classification of large bowel obstruction from X-ray images using machine learning algorithms;2-s2.0-85137439386;10.1002/ima.22800;Article;2022;nephrology
Predicting Chronic Kidney Disease Using Hybrid Machine Learning Based on Apache Spark;2-s2.0-85125845772;10.1155/2022/9898831;Article;2022;nephrology
A machine learning model for improving healthcare services on cloud computing environment;2-s2.0-85041465388;10.1016/j.measurement.2018.01.022;Article;2018;nephrology
Intelligent Diagnostic Prediction and Classification System for Chronic Kidney Disease;2-s2.0-85069267929;10.1038/s41598-019-46074-2;Article;2019;nephrology
Steroid Metabolome Analysis in Disorders of Adrenal Steroid Biosynthesis and Metabolism;2-s2.0-85075095491;10.1210/er.2018-00262;Review;2019;nephrology
Predicting chronic kidney failure disease using data mining techniques;2-s2.0-84996848826;10.1007/978-981-10-1627-1_55;Conference Paper;2017;nephrology
A promising non-invasive CAD system for kidney function assessment;2-s2.0-84996561821;10.1007/978-3-319-46726-9_71;Conference Paper;2016;nephrology
A new non-invasive approach for early classification of renal rejection types using diffusion-weighted MRI;2-s2.0-85006741916;10.1109/ICIP.2016.7532334;Conference Paper;2016;nephrology
Enhanced XGBoost-Based Automatic Diagnosis System for Chronic Kidney Disease;2-s2.0-85053150252;10.1109/ICCA.2018.8444167;Conference Paper;2018;nephrology
EHR data preparation for case based reasoning construction;2-s2.0-84916228637;10.1007/978-3-319-13461-1_45;Conference Paper;2014;nephrology
Machine learning with Internet of Things data for risk prediction: Application in ESRD;2-s2.0-85050867903;10.1109/RCIS.2018.8406669;Conference Paper;2018;nephrology
Ultrasound image enhancement using a deep learning architecture;2-s2.0-84994537839;10.1007/978-3-319-48308-5_61;Conference Paper;2017;nephrology
Statistical and predictive analytics of chronic kidney disease;2-s2.0-85063535373;10.1007/978-3-030-11884-6_3;Conference Paper;2019;nephrology
