Title;EID;DOI;DocumentType;Year;Category
Forecasting Models for Coronavirus Disease (COVID-19): A Survey of the State-of-the-Art;2-s2.0-85127509397;10.1007/s42979-020-00209-9;Article;2020;neurology
Sentiment Analysis of COVID-19 tweets by Deep Learning Classifiersâ€”A study to show how popularity is affecting accuracy in social media;2-s2.0-85092457474;10.1016/j.asoc.2020.106754;Article;2020;neurology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;neurology
Multimodal multitask deep learning model for Alzheimer's disease progression detection based on time series data;2-s2.0-85087653691;10.1016/j.neucom.2020.05.087;Article;2020;neurology
Bacterial Vaginosis: Current Diagnostic Avenues and Future Opportunities;2-s2.0-85089995499;10.3389/fcimb.2020.00354;Review;2020;neurology
An effective mental stress state detection and evaluation system using minimum number of frontal brain electrodes;2-s2.0-85084800978;10.3390/diagnostics10050292;Article;2020;neurology
Leveraging Deep Learning Techniques for Malaria Parasite Detection Using Mobile Application;2-s2.0-85089150797;10.1155/2020/8895429;Article;2020;neurology
Intrusion Detection System for Healthcare Systems Using Medical and Network Data: A Comparison Study;2-s2.0-85086996375;10.1109/ACCESS.2020.3000421;Article;2020;neurology
Optimized ANFIS Model Using Hybrid Metaheuristic Algorithms for Parkinson's Disease Prediction in IoT Environment;2-s2.0-85088321939;10.1109/ACCESS.2020.3005614;Article;2020;neurology
Long short term memory based patient-dependent model for FOG detection in Parkinson's disease;2-s2.0-85076261703;10.1016/j.patrec.2019.11.036;Article;2020;neurology
Alzheimer's disease diagnosis from diffusion tensor images using convolutional neural networks;2-s2.0-85082187809;10.1371/journal.pone.0230409;Article;2020;neurology
Current Affairs of Microbial Genome-Wide Association Studies: Approaches, Bottlenecks and Analytical Pitfalls;2-s2.0-85079478109;10.3389/fmicb.2019.03119;Review;2020;neurology
Medical Diagnostic Systems Using Artificial Intelligence (AI) Algorithms: Principles and Perspectives;2-s2.0-85097951867;10.1109/ACCESS.2020.3042273;Article;2020;neurology
A Novel Bio-Inspired Deep Learning Approach for Liver Cancer Diagnosis;2-s2.0-85081135693;10.3390/info11020080;Article;2020;neurology
Self-calibrated brain network estimation and joint non-convex multi-task learning for identification of early Alzheimer's disease;2-s2.0-85079159036;10.1016/j.media.2020.101652;Article;2020;neurology
Prediction of the individual multileaf collimator positional deviations during dynamic IMRT delivery priori with artificial neural network;2-s2.0-85078844151;10.1002/mp.14014;Article;2020;neurology
A case-based reasoning system for supervised classification problems in the medical field;2-s2.0-85080913192;10.1016/j.eswa.2020.113335;Article;2020;neurology
Predicting Biomass and Yield in a Tomato Phenotyping Experiment Using UAV Imagery and Random Forest;2-s2.0-85100366008;10.3389/frai.2020.00028;Article;2020;neurology
Fully automated breast density segmentation and classification using deep learning;2-s2.0-85106299573;10.3390/diagnostics10110988;Article;2020;neurology
Epileptic seizure detection on EEG signals using machine learning techniques and advanced preprocessing methods;2-s2.0-85078510517;10.1515/bmt-2019-0001;Article;2020;neurology
Inertial sensor-based gait parameters reflect patient-reported fatigue in multiple sclerosis;2-s2.0-85097766998;10.1186/s12984-020-00798-9;Article;2020;neurology
HyCAD-OCT: A hybrid computer-aided diagnosis of retinopathy by optical coherence tomography integrating machine learning and feature maps localization;2-s2.0-85088652312;10.3390/app10144716;Article;2020;neurology
A survey on computer-aided diagnosis of brain disorders through MRI based on machine learning and data mining methodologies with an emphasis on Alzheimer disease diagnosis and the contribution of the multimodal fusion;2-s2.0-85082082517;10.3390/app10051894;Review;2020;neurology
Detecting dental problem related brain disease using intelligent bacterial optimized associative deep neural network;2-s2.0-85083381752;10.1007/s10586-020-03104-3;Article;2020;neurology
Predicting disease risk areas through co-production of spatial models: The example of kyasanur forest disease in indiaâ€™s forest landscapes;2-s2.0-85083907335;10.1371/journal.pntd.0008179;Article;2020;neurology
A Dynamic filtering df-rnn deep-learning-based approach for eeg-based neurological disorders diagnosis;2-s2.0-85097220687;10.1109/ACCESS.2020.3037995;Article;2020;neurology
An Artificial Intelligence Based Technique for COVID-19 Diagnosis from Chest X-Ray;2-s2.0-85097952549;10.1109/NILES50944.2020.9257930;Conference Paper;2020;neurology
BiLSTM with Data Augmentation using Interpolation Methods to Improve Early Detection of Parkinson Disease;2-s2.0-85095773914;10.15439/2020F188;Conference Paper;2020;neurology
Neuro-fuzzy patch-wise R-CNN for multiple sclerosis segmentation;2-s2.0-85088162708;10.1007/s11517-020-02225-6;Article;2020;neurology
A deep convolutional neural network for automated vestibular disorder classification using VNG analysis;2-s2.0-85076435227;10.1080/21681163.2019.1699165;Article;2020;neurology
Parkinson's Disease Identification using KNN and ANN Algorithms based on Voice Disorder;2-s2.0-85085494040;10.1109/IRASET48871.2020.9092228;Conference Paper;2020;neurology
Design and Development of Diabetes Management System Using Machine Learning;2-s2.0-85089017069;10.1155/2020/8870141;Article;2020;neurology
A New Type of Fuzzy-Rule-Based System with Chaotic Swarm Intelligence for Multiclassification of Pain Perception from fMRI;2-s2.0-85086082571;10.1109/TFUZZ.2020.2979150;Article;2020;neurology
A Framework for Adapting Deep Brain Stimulation Using Parkinsonian State Estimates;2-s2.0-85085876042;10.3389/fnins.2020.00499;Article;2020;neurology
Automated diagnosis and staging of Fuchsâ€™ endothelial cell corneal dystrophy using deep learning;2-s2.0-85105162165;10.1186/s40662-020-00209-z;Article;2020;neurology
Vaginal microbiome-hormonal contraceptive interactions associate with the mucosal proteome and HIV acquisition;2-s2.0-85098590842;10.1371/journal.ppat.1009097;Article;2020;neurology
Anthrax in the Amhara regional state of Ethiopia: spatiotemporal analysis and environmental suitability modeling with an ensemble approach;2-s2.0-85091636500;10.1016/j.prevetmed.2020.105155;Article;2020;neurology
Enhancing convolution-based sentiment extractor via dubbed N-gram embedding-related drug vocabulary;2-s2.0-85086600944;10.1007/s13721-020-00248-5;Article;2020;neurology
Brain graph super-resolution for boosting neurological disorder diagnosis using unsupervised multi-topology connectional brain template learning;2-s2.0-85087880099;10.1016/j.media.2020.101768;Article;2020;neurology
Utilization of a convolutional method for Alzheimer disease diagnosis;2-s2.0-85083577693;10.1007/s00138-020-01074-5;Conference Paper;2020;neurology
Severity detection tool for patients with infectious disease;2-s2.0-85084584462;10.1049/htl.2019.0030;Article;2020;neurology
MULTIPLE CLASSIFICATION TECHNIQUES TOWARD A ROBUST and RELIABLE P300 BCI SYSTEM;2-s2.0-85083307491;10.4015/S1016237220500106;Article;2020;neurology
Diabetes Diseases Prediction Using Supervised Machine Learning and Neighbourhood Components Analysis;2-s2.0-85123040657;10.1145/3386723.3387887;Conference Paper;2020;neurology
Toward identifying reproducible brain signatures of obsessive-compulsive profiles: Rationale and methods for a new global initiative;2-s2.0-85079359493;10.1186/s12888-020-2439-2;Article;2020;neurology
Predicting cervical cancer using machine learning methods;2-s2.0-85089005533;10.14569/IJACSA.2020.0110723;Article;2020;neurology
A Deep Learning H2O Framework for Emergency Prediction in Biomedical Big Data;2-s2.0-85086592455;10.1109/ACCESS.2020.2995790;Article;2020;neurology
Machine learning and deep learning for clinical data and PET/SPECT imaging in parkinsonâ€™s disease: A review;2-s2.0-85102770101;;Review;2020;neurology
Patient Specific Epileptic Seizures Prediction based on Support Vector Machine;2-s2.0-85100564510;10.1109/ICM50269.2020.9331776;Conference Paper;2020;neurology
A data science approach for reliable classification of neuro-degenerative diseases using gait patterns;2-s2.0-85092893217;10.1007/s40860-020-00114-1;Article;2020;neurology
Analysis of smartphone recordings in time, frequency, and cepstral domains to classify Parkinsonâ€™s disease;2-s2.0-85097151791;10.4258/hir.2020.26.4.274;Article;2020;neurology
Adjusted Quick Shift Phase Preserving Dynamic Range Compression method for breast lesions segmentation;2-s2.0-85087092546;10.1016/j.imu.2020.100344;Article;2020;neurology
A Cloud-based Mobile Healthcare Monitoring Framework with Location Privacy Preservation;2-s2.0-85100267871;10.1109/3ICT51146.2020.9311999;Conference Paper;2020;neurology
Deep learning for identifying and classifying retinal diseases;2-s2.0-85097996926;10.1109/ICCIS49240.2020.9257674;Conference Paper;2020;neurology
Topology-Aware Generative Adversarial Network for Joint Prediction of Multiple Brain Graphs from a Single Brain Graph;2-s2.0-85092704087;10.1007/978-3-030-59728-3_54;Conference Paper;2020;neurology
Diagnosis of amyotrophic lateral sclerosis (ALS) disorders based on electromyogram (EMG) signal analysis and feature selection;2-s2.0-85092891003;10.2478/pjmpe-2020-0018;Article;2020;neurology
Language-related features for early detection of Alzheimer Disease;2-s2.0-85093365119;10.1016/j.procs.2020.09.071;Conference Paper;2020;neurology
Foreseeing Brain Graph Evolution over Time Using Deep Adversarial Network Normalizer;2-s2.0-85092900945;10.1007/978-3-030-59354-4_11;Conference Paper;2020;neurology
A multi-label learning model for psychotic diseases in Nigeria;2-s2.0-85083880684;10.1016/j.imu.2020.100326;Article;2020;neurology
E-Health Parkinson Disease Diagnosis in Smart Home Based on Hybrid Intelligence Optimization Model;2-s2.0-85075592269;10.1007/978-3-030-31129-2_15;Conference Paper;2020;neurology
Early Diagnosis of Parkinson's Disease based on Handwritten Patterns using Deep Learning;2-s2.0-85098629308;10.1109/ICDS50568.2020.9268738;Conference Paper;2020;neurology
Detection of early Parkinsonâ€™s disease with wavelet features using finger typing movements on a keyboard;2-s2.0-85100704587;10.1007/s42452-020-03473-9;Article;2020;neurology
Quantification of left ventricular function in MRI: A review of current approaches;2-s2.0-85096584229;10.1109/ATSIP49331.2020.9231709;Conference Paper;2020;neurology
Dynamic distance learning for joint assessment of visual and semantic similarities within the framework of medical image retrieval;2-s2.0-85085274118;10.1016/j.compbiomed.2020.103833;Article;2020;neurology
Artificial Intelligence Prediction x41gorithms for Future Evolution of COVID-19 Cases;2-s2.0-85089165005;10.18280/isi.250305;Article;2020;neurology
Identifying Factors Associated with Neonatal Mortality in Sub-Saharan Africa using Machine Learning;2-s2.0-85105359784;;Article;2020;neurology
Heart Sound Signals Segmentation and Multiclass Classification;2-s2.0-85099051844;10.3991/ijoe.v16i15.16817;Article;2020;neurology
Clustering-Based Deep Brain MultiGraph Integrator Network for Learning Connectional Brain Templates;2-s2.0-85093102517;10.1007/978-3-030-60365-6_11;Conference Paper;2020;neurology
DBN-DNN: discrimination and classification of VNG sequence using deep neural network framework in the EMD domain;2-s2.0-85089254448;10.1080/21681163.2020.1799867;Article;2020;neurology
Emerging Opportunities Provided by Technology to Advance Research in Child Health Globally;2-s2.0-85085470909;10.1177/2333794X20917570;Article;2020;neurology
A simple and predictive model for covid-19 evolution in large scale infected countries;2-s2.0-85101328278;;Article;2020;neurology
Burns Depth Assessment Using Deep Learning Features;2-s2.0-85092644660;10.1007/s40846-020-00574-z;Article;2020;neurology
Automated classification of a tropical landscape infested by Parthenium weed (Parthenium hyterophorus);2-s2.0-85090241955;10.1080/01431161.2020.1779375;Article;2020;neurology
Automated Classification of Depression Severity Using Speech-A Comparison of Two Machine Learning Architectures;2-s2.0-85103192752;10.1109/ICHI48887.2020.9374335;Conference Paper;2020;neurology
Automated machine vision enabled detection of movement disorders from hand drawn spirals;2-s2.0-85103149589;10.1109/ICHI48887.2020.9374333;Conference Paper;2020;neurology
Comparative Analysis of Various Machine Learning Techniques for Epileptic Seizures Detection and Prediction Using EEG Data;2-s2.0-85097956811;10.1109/NILES50944.2020.9257979;Conference Paper;2020;neurology
Fine-Tuning Pre-Trained Convolutional Neural Networks for Women Common Cancer Classification using RNA-Seq Gene Expression;2-s2.0-85097566036;10.14569/IJACSA.2020.0111182;Article;2020;neurology
A natural evolution optimization based deep learning algorithm for neurological disorder classification;2-s2.0-85086891372;10.3233/BME-201081;Article;2020;neurology
Automated rheumatic heart disease detection from phonocardiogram in cardiology ward;2-s2.0-85083704813;;Conference Paper;2020;neurology
VNG technique for a convenient vestibular neuritis rating;2-s2.0-85082977276;10.1080/21681163.2020.1741034;Article;2020;neurology
Predicting the Risk Factor for Developing Chronic Kidney Disease Using a 3-Stage Prediction Model;2-s2.0-85081383346;10.1007/978-3-030-39442-4_46;Conference Paper;2020;neurology
A Deep Neural Network Classification Approach for Alzheimerâ€™s Disease Diagnosis;2-s2.0-85080886096;10.1007/978-3-030-36674-2_2;Conference Paper;2020;neurology
Prediction of daily PM10concentration using machine learning;2-s2.0-85100088778;10.1109/ICECOCS50124.2020.9314380;Conference Paper;2020;neurology
