Title;EID;DOI;DocumentType;Year;Category
Optimal feature level fusion based ANFIS classifier for brain MRI image classification;2-s2.0-85052648478;10.1002/cpe.4887;Conference Paper;2020;neurosurgery
DeepSeg: deep neural network framework for automatic brain tumor segmentation using magnetic resonance FLAIR images;2-s2.0-85085154586;10.1007/s11548-020-02186-z;Article;2020;neurosurgery
Deep Multi-Scale 3D Convolutional Neural Network (CNN) for MRI Gliomas Brain Tumor Classification;2-s2.0-85085353964;10.1007/s10278-020-00347-9;Article;2020;neurosurgery
Fully automatic brain tumor segmentation with deep learning-based selective attention using overlapping patches and multi-class weighted cross-entropy;2-s2.0-85084600417;10.1016/j.media.2020.101692;Article;2020;neurosurgery
Transfer learning using convolutional neural network architectures for brain tumor classification from MRI images;2-s2.0-85086239075;10.1007/978-3-030-49161-1_17;Conference Paper;2020;neurosurgery
Deep Learning in Selected Cancersâ€™ Image Analysisâ€”A Survey;2-s2.0-85103857063;10.3390/jimaging6110121;Review;2020;neurosurgery
GP-GAN: Brain tumor growth prediction using stacked 3D generative adversarial networks from longitudinal MR Images;2-s2.0-85091235764;10.1016/j.neunet.2020.09.004;Article;2020;neurosurgery
Convolutional Neural Networks for Multimodal Brain MRI Images Segmentation: A Comparative Study;2-s2.0-85086225574;10.1007/978-3-030-45183-7_25;Conference Paper;2020;neurosurgery
A novel method based on deep learning for herniated lumbar disc segmentation;2-s2.0-85100605938;10.1109/IC_ASET49463.2020.9318261;Conference Paper;2020;neurosurgery
Deep learning-aided brain tumor detection: An initial experience based cloud framework;2-s2.0-85099807246;10.11591/ijeei.v8i4.2436;Article;2020;neurosurgery
MRI Brain Images Classification Using Convolutional Neural Networks;2-s2.0-85080964883;10.1007/978-3-030-36674-2_32;Conference Paper;2020;neurosurgery
Glioblastomas brain Tumor Segmentation using Optimized U-Net based on Deep Fully Convolutional Networks (D-FCNs);2-s2.0-85096533252;10.1109/ATSIP49331.2020.9231681;Conference Paper;2020;neurosurgery
Segmentation of medical images for the extraction of brain tumors: A comparative study between the Hidden Markov and Deep Learning approaches;2-s2.0-85093828125;10.1109/ISCV49265.2020.9204319;Conference Paper;2020;neurosurgery
A review of recent progress in deep learning-based methods for MRI brain tumor segmentation;2-s2.0-85085044696;10.1109/ICICS49469.2020.239550;Conference Paper;2020;neurosurgery
Self-Organizing Maps to Assess Rehabilitation Progress of Post-Stroke Patients;2-s2.0-85097935359;10.1109/NILES50944.2020.9257927;Conference Paper;2020;neurosurgery
ReÐ°l-time heÐ°rt diseÐ°se detection Ð°nd monitoring system bÐ°sed on fÐ°st mÐ°chine leÐ°rning using SpÐ°rk;2-s2.0-85087631314;10.1007/s12553-020-00460-3;Article;2020;neurosurgery
Paired Augmentation for Improved Image Classification using Neural Network Models;2-s2.0-85105458487;10.1109/CSDE50874.2020.9411553;Conference Paper;2020;neurosurgery
Automatic Ischemic Stroke Lesions Segmentation in Multimodality MRI using Mask Region-based Convolutional Neural Network;2-s2.0-85100693504;10.1109/IC_ASET49463.2020.9318265;Conference Paper;2020;neurosurgery
Laughter signature, a new approach to gender recognition;2-s2.0-85136031940;10.1002/eng2.12267;Article;2020;neurosurgery
Predicting diabetes from health-based streaming data using social media, machine learning and stream processing technologies;2-s2.0-85093696888;10.37624/ijert/13.8.2020.1957-1967;Article;2020;neurosurgery
Deep convolutional neural networks for brain tumor segmentation: Boosting performance using deep transfer learning: Preliminary results;2-s2.0-85085507634;10.1007/978-3-030-46643-5_30;Conference Paper;2020;neurosurgery
2D Brain Tumor Segmentation Based on Thermal Analysis Model Using U-Net on GPUs;2-s2.0-85085168798;10.1007/978-981-15-0947-6_48;Conference Paper;2020;neurosurgery
Deep learning for brain tumor segmentation: A survey of state-of-the-art;2-s2.0-85106894977;10.3390/jimaging7020019;Review;2021;neurosurgery
Artificial intelligence with big data analytics-based brain intracranial hemorrhage e-diagnosis using CT images;2-s2.0-85108378811;10.1007/s00521-021-06240-y;Article;2021;neurosurgery
Article mb-ai-his: Histopathological diagnosis of pediatric medulloblastoma and its subtypes via ai;2-s2.0-85103323751;10.3390/diagnostics11020359;Article;2021;neurosurgery
Deep Learning Approach for Medical Image Analysis;2-s2.0-85106376551;10.1155/2021/6215281;Article;2021;neurosurgery
Transfer Learning for Automatic Brain Tumor Classification Using MRI Images;2-s2.0-85103858396;10.1109/IHSH51661.2021.9378739;Conference Paper;2021;neurosurgery
Predicting Systolic Blood Pressure in Real-Time Using Streaming Data and Deep Learning;2-s2.0-85090316629;10.1007/s11036-020-01645-w;Article;2021;neurosurgery
Clinical applications of artificial intelligence and radiomics in neuro-oncology imaging;2-s2.0-85117584569;10.1186/s13244-021-01102-6;Review;2021;neurosurgery
Brain cancer tumor classification from motion-corrected MRI images using convolutional neural network;2-s2.0-85104825321;10.32604/cmc.2021.016907;Article;2021;neurosurgery
MRI-based radiomics for prognosis of pediatric diffuse intrinsic pontine glioma: An international study;2-s2.0-85119104101;10.1093/noajnl/vdab042;Article;2021;neurosurgery
Towards a computer aided diagnosis (CAD) for brain MRI glioblastomas tumor exploration based on a deep convolutional neuronal networks (D-CNN) architectures;2-s2.0-85090305156;10.1007/s11042-020-09786-6;Article;2021;neurosurgery
An ensemble of optimal deep learning features for brain tumor classification;2-s2.0-85110513271;10.32604/cmc.2021.018606;Article;2021;neurosurgery
Automated Brain Imaging Diagnosis and Classification Model using Rat Swarm Optimization with Deep Learning based Capsule Network;2-s2.0-85110292625;10.1142/S0219467822400010;Article;2021;neurosurgery
Classification of impedance cardiography dZ/dt complex subtypes using pattern recognition artificial neural networks;2-s2.0-85109074049;10.1515/bmt-2020-0267;Article;2021;neurosurgery
Nature-Inspired Level Set Segmentation Model for 3D-MRI Brain Tumor Detection;2-s2.0-85103634297;10.32604/cmc.2021.014404;Article;2021;neurosurgery
Automatic diagnosis of common carotid artery disease using different machine learning techniques;2-s2.0-85105861117;10.1007/s12652-021-03295-6;Article;2021;neurosurgery
Machine Assist for Pediatric Posterior Fossa Tumor Diagnosis: A Multinational Study;2-s2.0-85118598361;10.1093/neuros/nyab311;Article;2021;neurosurgery
Deep learning-based studies on pediatric brain tumors imaging: Narrative review of techniques and challenges;2-s2.0-85107381663;10.3390/brainsci11060716;Review;2021;neurosurgery
Heart Disease Prediction using Machine Learning Techniques;2-s2.0-85124651655;10.1109/ICDABI53623.2021.9655783;Conference Paper;2021;neurosurgery
Design of a data glove for assessment of hand performance using supervised machine learning;2-s2.0-85117334068;10.3390/s21216948;Article;2021;neurosurgery
Glioma-Targeted Therapeutics: Computer-Aided Drug Design Prospective;2-s2.0-85116049498;10.1007/s10930-021-10021-w;Review;2021;neurosurgery
Deep learning guided by an ontology for medical images classification using a multimodal fusion;2-s2.0-85112350070;10.1109/ICOTEN52080.2021.9493469;Conference Paper;2021;neurosurgery
Novel evolutionary-EAC instance-learning-based algorithm for fast data stream mining in assisted living with extreme connectivity;2-s2.0-85102682377;10.1007/s00607-020-00899-2;Article;2021;neurosurgery
Hybrid WCAâ€“SCA and modified FRFCM technique for enhancement and segmentation of brain tumor from magnetic resonance images;2-s2.0-85102086719;10.4015/S1016237221500174;Article;2021;neurosurgery
Herniated lumbar disc generation and classification using cycle generative adversarial networks on axial view mri;2-s2.0-85104380792;10.3390/electronics10080982;Article;2021;neurosurgery
