Title;EID;DOI;DocumentType;Year;Category
Within the lack of chest COVID-19 X-ray dataset: A novel detection model based on GAN and deep transfer learning;2-s2.0-85084656133;10.3390/SYM12040651;Article;2020;obstetrics
Sentiment Analysis of COVID-19 tweets by Deep Learning Classifiersâ€”A study to show how popularity is affecting accuracy in social media;2-s2.0-85092457474;10.1016/j.asoc.2020.106754;Article;2020;obstetrics
An intelligent healthcare monitoring framework using wearable sensors and social networking data;2-s2.0-85088916811;10.1016/j.future.2020.07.047;Article;2020;obstetrics
A deep transfer learning model with classical data augmentation and CGAN to detect COVID-19 from chest CT radiography digital images;2-s2.0-85093947069;10.1007/s00521-020-05437-x;Article;2020;obstetrics
MultiD-CNN: A multi-dimensional feature learning approach based on deep convolutional networks for gesture recognition in RGB-D image sequences;2-s2.0-85069850273;10.1016/j.eswa.2019.112829;Article;2020;obstetrics
CNN-based health model for regular health factors analysis in internet-of-medical things environment;2-s2.0-85082511150;10.1109/ACCESS.2020.2980938;Article;2020;obstetrics
Improved sparse autoencoder based artificial neural network approach for prediction of heart disease;2-s2.0-85080984540;10.1016/j.imu.2020.100307;Article;2020;obstetrics
CheXaid_ deep learning assistance for physician diagnosis of tuberculosis using chest x-rays in patients with HIV;2-s2.0-85090392787;10.1038/s41746-020-00322-2;Article;2020;obstetrics
Prediction of covid-19 using genetic deep learning convolutional neural network (GDCNN);2-s2.0-85097746578;10.1109/ACCESS.2020.3025164;Article;2020;obstetrics
Machine Learning and Network Analyses Reveal Disease Subtypes of Pancreatic Cancer and their Molecular Characteristics;2-s2.0-85078441549;10.1038/s41598-020-58290-2;Article;2020;obstetrics
A novel blood pressure estimation method based on the classification of oscillometric waveforms using machine-learning methods;2-s2.0-85079874238;10.1016/j.apacoust.2020.107279;Article;2020;obstetrics
Aircraft engines Remaining Useful Life prediction with an adaptive denoising online sequential Extreme Learning Machine;2-s2.0-85090411196;10.1016/j.engappai.2020.103936;Article;2020;obstetrics
Estimation of connectional brain templates using selective multi-view network normalization;2-s2.0-85073170115;10.1016/j.media.2019.101567;Article;2020;obstetrics
Hybrid-COVID: a novel hybrid 2D/3D CNN based on cross-domain adaptation approach for COVID-19 screening from chest X-ray images;2-s2.0-85097508732;10.1007/s13246-020-00957-1;Article;2020;obstetrics
Fairness of Classifiers Across Skin Tones in Dermatology;2-s2.0-85092762846;10.1007/978-3-030-59725-2_31;Conference Paper;2020;obstetrics
Multiomics Characterization of Preterm Birth in Low-and Middle-Income Countries;2-s2.0-85098825235;10.1001/jamanetworkopen.2020.29655;Article;2020;obstetrics
Prediction of human activities based on a new structure of skeleton features and deep learning model;2-s2.0-85090025667;10.3390/s20174944;Article;2020;obstetrics
Deeph-DTA: Deep learning for predicting drug-target interactions: A case study of covid-19 drug repurposing;2-s2.0-85102847950;10.1109/ACCESS.2020.3024238;Article;2020;obstetrics
Predictive Modeling for Perinatal Mortality in Resource-Limited Settings;2-s2.0-85096456805;10.1001/jamanetworkopen.2020.26750;Article;2020;obstetrics
Prediction of perinatal death using machine learning models: A birth registry-based cohort study in northern Tanzania;2-s2.0-85093911498;10.1136/bmjopen-2020-040132;Article;2020;obstetrics
Smartphone motion sensor-based complex human activity identification using deep stacked autoencoder algorithm for enhanced smart healthcare system;2-s2.0-85095728678;10.3390/s20216300;Article;2020;obstetrics
