Title;EID;DOI;DocumentType;Year;Category
Dataset of breast ultrasound images;2-s2.0-85076119250;10.1016/j.dib.2019.104863;Data Paper;2020;oncology
Evaluation of Combined Artificial Intelligence and Radiologist Assessment to Interpret Screening Mammograms;2-s2.0-85081118470;10.1001/jamanetworkopen.2020.0265;Article;2020;oncology
DeepSeg: deep neural network framework for automatic brain tumor segmentation using magnetic resonance FLAIR images;2-s2.0-85085154586;10.1007/s11548-020-02186-z;Article;2020;oncology
Deep Multi-Scale 3D Convolutional Neural Network (CNN) for MRI Gliomas Brain Tumor Classification;2-s2.0-85085353964;10.1007/s10278-020-00347-9;Article;2020;oncology
Machine learning for assisting cervical cancer diagnosis: An ensemble approach;2-s2.0-85077746216;10.1016/j.future.2019.12.033;Article;2020;oncology
Deep learning-based breast cancer classification through medical imaging modalities: state of the art and research challenges;2-s2.0-85067701488;10.1007/s10462-019-09716-5;Article;2020;oncology
BreakHis based breast cancer automatic diagnosis using deep learning: Taxonomy, survey and insights;2-s2.0-85073006752;10.1016/j.neucom.2019.09.044;Article;2020;oncology
Survey of deep learning in breast cancer image analysis;2-s2.0-85071455387;10.1007/s12530-019-09297-2;Review;2020;oncology
Deep learning-based system for automatic melanoma detection;2-s2.0-85078315682;10.1109/ACCESS.2019.2962812;Article;2020;oncology
Artificial intelligence (AI) and big data in cancer and precision oncology;2-s2.0-85090332832;10.1016/j.csbj.2020.08.019;Review;2020;oncology
Cardiac substructure segmentation with deep learning for improved cardiac sparing;2-s2.0-85077871944;10.1002/mp.13940;Article;2020;oncology
Machine Learning and Network Analyses Reveal Disease Subtypes of Pancreatic Cancer and their Molecular Characteristics;2-s2.0-85078441549;10.1038/s41598-020-58290-2;Article;2020;oncology
Transfer learning using convolutional neural network architectures for brain tumor classification from MRI images;2-s2.0-85086239075;10.1007/978-3-030-49161-1_17;Conference Paper;2020;oncology
Fet pet radiomics for differentiating pseudoprogression from early tumor progression in glioma patients postâ€chemoradiation;2-s2.0-85098289221;10.3390/cancers12123835;Article;2020;oncology
Breast Cancer Image Classification via Multi-Network Features and Dual-Network Orthogonal Low-Rank Learning;2-s2.0-85079764351;10.1109/ACCESS.2020.2964276;Article;2020;oncology
Deep Learning in Selected Cancersâ€™ Image Analysisâ€”A Survey;2-s2.0-85103857063;10.3390/jimaging6110121;Review;2020;oncology
Melanoma skin cancer detection using deep learning and classical machine learning techniques: A hybrid approach;2-s2.0-85096595498;10.1109/ATSIP49331.2020.9231544;Conference Paper;2020;oncology
A Novel Bio-Inspired Deep Learning Approach for Liver Cancer Diagnosis;2-s2.0-85081135693;10.3390/info11020080;Article;2020;oncology
Breast cancer masses classification using deep convolutional neural networks and transfer learning;2-s2.0-85089507299;10.1007/s11042-020-09518-w;Article;2020;oncology
Accuracy and efficiency of an artificial intelligence tool when counting breast mitoses;2-s2.0-85087471414;10.1186/s13000-020-00995-z;Article;2020;oncology
