Title;EID;DOI;DocumentType;Year;Category
A Two-Stage Method for Bone X-Rays Abnormality Detection Using MobileNet Network;2-s2.0-85082984993;10.1007/978-3-030-44289-7_35;Conference Paper;2020;osteology
Deep Learning based Approach for Bone Diagnosis Classification in Ultrasonic Computed Tomographic Images;2-s2.0-85099379820;10.14569/IJACSA.2020.0111210;Article;2020;osteology
Brain graph synthesis by dual adversarial domain alignment and target graph prediction from a source graph;2-s2.0-85097735772;10.1016/j.media.2020.101902;Article;2021;osteology
Trabecular Bone Microarchitecture Assessment and Fracture Risk Prediction Using Machine Learning Techniques: A Short Review;2-s2.0-85113671921;10.1109/MI-STA52233.2021.9464362;Conference Paper;2021;osteology
Inter-domain Alignment for Predicting High-Resolution Brain Networks Using Teacher-Student Learning;2-s2.0-85116454320;10.1007/978-3-030-87722-4_19;Conference Paper;2021;osteology
Hybrid SFNet Model for Bone Fracture Detection and Classification Using ML/DL;2-s2.0-85136343002;10.3390/s22155823;Article;2022;osteology
An overview of thermal necrosis: present and future;2-s2.0-85070764628;10.1080/03007995.2019.1603671;Review;2019;osteology
Hierarchical adversarial connectomic domain alignment for target brain graph prediction and classification from a source graph;2-s2.0-85075672779;10.1007/978-3-030-32281-6_11;Conference Paper;2019;osteology
Symmetric dual adversarial connectomic domain alignment for predicting isomorphic brain graph from a baseline graph;2-s2.0-85075648080;10.1007/978-3-030-32251-9_51;Conference Paper;2019;osteology
Exploring the effects of compression via principal components analysis on X-ray image cassification;2-s2.0-85081565117;10.1109/ISCMI47871.2019.9004301;Conference Paper;2019;osteology
Jaw fracture classification using meta heuristic firefly algorithm with multi-layered associative neural networks;2-s2.0-85044714164;10.1007/s10586-018-2668-z;Article;2019;osteology
