Title;EID;DOI;DocumentType;Year;Category
Long short term memory based patient-dependent model for FOG detection in Parkinson's disease;2-s2.0-85076261703;10.1016/j.patrec.2019.11.036;Article;2020;otolaryngology
A deep convolutional neural network for automated vestibular disorder classification using VNG analysis;2-s2.0-85076435227;10.1080/21681163.2019.1699165;Article;2020;otolaryngology
Parkinson's Disease Identification using KNN and ANN Algorithms based on Voice Disorder;2-s2.0-85085494040;10.1109/IRASET48871.2020.9092228;Conference Paper;2020;otolaryngology
Computer assisted medical decision-making system using genetic algorithm and extreme learning machine for diagnosing allergic rhinitis;2-s2.0-85096615126;10.1504/IJBIC.2020.111279;Article;2020;otolaryngology
DBN-DNN: discrimination and classification of VNG sequence using deep neural network framework in the EMD domain;2-s2.0-85089254448;10.1080/21681163.2020.1799867;Article;2020;otolaryngology
VNG technique for a convenient vestibular neuritis rating;2-s2.0-85082977276;10.1080/21681163.2020.1741034;Article;2020;otolaryngology
Performance analysis of efficient pre-trained networks based on transfer learning for tomato leaf diseases classification;2-s2.0-85091021411;10.14569/IJACSA.2020.0110830;Article;2020;otolaryngology
Applying Deep Learning Methods on Time-Series Data for Forecasting COVID-19 in Egypt, Kuwait, and Saudi Arabia;2-s2.0-85102617666;10.1155/2021/6686745;Article;2021;otolaryngology
Biomedical Image Classification in a Big Data Architecture Using Machine Learning Algorithms;2-s2.0-85108030780;10.1155/2021/9998819;Review;2021;otolaryngology
Optimal deep learning approaches and healthcare big data analytics for mobile networks toward 5G;2-s2.0-85112824101;10.1016/j.compeleceng.2021.107376;Article;2021;otolaryngology
2018 Survey of factors associated with antimicrobial drug use and stewardship practices in adult cows on conventional California dairies: Immediate post-Senate Bill 27 impact;2-s2.0-85109714176;10.7717/peerj.11596;Review;2021;otolaryngology
Diagnosing the Stage of Hepatitis C Using Machine Learning;2-s2.0-85122228136;10.1155/2021/8062410;Article;2021;otolaryngology
Exploratory data mining techniques (decision tree models) for examining the impact of internet-based cognitive behavioral therapy for tinnitus: Machine learning approach;2-s2.0-85118997219;10.2196/e28999;Article;2021;otolaryngology
Evolutionary algorithm-based convolutional neural network for predicting heart diseases;2-s2.0-85114161023;10.1016/j.cie.2021.107651;Article;2021;otolaryngology
A novel pre-processing technique in pathologic voice detection: Application to Parkinson's disease phonation;2-s2.0-85103687967;10.1016/j.bspc.2021.102604;Article;2021;otolaryngology
18FDG positron emission tomography mining for metabolic imaging biomarkers of radiation-induced xerostomia in patients with oropharyngeal cancer;2-s2.0-85108361126;10.1016/j.ctro.2021.05.011;Article;2021;otolaryngology
Machine learning applied to problem-solving inmedical applications;2-s2.0-85110426213;10.32604/cmc.2021.018000;Article;2021;otolaryngology
Spasmodic Dysphonia Detection Using Machine Learning Classifiers;2-s2.0-85125966216;10.1109/ICRAMI52622.2021.9585920;Conference Paper;2021;otolaryngology
Optimal deep learning based fusion model for biomedical image classification;2-s2.0-85109388934;10.1111/exsy.12764;Article;2022;otolaryngology
Efficient deep-learning-based autoencoder denoising approach for medical image diagnosis;2-s2.0-85117047676;10.32604/cmc.2022.020698;Article;2022;otolaryngology
Blockchain-Based Deep Learning to Process IoT Data Acquisition in Cognitive Data;2-s2.0-85125005186;10.1155/2022/5038851;Article;2022;otolaryngology
Voice disorder classification using speech enhancement and deep learning models;2-s2.0-85126865153;10.1016/j.bbe.2022.03.002;Article;2022;otolaryngology
Intelligent disease diagnosis model for energy aware cluster based iot healthcare systems;2-s2.0-85118630491;10.32604/cmc.2022.022469;Article;2022;otolaryngology
Recent Advances in the Rheumatic Fever and Rheumatic Heart Disease Continuum;2-s2.0-85124020402;10.3390/pathogens11020179;Review;2022;otolaryngology
End-to-End Deep Learning Model for Corn Leaf Disease Classification;2-s2.0-85126562176;10.1109/ACCESS.2022.3159678;Article;2022;otolaryngology
Automatic Segmentation of Head and Neck (H&N) Primary Tumors in PET and CT Images Using 3D-Inception-ResNet Model;2-s2.0-85123435592;10.1007/978-3-030-98253-9_4;Conference Paper;2022;otolaryngology
A multi-variate heart disease optimization and recognition framework;2-s2.0-85129699010;10.1007/s00521-022-07241-1;Article;2022;otolaryngology
A Machine Learning Approach to Screen for Otitis Media Using Digital Otoscope Images Labelled by an Expert Panel;2-s2.0-85131529117;10.3390/diagnostics12061318;Article;2022;otolaryngology
Identifying Immunological and Clinical Predictors of COVID-19 Severity and Sequelae by Mathematical Modeling;2-s2.0-85129533734;10.3389/fimmu.2022.865845;Article;2022;otolaryngology
Factors Associated with Antimicrobial Stewardship Practices on California Dairies: One Year Post Senate Bill 27;2-s2.0-85124473803;10.3390/antibiotics11020165;Article;2022;otolaryngology
Towards AI Based Diagnosis of Rheumatic Heart Disease: Data Annotation and View Classification;2-s2.0-85137525522;10.23919/IST-Africa56635.2022.9845657;Conference Paper;2022;otolaryngology
Multidimensional CNN-Based Deep Segmentation Method for Tumor Identification;2-s2.0-85137020037;10.1155/2022/5061112;Article;2022;otolaryngology
Machine Learning in Diagnosing Middle Ear Disorders Using Tympanic Membrane Images: A Meta-Analysis;2-s2.0-85135027629;10.1002/lary.30291;Review;2022;otolaryngology
Validation of machine learning for Clinical Assessment of lumbar spine pathologies Using Graphic User Interface;2-s2.0-85133143664;10.1109/ISPA54004.2022.9786356;Conference Paper;2022;otolaryngology
Machine Learning on the Diagnosis of Brain Tumors;2-s2.0-85133136627;10.1109/ISPA54004.2022.9786301;Conference Paper;2022;otolaryngology
Endoscopic computer vision challenges 2.0;2-s2.0-85132153618;;Conference Paper;2022;otolaryngology
Real-Time Multi-Class Infection Classification for Respiratory Diseases;2-s2.0-85132125294;10.32604/cmc.2022.028847;Article;2022;otolaryngology
Swarm Intelligence Algorithms-Based Machine Learning Framework for Medical Diagnosis: A Comprehensive Review;2-s2.0-85131787330;10.1007/978-3-030-99079-4_4;Book Chapter;2022;otolaryngology
Enhancing Parkinson's disease diagnosis accuracy through speech signal algorithm modeling;2-s2.0-85116052529;10.32604/cmc.2022.020109;Article;2022;otolaryngology
Deep Learning Algorithm for Auto-Delineation of High-Risk Oropharyngeal Clinical Target Volumes With Built-In Dice Similarity Coefficient Parameter Optimization Function;2-s2.0-85044070515;10.1016/j.ijrobp.2018.01.114;Article;2018;otolaryngology
Diagnosis of Focal Liver Diseases Based on Deep Learning Technique for Ultrasound Images;2-s2.0-85024893433;10.1007/s13369-016-2387-9;Article;2017;otolaryngology
Amikacin concentrations predictive of ototoxicity in multidrug-resistant tuberculosis patients;2-s2.0-84942935430;10.1128/AAC.01050-15;Article;2015;otolaryngology
A survey on applying machine learning techniques for management of diseases;2-s2.0-85040589363;10.1016/j.jab.2018.01.002;Review;2018;otolaryngology
Machine learning applications in head and neck radiation oncology: Lessons from open-source radiomics challenges;2-s2.0-85051839540;10.3389/fonc.2018.00294;Article;2018;otolaryngology
Investigation of radiomic signatures for local recurrence using primary tumor texture analysis in oropharyngeal head and neck cancer patients;2-s2.0-85041134670;10.1038/s41598-017-14687-0;Article;2018;otolaryngology
Matched computed tomography segmentation and demographic data for oropharyngeal cancer radiomics challenges;2-s2.0-85021709663;10.1038/sdata.2017.77;Article;2017;otolaryngology
WBAN Path Loss Based Approach for Human Activity Recognition with Machine Learning Techniques;2-s2.0-85053937876;10.1109/IWCMC.2018.8450537;Conference Paper;2018;otolaryngology
