Title;EID;DOI;DocumentType;Year;Category
DeepSeg: deep neural network framework for automatic brain tumor segmentation using magnetic resonance FLAIR images;2-s2.0-85085154586;10.1007/s11548-020-02186-z;Article;2020;pathology
Deep learning-based system for automatic melanoma detection;2-s2.0-85078315682;10.1109/ACCESS.2019.2962812;Article;2020;pathology
Breast ultrasound region of interest detection and lesion localisation;2-s2.0-85086503145;10.1016/j.artmed.2020.101880;Article;2020;pathology
Editorial for â€œPreoperative MRI-Based Radiomic Machine-Learning Nomogram May Accurately Distinguish Between Benign and Malignant Soft Tissue Lesions: A Two-Center Studyâ€;2-s2.0-85083375232;10.1002/jmri.27163;Editorial;2020;pathology
Melanoma skin cancer detection using deep learning and classical machine learning techniques: A hybrid approach;2-s2.0-85096595498;10.1109/ATSIP49331.2020.9231544;Conference Paper;2020;pathology
A Novel Bio-Inspired Deep Learning Approach for Liver Cancer Diagnosis;2-s2.0-85081135693;10.3390/info11020080;Article;2020;pathology
Convolutional neural network for automated mass segmentation in mammography;2-s2.0-85097372018;10.1186/s12859-020-3521-y;Article;2020;pathology
Fairness of Classifiers Across Skin Tones in Dermatology;2-s2.0-85092762846;10.1007/978-3-030-59725-2_31;Conference Paper;2020;pathology
Neuro-fuzzy patch-wise R-CNN for multiple sclerosis segmentation;2-s2.0-85088162708;10.1007/s11517-020-02225-6;Article;2020;pathology
A deep convolutional neural network for automated vestibular disorder classification using VNG analysis;2-s2.0-85076435227;10.1080/21681163.2019.1699165;Article;2020;pathology
Convolutional Neural Networks for Multimodal Brain MRI Images Segmentation: A Comparative Study;2-s2.0-85086225574;10.1007/978-3-030-45183-7_25;Conference Paper;2020;pathology
Utilization of a convolutional method for Alzheimer disease diagnosis;2-s2.0-85083577693;10.1007/s00138-020-01074-5;Conference Paper;2020;pathology
Deep learning-based image evaluation for cervical precancer screening with a smartphone targeting low resource settings - Engineering approach;2-s2.0-85089968637;10.1109/EMBC44109.2020.9175863;Conference Paper;2020;pathology
Fully Automated Approach for Early Detection of Pigmented Skin Lesion Diagnosis Using ABCD;2-s2.0-85088159975;10.1007/s41666-020-00067-3;Article;2020;pathology
Adjusted Quick Shift Phase Preserving Dynamic Range Compression method for breast lesions segmentation;2-s2.0-85087092546;10.1016/j.imu.2020.100344;Article;2020;pathology
Skin Lesion Segmentation Using Local Binary Convolution-Deconvolution Architecture;2-s2.0-85099002893;10.5566/IAS.2397;Article;2020;pathology
Colored video analysis in wireless capsule endoscopy: A survey of state-of-the-art;2-s2.0-85094915466;10.2174/1573405616666200124140915;Review;2020;pathology
Segmentation of medical images for the extraction of brain tumors: A comparative study between the Hidden Markov and Deep Learning approaches;2-s2.0-85093828125;10.1109/ISCV49265.2020.9204319;Conference Paper;2020;pathology
Diabetic Retinopathy Grading Based on a Hybrid Deep Learning Model;2-s2.0-85100481995;10.1109/ICDABI51230.2020.9325672;Conference Paper;2020;pathology
Improved predictive sparse decomposition method with densenet for prediction of lung cancer;2-s2.0-85103323355;10.47839/ijc.19.4.1986;Article;2020;pathology
Screening test accuracy to improve detection of precancerous lesions of the cervix in women living with HIV: A study protocol;2-s2.0-85098229521;10.1136/bmjopen-2020-037955;Article;2020;pathology
MobileNet Neural Network skin disease detector with Raspberry pi Integrated to Telegram;2-s2.0-85092067068;10.1109/icABCD49160.2020.9183888;Conference Paper;2020;pathology
Macroscopic Skin Lesion Segmentation Using GrabCut;2-s2.0-85097556029;10.1007/978-3-030-63007-2_41;Conference Paper;2020;pathology
Deep convolutional neural network with tensorflow and keras to classify skin cancer images;2-s2.0-85088915848;10.12694:/scpe.v21i3.1725;Article;2020;pathology
Automatic Ischemic Stroke Lesions Segmentation in Multimodality MRI using Mask Region-based Convolutional Neural Network;2-s2.0-85100693504;10.1109/IC_ASET49463.2020.9318265;Conference Paper;2020;pathology
A novel computer-aided diagnostic system for early assessment of hepatocellular carcinoma;2-s2.0-85110523752;10.1109/ICPR48806.2021.9413044;Conference Paper;2020;pathology
Erratum: Tabu Search and Machine-Learning Classification of Benign and Malignant Proliferative Breast Lesions (BioMed Research International(2020)2020(10)Doi: 10.1155/2020/4671349);2-s2.0-85088507249;10.1155/2020/7638969;Erratum;2020;pathology
Deep learning techniques for skin lesion analysis and melanoma cancer detection: a survey of state-of-the-art;2-s2.0-85087368605;10.1007/s10462-020-09865-y;Article;2021;pathology
A framework for breast cancer classification using Multi-DCNNs;2-s2.0-85100440642;10.1016/j.compbiomed.2021.104245;Article;2021;pathology
Data augmentation for skin lesion using self-attention based progressive generative adversarial network;2-s2.0-85090417710;10.1016/j.eswa.2020.113922;Article;2021;pathology
YOLO Based Breast Masses Detection and Classification in Full-Field Digital Mammograms;2-s2.0-85096024503;10.1016/j.cmpb.2020.105823;Article;2021;pathology
Standalone performance of artificial intelligence for upper GI neoplasia: A meta-analysis;2-s2.0-85095743648;10.1136/gutjnl-2020-321922;Article;2021;pathology
