Title;EID;DOI;DocumentType;Year;Category
A novel medical diagnosis support system for predicting patients with atherosclerosis diseases;2-s2.0-85097438509;10.1016/j.imu.2020.100483;Article;2020;pediatric cardiac surgery
Supervised machine learning based medical diagnosis support system for prediction of patients with heart disease;2-s2.0-85092798039;10.25046/AJ050533;Article;2020;pediatric cardiac surgery
Atherosclerosis disease prediction using Supervised Machine Learning Techniques;2-s2.0-85085520742;10.1109/IRASET48871.2020.9092082;Conference Paper;2020;pediatric cardiac surgery
Prediction of Patients with Heart Disease using Artificial Neural Network and Adaptive Boosting techniques;2-s2.0-85093645755;10.1109/CommNet49926.2020.9199620;Conference Paper;2020;pediatric cardiac surgery
Quantification of left ventricular function in MRI: A review of current approaches;2-s2.0-85096584229;10.1109/ATSIP49331.2020.9231709;Conference Paper;2020;pediatric cardiac surgery
Improved heart disease prediction using particle swarm optimization based stacked sparse autoencoder;2-s2.0-85115791077;10.3390/electronics10192347;Article;2021;pediatric cardiac surgery
Machine Learning for Ischemic Heart Disease Diagnosis Aided by Evolutionary Computing;2-s2.0-85120450423;10.1155/2021/6718029;Article;2021;pediatric cardiac surgery
A Proposal of Clinical Decision Support System Using Ensemble Learning for Coronary Artery Disease Diagnosis;2-s2.0-85104404205;10.1007/978-3-030-70569-5_19;Conference Paper;2021;pediatric cardiac surgery
Sensitivity analysis of coronary heart disease using two deep learning algorithms CNN RNN;2-s2.0-85118943646;;Conference Paper;2021;pediatric cardiac surgery
Machine Learning-Based Automated Diagnostic Systems Developed for Heart Failure Prediction Using Different Types of Data Modalities: A Systematic Review and Future Directions;2-s2.0-85124596022;10.1155/2022/9288452;Review;2022;pediatric cardiac surgery
Automating and improving cardiovascular disease prediction using Machine learning and EMR data features from a regional healthcare system;2-s2.0-85129508005;10.1016/j.ijmedinf.2022.104786;Article;2022;pediatric cardiac surgery
The role of adiposity, diet and inflammation on the discordance between LDL-C and apolipoprotein B;2-s2.0-85124189177;10.1016/j.numecd.2021.12.004;Article;2022;pediatric cardiac surgery
A Machine Learning Based Discharge Prediction of Cardiovascular Diseases Patients in Intensive Care Units;2-s2.0-85131379397;10.3390/healthcare10060966;Article;2022;pediatric cardiac surgery
An efficient classification rule generation for coronary artery disease diagnosis using a novel discrete equilibrium optimizer algorithm;2-s2.0-85134880363;10.3233/JIFS-213257;Article;2022;pediatric cardiac surgery
Machine Learning Approach for Cardiovascular Risk and Coronary Artery Calcification Score;2-s2.0-85133247298;10.1155/2022/2632770;Article;2022;pediatric cardiac surgery
A collaborative resource to build consensus for automated left ventricular segmentation of cardiac MR images;2-s2.0-84884915206;10.1016/j.media.2013.09.001;Article;2014;pediatric cardiac surgery
Feature Analysis of Coronary Artery Heart Disease Data Sets;2-s2.0-84953324317;10.1016/j.procs.2015.09.132;Conference Paper;2015;pediatric cardiac surgery
A fuzzy classification model for myocardial infarction risk assessment;2-s2.0-85036582758;10.1007/s10489-017-1102-1;Article;2018;pediatric cardiac surgery
Full training convolutional neural network for ECG signals classification;2-s2.0-85076746391;10.1063/1.5138541;Conference Paper;2019;pediatric cardiac surgery
Robust and reliable PPG and ECG integrated biosensor;2-s2.0-85079245402;10.1109/ISPA48434.2019.8966922;Conference Paper;2019;pediatric cardiac surgery
