Title;EID;DOI;DocumentType;Year;Category
Bacterial Vaginosis: Current Diagnostic Avenues and Future Opportunities;2-s2.0-85089995499;10.3389/fcimb.2020.00354;Review;2020;pediatrics
Achieving accurate estimates of fetal gestational age and personalised predictions of fetal growth based on data from an international prospective cohort study: a population-based machine learning study;2-s2.0-85086706974;10.1016/S2589-7500(20)30131-X;Article;2020;pediatrics
Multiomics Characterization of Preterm Birth in Low-and Middle-Income Countries;2-s2.0-85098825235;10.1001/jamanetworkopen.2020.29655;Article;2020;pediatrics
Metabolic gestational age assessment in low resource settings: A validation protocol;2-s2.0-85099725149;10.12688/gatesopenres.13155.1;Article;2020;pediatrics
Article mb-ai-his: Histopathological diagnosis of pediatric medulloblastoma and its subtypes via ai;2-s2.0-85103323751;10.3390/diagnostics11020359;Article;2021;pediatrics
Maternal fecal microbiome predicts gestational age, birth weight and neonatal growth in rural Zimbabwe.;2-s2.0-85107772625;10.1016/j.ebiom.2021.103421;Article;2021;pediatrics
Advance Machine Learning Methods for Dyslexia Biomarker Detection: A Review of Implementation Details and Challenges;2-s2.0-85101815798;10.1109/ACCESS.2021.3062709;Article;2021;pediatrics
Gaussian smoothing and modified histogram normalization methods to improve neural-biomarker interpretations for dyslexia classification mechanism;2-s2.0-85102096769;10.1371/journal.pone.0245579;Article;2021;pediatrics
Machine learning guided postnatal gestational age assessment using new-born screening metabolomic data in South Asia and sub-Saharan Africa;2-s2.0-85114399035;10.1186/s12884-021-04067-y;Article;2021;pediatrics
Simplified models to assess newborn gestational age in low-middle income countries: Findings from a multicountry, prospective cohort study;2-s2.0-85115090202;10.1136/bmjgh-2021-005688;Article;2021;pediatrics
Using Amanhi-Act Cohorts For External Validation Of Iowa New-Born Metabolic Profiles Based Models For Postnatal Gestational Age Estimation;2-s2.0-85111774845;10.7189/JOGH.11.04044;Article;2021;pediatrics
Nomogram to early screen multiparous women for preterm birth in a cohort study;2-s2.0-85106373941;10.46300/91011.2021.15.17;Article;2021;pediatrics
Associations between ambient temperature and risk of preterm birth in Sweden: A comparison of analytical approaches;2-s2.0-85132423785;10.1016/j.envres.2022.113586;Article;2022;pediatrics
Machine learning prediction of gestational age from metabolic screening markers resistant to ambient temperature transportation: Facilitating use of this technology in low resource settings of South Asia and East Africa;2-s2.0-85129781370;10.7189/jogh.12.04021;Article;2022;pediatrics
Privacy-Preserving Classification Method for Neural-Biomarkers using Homomorphic Residue Number System CNN: HoRNS-CNN;2-s2.0-85129585688;10.1109/ICBATS54253.2022.9759007;Conference Paper;2022;pediatrics
Fetal brain abnormality classification from mri images of different gestational age;2-s2.0-85073363087;10.3390/brainsci9090231;Article;2019;pediatrics
Improving preterm newborn identification in low-resource settings with machine learning;2-s2.0-85062195404;10.1371/journal.pone.0198919;Article;2019;pediatrics
Development and validation of a simplified algorithm for neonatal gestational age assessment - protocol for the Alliance for Maternal Newborn Health Improvement (AMANHI) prospective cohort study;2-s2.0-85039038993;10.7189/jogh.07.021201;Article;2017;pediatrics
Optimistic multi-granulation rough set-based classification for neonatal jaundice diagnosis;2-s2.0-84952332793;10.1007/978-3-319-18296-4_26;Conference Paper;2016;pediatrics
Rough set based feature selection for Egyptian neonatal jaundice;2-s2.0-84916232928;10.1007/978-3-319-13461-1_35;Conference Paper;2014;pediatrics
Mobile-Bayesian diagnostic system for childhood infectious diseases;2-s2.0-85026757173;10.3233/978-1-61499-773-3-109;Conference Paper;2017;pediatrics
