Title;EID;DOI;DocumentType;Year;Category
Inertial sensor-based gait parameters reflect patient-reported fatigue in multiple sclerosis;2-s2.0-85097766998;10.1186/s12984-020-00798-9;Article;2020;primary care
Instanceeasytl: An improved transfer-learning method for EEG-based cross-subject fatigue detection;2-s2.0-85097818973;10.3390/s20247251;Article;2020;primary care
Teeth infection and fatigue prediction using optimized neural networks and big data analytic tool;2-s2.0-85084075469;10.1007/s10586-020-03112-3;Article;2020;primary care
Convolutional neural network for drowsiness detection using eeg signals;2-s2.0-85101860027;10.3390/s21051734;Article;2021;primary care
Intelligent internet of things and advanced machine learning techniques for covid-19;2-s2.0-85104577707;10.4108/eai.28-1-2021.168505;Article;2021;primary care
Application of intelligence-based computational techniques for classification and early differential diagnosis of COVID-19 disease;2-s2.0-85126586554;10.1016/j.dsm.2021.12.001;Article;2021;primary care
Assessment of muscle activity using electrical stimulation and mechanomyography: a systematic review;2-s2.0-85098568226;10.1186/s12938-020-00840-w;Review;2021;primary care
A Brief Overview on Machine Learning in Rehabilitation of the Human Arm via an Exoskeleton Robot;2-s2.0-85124676607;10.1109/ICDABI53623.2021.9655865;Conference Paper;2021;primary care
Artificial intelligence approach to predict the COVID-19 patientâ€™s recovery;2-s2.0-85102625127;10.1007/978-3-030-63307-3_8;Book Chapter;2021;primary care
A Survey on Deep Learning and Machine Learning for COVID-19 Detection;2-s2.0-85128630345;10.1145/3508072.3508094;Conference Paper;2021;primary care
COVID-19 Patient Classification Strategy Using a Hybrid BWM-SVM Model;2-s2.0-85102622656;10.1007/978-3-030-66840-2_92;Conference Paper;2021;primary care
EEG brain signals to detect the sleep health of a driver: An automated framework system based on deep learning;2-s2.0-85137995221;10.3389/fnhum.2022.915276;Article;2022;primary care
Facial Emotion Recognition Based on Deep Learning;2-s2.0-85135766306;10.1109/MI-STA54861.2022.9837630;Conference Paper;2022;primary care
A robust and efficient EEG-based drowsiness detection system using different machine learning algorithms;2-s2.0-85135318254;10.1016/j.asej.2022.101895;Article;2022;primary care
Fatigue State Detection for Tired Persons in Presence of Driving Periods;2-s2.0-85133655196;10.1109/ACCESS.2022.3185251;Article;2022;primary care
EEG Signals inÂ Mental Fatigue Detection: A Comparing Study ofÂ Machine Learning Technics VS Deep Learning;2-s2.0-85132032372;10.1007/978-3-031-06242-1_62;Conference Paper;2022;primary care
A Convolutional Neural Network for Artifacts Detection in EEG Data;2-s2.0-85129313239;10.1007/978-981-16-7618-5_1;Conference Paper;2022;primary care
Framework of Computer Aided Diagnosis Systems for Cancer Classification Based on Medical Images;2-s2.0-85049881387;10.1007/s10916-018-1010-x;Article;2018;primary care
Driver Fatigue Detection with Single EEG Channel Using Transfer Learning;2-s2.0-85082008605;10.1109/IST48021.2019.9010483;Conference Paper;2019;primary care
