Title;EID;DOI;DocumentType;Year;Category
Evaluation of Combined Artificial Intelligence and Radiologist Assessment to Interpret Screening Mammograms;2-s2.0-85081118470;10.1001/jamanetworkopen.2020.0265;Article;2020;psychology
Using X-ray images and deep learning for automated detection of coronavirus disease;2-s2.0-85085621199;10.1080/07391102.2020.1767212;Article;2020;psychology
The clinical characterization of the adult patient with depression aimed at personalization of management;2-s2.0-85090947129;10.1002/wps.20771;Article;2020;psychology
Fully automatic brain tumor segmentation with deep learning-based selective attention using overlapping patches and multi-class weighted cross-entropy;2-s2.0-85084600417;10.1016/j.media.2020.101692;Article;2020;psychology
Uptake, engagement, and adherence to pre-exposure prophylaxis offered after population HIV testing in rural Kenya and Uganda: 72-week interim analysis of observational data from the SEARCH study;2-s2.0-85082499260;10.1016/S2352-3018(19)30433-3;Article;2020;psychology
Artificial intelligence (AI) and big data in cancer and precision oncology;2-s2.0-85090332832;10.1016/j.csbj.2020.08.019;Review;2020;psychology
A review of privacy-preserving techniques for deep learning;2-s2.0-85076862654;10.1016/j.neucom.2019.11.041;Article;2020;psychology
Integrated computational approaches and tools for allosteric drug discovery;2-s2.0-85078836967;10.3390/ijms21030847;Review;2020;psychology
Heart disease classification using data mining tools and machine learning techniques;2-s2.0-85085543182;10.1007/s12553-020-00438-1;Article;2020;psychology
An efficient hybrid TLBO-PSO-ANN for fast damage identification in steel beam structures using IGA;2-s2.0-85089704355;10.12989/sss.2020.25.5.605;Article;2020;psychology
Detection of banana plants and their major diseases through aerial images and machine learning methods: A case study in DR Congo and Republic of Benin;2-s2.0-85091042749;10.1016/j.isprsjprs.2020.08.025;Article;2020;psychology
Computer-aided diagnosis for World Health Organization-defined chest radiograph primary-endpoint pneumonia in children;2-s2.0-85077902025;10.1007/s00247-019-04593-0;Article;2020;psychology
Intensive Care Unit Mortality Prediction: An Improved Patient-Specific Stacking Ensemble Model;2-s2.0-85090087491;10.1109/ACCESS.2020.3010556;Article;2020;psychology
Routine data for malaria morbidity estimation in Africa: Challenges and prospects;2-s2.0-85085909628;10.1186/s12916-020-01593-y;Article;2020;psychology
Moreair: A low-cost urban air pollution monitoring system;2-s2.0-85079609813;10.3390/s20040998;Article;2020;psychology
A threshold self-setting condition monitoring scheme for wind turbine generator bearings based on deep convolutional generative adversarial networks;2-s2.0-85089017707;10.1016/j.measurement.2020.108234;Article;2020;psychology
Deep learning techniques for automatic detection of embryonic neurodevelopmental disorders;2-s2.0-85078472535;10.3390/diagnostics10010027;Article;2020;psychology
Current Affairs of Microbial Genome-Wide Association Studies: Approaches, Bottlenecks and Analytical Pitfalls;2-s2.0-85079478109;10.3389/fmicb.2019.03119;Review;2020;psychology
Medical Diagnostic Systems Using Artificial Intelligence (AI) Algorithms: Principles and Perspectives;2-s2.0-85097951867;10.1109/ACCESS.2020.3042273;Article;2020;psychology
Hybrid machine learning ensemble techniques for modeling dissolved oxygen concentration;2-s2.0-85091213249;10.1109/ACCESS.2020.3017743;Article;2020;psychology
Deep Learning in Selected Cancersâ€™ Image Analysisâ€”A Survey;2-s2.0-85103857063;10.3390/jimaging6110121;Review;2020;psychology
Breast cancer masses classification using deep convolutional neural networks and transfer learning;2-s2.0-85089507299;10.1007/s11042-020-09518-w;Article;2020;psychology
Migrating Intelligence from Cloud to Ultra-Edge Smart IoT Sensor Based on Deep Learning: An Arrhythmia Monitoring Use-Case;2-s2.0-85089700994;10.1109/IWCMC48107.2020.9148134;Conference Paper;2020;psychology
Systematic Comparison of the Influence of Different Data Preprocessing Methods on the Performance of Gait Classifications Using Machine Learning;2-s2.0-85083979185;10.3389/fbioe.2020.00260;Article;2020;psychology
Breast tumor segmentation in ultrasound images using contextual-information-aware deep adversarial learning framework;2-s2.0-85089563637;10.1016/j.eswa.2020.113870;Article;2020;psychology
Structural neuroimaging biomarkers for obsessive-compulsive disorder in the ENIGMA-OCD consortium: medication matters;2-s2.0-85092536771;10.1038/s41398-020-01013-y;Article;2020;psychology
A multi-task pipeline with specialized streams for classification and segmentation of infection manifestations in COVID-19 scans;2-s2.0-85105698875;10.7717/peerj-cs.303;Article;2020;psychology
Multiomics Characterization of Preterm Birth in Low-and Middle-Income Countries;2-s2.0-85098825235;10.1001/jamanetworkopen.2020.29655;Article;2020;psychology
Designing low-cost, accurate cervical screening strategies that take into account COVID-19: a role for self-sampled HPV typing2;2-s2.0-85092608643;10.1186/s13027-020-00325-4;Note;2020;psychology
Prediction of human activities based on a new structure of skeleton features and deep learning model;2-s2.0-85090025667;10.3390/s20174944;Article;2020;psychology
HyCAD-OCT: A hybrid computer-aided diagnosis of retinopathy by optical coherence tomography integrating machine learning and feature maps localization;2-s2.0-85088652312;10.3390/app10144716;Article;2020;psychology
Deeph-DTA: Deep learning for predicting drug-target interactions: A case study of covid-19 drug repurposing;2-s2.0-85102847950;10.1109/ACCESS.2020.3024238;Article;2020;psychology
Big IoT Healthcare Data Analytics Framework Based on Fog and Cloud Computing;2-s2.0-85102054026;10.3745/JIPS.04.0193;Article;2020;psychology
Predictive Modeling for Perinatal Mortality in Resource-Limited Settings;2-s2.0-85096456805;10.1001/jamanetworkopen.2020.26750;Article;2020;psychology
Forecasting emergency department overcrowding: A deep learning framework;2-s2.0-85091255763;10.1016/j.chaos.2020.110247;Article;2020;psychology
A Dynamic filtering df-rnn deep-learning-based approach for eeg-based neurological disorders diagnosis;2-s2.0-85097220687;10.1109/ACCESS.2020.3037995;Article;2020;psychology
A State-of-the-Art Survey on Deep Learning Methods for Detection of Architectural Distortion from Digital Mammography;2-s2.0-85090287534;10.1109/ACCESS.2020.3016223;Article;2020;psychology
Neuro-fuzzy patch-wise R-CNN for multiple sclerosis segmentation;2-s2.0-85088162708;10.1007/s11517-020-02225-6;Article;2020;psychology
A Survey on Human Activity Recognition Based on Temporal Signals of Portable Inertial Sensors;2-s2.0-85064043631;10.1007/978-3-030-14118-9_72;Conference Paper;2020;psychology
An RNA-seq Based Machine Learning Approach Identifies Latent Tuberculosis Patients With an Active Tuberculosis Profile;2-s2.0-85088794500;10.3389/fimmu.2020.01470;Article;2020;psychology
ResDUnet: Residual Dilated UNet for Left Ventricle Segmentation from Echocardiographic Images;2-s2.0-85091031300;10.1109/EMBC44109.2020.9175436;Conference Paper;2020;psychology
Parkinson's Disease Identification using KNN and ANN Algorithms based on Voice Disorder;2-s2.0-85085494040;10.1109/IRASET48871.2020.9092228;Conference Paper;2020;psychology
Convolutional Neural Networks for Multimodal Brain MRI Images Segmentation: A Comparative Study;2-s2.0-85086225574;10.1007/978-3-030-45183-7_25;Conference Paper;2020;psychology
Nature Inspired Meta-heuristic Algorithms for Deep Learning: Recent Progress and Novel Perspective;2-s2.0-85065478343;10.1007/978-3-030-17795-9_5;Conference Paper;2020;psychology
Using Big Data-machine learning models for diabetes prediction and flight delays analytics;2-s2.0-85091182205;10.1186/s40537-020-00355-0;Article;2020;psychology
A deep learning model and machine learning methods for the classification of potential coronavirus treatments on a single human cell;2-s2.0-85092746955;10.1007/s11051-020-05041-z;Retracted;2020;psychology
Putting the world back to work: An expert system using big data and artificial intelligence in combating the spread of COVID-19 and similar contagious diseases;2-s2.0-85097264478;10.3233/wor-203309;Article;2020;psychology
Detection of Tuberculosis by The Analysis of Exhaled Breath Particles with High-resolution Mass Spectrometry;2-s2.0-85084406864;10.1038/s41598-020-64637-6;Article;2020;psychology
Detection of pathogenic variants with germline genetic testing using deep learning vs standard methods in patients with prostate cancer and melanoma;2-s2.0-85096292157;10.1001/jama.2020.20457;Article;2020;psychology
Detection and Classification of White Blood Cells Through Deep Learning Techniques;2-s2.0-85099070550;10.3991/ijoe.v16i15.15481;Article;2020;psychology
The Disruptive 4IR in the Life Sciences: Metabolomics;2-s2.0-85088458006;10.1007/978-3-030-48230-5_10;Book Chapter;2020;psychology
A New Nano-robots Control Strategy for Killing Cancer Cells Using Quorum Sensing Technique and Directed Particle Swarm Optimization Algorithm;2-s2.0-85064045093;10.1007/978-3-030-14118-9_22;Conference Paper;2020;psychology
Sequence- and structure-based prediction of amyloidogenic regions in proteins;2-s2.0-85068121272;10.1007/s00500-019-04087-z;Article;2020;psychology
Recommendation system for human physical activities using smartphones;2-s2.0-85097980851;10.1109/ICCIS49240.2020.9257671;Conference Paper;2020;psychology
Applying Cloud Based Machine Learning on Biosensors Streaming Data for Health Status Prediction;2-s2.0-85099199503;10.1109/IISA50023.2020.9284349;Conference Paper;2020;psychology
Diabetes Diseases Prediction Using Supervised Machine Learning and Neighbourhood Components Analysis;2-s2.0-85123040657;10.1145/3386723.3387887;Conference Paper;2020;psychology
Toward identifying reproducible brain signatures of obsessive-compulsive profiles: Rationale and methods for a new global initiative;2-s2.0-85079359493;10.1186/s12888-020-2439-2;Article;2020;psychology
A Deep Learning H2O Framework for Emergency Prediction in Biomedical Big Data;2-s2.0-85086592455;10.1109/ACCESS.2020.2995790;Article;2020;psychology
Alternative biomarkers for classification of latent tuberculosis infection status in pregnant women with borderline Quantiferon plus results;2-s2.0-85089491588;10.1016/j.tube.2020.101984;Article;2020;psychology
Automatic Verification of Beam Apertures for Cervical Cancer Radiation Therapy;2-s2.0-85087721800;10.1016/j.prro.2020.05.001;Article;2020;psychology
Opportunistic Resource Allocation for Narrowband Internet of Things: A Literature Review;2-s2.0-85091920077;10.1109/ICECCE49384.2020.9179427;Conference Paper;2020;psychology
Dairy Cow Rumination Detection: A Deep Learning Approach;2-s2.0-85101386207;10.1007/978-3-030-65810-6_7;Conference Paper;2020;psychology
Intelligent Hybrid Approach for Feature Selection;2-s2.0-85064042476;10.1007/978-3-030-14118-9_8;Conference Paper;2020;psychology
A lightweight convolutional neural network for real and apparent age estimation in unconstrained face images;2-s2.0-85102859378;10.1109/ACCESS.2020.3022039;Article;2020;psychology
Machine learning for air quality prediction using meteorological and traffic related features;2-s2.0-85093821240;10.3233/AIS-200572;Article;2020;psychology
A LSTM-based method with attention mechanism for adverse drug reaction sentences detection;2-s2.0-85080896507;10.1007/978-3-030-36664-3_3;Conference Paper;2020;psychology
Deep Learning for COVID-19 prediction;2-s2.0-85100608109;10.1109/IC_ASET49463.2020.9318297;Conference Paper;2020;psychology
Machine learning approaches classify clinical malaria outcomes based on haematological parameters;2-s2.0-85096832659;10.1186/s12916-020-01823-3;Article;2020;psychology
A review on indoor localization with internet of things;2-s2.0-85101918220;10.5194/isprs-archives-XLIV-4-W3-2020-121-2020;Conference Paper;2020;psychology
Identification of novel prognostic markers of survival time in high-risk neuroblastoma using gene expression profiles;2-s2.0-85097641534;10.18632/ONCOTARGET.27808;Article;2020;psychology
A novel deep learning-based point-of-care diagnostic method for detecting Plasmodium falciparum with fluorescence digital microscopy;2-s2.0-85096348064;10.1371/journal.pone.0242355;Article;2020;psychology
Glioblastomas brain Tumor Segmentation using Optimized U-Net based on Deep Fully Convolutional Networks (D-FCNs);2-s2.0-85096533252;10.1109/ATSIP49331.2020.9231681;Conference Paper;2020;psychology
Language-related features for early detection of Alzheimer Disease;2-s2.0-85093365119;10.1016/j.procs.2020.09.071;Conference Paper;2020;psychology
A hybrid deep contractive autoencoder and restricted boltzmann machine approach to differentiate representation of female brain disorder;2-s2.0-85093358603;10.1016/j.procs.2020.09.099;Conference Paper;2020;psychology
An effective sparse autoencoders based deep learning framework for fMRI scans classification;2-s2.0-85090783789;;Conference Paper;2020;psychology
Big data and reality mining in healthcare: Promise and potential;2-s2.0-85088749681;10.1007/978-3-030-51935-3_13;Conference Paper;2020;psychology
A multi-label learning model for psychotic diseases in Nigeria;2-s2.0-85083880684;10.1016/j.imu.2020.100326;Article;2020;psychology
Intelligent Mobile Applications: A Systematic Mapping Study;2-s2.0-85083095554;10.1155/2020/6715363;Review;2020;psychology
Fragile Watermarking Techniques for 3D Model Authentication: Review;2-s2.0-85064039483;10.1007/978-3-030-14118-9_66;Conference Paper;2020;psychology
Survey on deep learning applied to predictive maintenance;2-s2.0-85089401782;10.11591/ijece.v10i6.pp5592-5598;Review;2020;psychology
A Machine Learning based Approach to Reduce Behavioral Noise Problem in an Imbalanced Data: Application to a fraud detection;2-s2.0-85098670826;10.1109/IDSTA50958.2020.9264114;Conference Paper;2020;psychology
Detection of early Parkinsonâ€™s disease with wavelet features using finger typing movements on a keyboard;2-s2.0-85100704587;10.1007/s42452-020-03473-9;Article;2020;psychology
Deep learning for internet of things in fog computing: Survey and Open Issues;2-s2.0-85096618338;10.1109/ATSIP49331.2020.9231685;Conference Paper;2020;psychology
Predicting of proactive environmental management for unhairing wastewater treatment in Tunisia using neural network learning algorithms;2-s2.0-85084507406;10.1108/MEQ-12-2019-0281;Article;2020;psychology
