Title;EID;DOI;DocumentType;Year;Category
Using X-ray images and deep learning for automated detection of coronavirus disease;2-s2.0-85085621199;10.1080/07391102.2020.1767212;Article;2020;pulmonology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;pulmonology
Moreair: A low-cost urban air pollution monitoring system;2-s2.0-85079609813;10.3390/s20040998;Article;2020;pulmonology
Hybrid-COVID: a novel hybrid 2D/3D CNN based on cross-domain adaptation approach for COVID-19 screening from chest X-ray images;2-s2.0-85097508732;10.1007/s13246-020-00957-1;Article;2020;pulmonology
Deep Learning in Selected Cancersâ€™ Image Analysisâ€”A Survey;2-s2.0-85103857063;10.3390/jimaging6110121;Review;2020;pulmonology
Investigation of the performance of Machine Learning Classifiers for Pneumonia Detection in Chest X-ray Images;2-s2.0-85092530732;10.1109/EIT48999.2020.9208232;Conference Paper;2020;pulmonology
eNose breath prints as a surrogate biomarker for classifying patients with asthma by atopy;2-s2.0-85088219111;10.1016/j.jaci.2020.05.038;Article;2020;pulmonology
Deep learning-based CAD schemes for the detection and classification of lung nodules from CT images: A survey;2-s2.0-85089359130;10.3233/XST-190660;Article;2020;pulmonology
An efficient retrieval system for biomedical images based on radial associated laguerre moments;2-s2.0-85095823762;10.1109/ACCESS.2020.3026452;Article;2020;pulmonology
A mapping study of ensemble classification methods in lung cancer decision support systems;2-s2.0-85087501825;10.1007/s11517-020-02223-8;Review;2020;pulmonology
Serum lipidomic biomarkers for non-small cell lung cancer in nonsmoking female patients;2-s2.0-85080130143;10.1016/j.jpba.2020.113220;Article;2020;pulmonology
Computer assisted medical decision-making system using genetic algorithm and extreme learning machine for diagnosing allergic rhinitis;2-s2.0-85096615126;10.1504/IJBIC.2020.111279;Article;2020;pulmonology
Analysis for Disease Gene Association Using Machine Learning;2-s2.0-85091309988;10.1109/ACCESS.2020.3020592;Article;2020;pulmonology
Improved predictive sparse decomposition method with densenet for prediction of lung cancer;2-s2.0-85103323355;10.47839/ijc.19.4.1986;Article;2020;pulmonology
Transfer Learning Vs. Fine-Tuning in Bilinear CNN for Lung Nodules Classification on CT Scans;2-s2.0-85099390663;10.1145/3430199.3430211;Conference Paper;2020;pulmonology
Diagnosis of lung nodules from 2D computer tomography scans;2-s2.0-85087456339;10.4015/S1016237220500179;Article;2020;pulmonology
Visual and quantitative assessment of HRCT pulmonary changes in idiopathic interstitial pneumonia with PFT correlation;2-s2.0-85081234036;10.1186/s43055-020-0142-4;Article;2020;pulmonology
Deep convolutional architecture for block-based classification of small pulmonary nodules;2-s2.0-85097815771;10.23919/EECSI50503.2020.9251305;Conference Paper;2020;pulmonology
Nodule Generation of Lung CT Images Using a 3D Convolutional LSTM Network;2-s2.0-85098132648;10.1007/978-3-030-64559-5_60;Conference Paper;2020;pulmonology
Enhanced support vector machine based on metaheuristic search for multiclass problems;2-s2.0-85089749666;10.3844/JCSSP.2020.871.885;Article;2020;pulmonology
Cascaded deep learning classifiers for computer-aided diagnosis of COVID-19 and pneumonia diseases in X-ray scans;2-s2.0-85117001575;10.1007/s40747-020-00199-4;Article;2021;pulmonology
