Title;EID;DOI;DocumentType;Year;Category
Dairy Cow Rumination Detection: A Deep Learning Approach;2-s2.0-85101386207;10.1007/978-3-030-65810-6_7;Conference Paper;2020;rheumatology
Diagnosis of amyotrophic lateral sclerosis (ALS) disorders based on electromyogram (EMG) signal analysis and feature selection;2-s2.0-85092891003;10.2478/pjmpe-2020-0018;Article;2020;rheumatology
Diagnosis and risk stratification in hypertrophic cardiomyopathy using machine learning wall thickness measurement: a comparison with human test-retest performance;2-s2.0-85098873583;10.1016/S2589-7500(20)30267-3;Article;2021;rheumatology
Systematic review and meta-analysis of cannabinoids, cannabis-based medicines, and endocannabinoid system modulators tested for antinociceptive effects in animal models of injury-related or pathological persistent pain;2-s2.0-85103089540;10.1097/j.pain.0000000000002269;Article;2021;rheumatology
3D assessment of intervertebral disc degeneration in zebrafish identifies changes in bone density that prime disc disease;2-s2.0-85114136715;10.1038/s41413-021-00156-y;Article;2021;rheumatology
Tackling pandemics in smart cities using machine learning architecture;2-s2.0-85116023457;10.3934/mbe.2021418;Article;2021;rheumatology
Disease-specific variant pathogenicity prediction significantly improves variant interpretation in inherited cardiac conditions;2-s2.0-85092410595;10.1038/s41436-020-00972-3;Article;2021;rheumatology
A Brief Overview on Machine Learning in Rehabilitation of the Human Arm via an Exoskeleton Robot;2-s2.0-85124676607;10.1109/ICDABI53623.2021.9655865;Conference Paper;2021;rheumatology
Design and development of machine learning model for osteoarthritis identification;2-s2.0-85105101134;10.1007/978-981-33-4543-0_84;Book Chapter;2021;rheumatology
P Wave Parameters and Indices: A Critical Appraisal of Clinical Utility, Challenges, and Future Researchâ€”A Consensus Document Endorsed by the International Society of Electrocardiology and the International Society for Holter and Noninvasive Electrocardiology;2-s2.0-85128800370;10.1161/CIRCEP.121.010435;Review;2022;rheumatology
Human emotion recognition from EEG-based brainâ€“computer interface using machine learning: a comprehensive review;2-s2.0-85129513424;10.1007/s00521-022-07292-4;Review;2022;rheumatology
On the value of deep learning for diagnosing diabetic retinopathy;2-s2.0-85116986540;10.1007/s12553-021-00606-x;Article;2022;rheumatology
Functional coding haplotypes and machine-learning feature elimination identifies predictors of Methotrexate Response in Rheumatoid Arthritis patients;2-s2.0-85123196899;10.1016/j.ebiom.2021.103800;Article;2022;rheumatology
Mobile and wearable sensors for data-driven health monitoring system: State-of-the-art and future prospect;2-s2.0-85129976791;10.1016/j.eswa.2022.117362;Review;2022;rheumatology
Scoring personalized molecular portraits identify Systemic Lupus Erythematosus subtypes and predict individualized drug responses, symptomatology and disease progression;2-s2.0-85138496010;10.1093/bib/bbac332;Article;2022;rheumatology
Temporomandibular Joint Acoustic Emissions in Children With Juvenile Idiopathic Arthritis Differ From Those in Healthy Children;2-s2.0-85133886729;10.1016/j.joms.2022.05.009;Article;2022;rheumatology
Endothelial dysfunction and increased carotid intima-media thickness in patients with spondyloarthritis without traditional cardiovascular risk factors;2-s2.0-85133575196;10.1136/rmdopen-2022-002270;Article;2022;rheumatology
MRI-Based Classification of Neuropsychiatric Systemic Lupus Erythematosus Patients With Self-Supervised Contrastive Learning;2-s2.0-85125627668;10.3389/fnins.2022.695888;Article;2022;rheumatology
A Novel Machine Learning Approach Based on Fast Multi-Scale Hybrid Wavelet Network for Supporting Diagnosis of Neuromuscular Disorders;2-s2.0-85134324117;10.1117/12.2623016;Conference Paper;2022;rheumatology
Implementing a Robust IoT Solution to Monitor Prone Position using Machine Learning Techniques;2-s2.0-85133134117;10.1109/CSNT54456.2022.9787604;Conference Paper;2022;rheumatology
Comparative study of machine learning techniques based on TQWT for EMG signal classification;2-s2.0-85129371765;10.1109/ICCI54321.2022.9756080;Conference Paper;2022;rheumatology
Deep hybrid architectures for diabetic retinopathy classification;2-s2.0-85129262042;10.1080/21681163.2022.2060864;Article;2022;rheumatology
Comparative study of YOLOv3 and YOLOv5's performances for real-time person detection;2-s2.0-85127954427;10.1109/IRASET52964.2022.9737924;Conference Paper;2022;rheumatology
Machine-Learning Algorithms to Automate Morphological and Functional Assessments in 2D Echocardiography;2-s2.0-84997693769;10.1016/j.jacc.2016.08.062;Article;2016;rheumatology
Data fusion and multiple classifier systems for human activity detection and health monitoring: Review and open research directions;2-s2.0-85048959618;10.1016/j.inffus.2018.06.002;Article;2019;rheumatology
Driver distraction identification with an ensemble of convolutional neural networks;2-s2.0-85062265844;10.1155/2019/4125865;Article;2019;rheumatology
Age estimation using deep learning;2-s2.0-85046408531;10.1016/j.compeleceng.2018.04.012;Article;2018;rheumatology
Multiscale characterization of heart failure;2-s2.0-85060346764;10.1016/j.actbio.2018.12.053;Article;2019;rheumatology
Evaluation of fractional Brownian motion synthesis methods using the SVM classifier;2-s2.0-85057053368;10.1016/j.bspc.2018.11.002;Article;2019;rheumatology
Augmented statistical shape modeling for orthopedic surgery and rehabilitation;2-s2.0-85053300481;10.1201/9781351228343;Book Chapter;2017;rheumatology
Towards a universal architecture for disease data models sharing and evaluation;2-s2.0-85039957157;10.1109/ISNCC.2017.8071995;Conference Paper;2017;rheumatology
