Title;EID;DOI;DocumentType;Year;Category
HMIC: Hierarchical medical image classification, a deep learning approach;2-s2.0-85087495336;10.3390/INFO11060318;Article;2020;surgery
Classification of Patients with Breast Cancer using Neighbourhood Component Analysis and Supervised Machine Learning Techniques;2-s2.0-85093663489;10.1109/CommNet49926.2020.9199633;Conference Paper;2020;surgery
Objective diagnosis for histopathological images based on machine learning techniques: Classical approaches and new trends;2-s2.0-85094141889;10.3390/math8111863;Review;2020;surgery
A multimodal computer-aided diagnostic system for precise identification of renal allograft rejection: Preliminary results;2-s2.0-85082972566;10.1002/mp.14109;Article;2020;surgery
Detecting liver fibrosis using a machine learning-based approach to the quantification of the heart-induced deformation in tagged MR images;2-s2.0-85075446441;10.1002/nbm.4215;Article;2020;surgery
Predicting cervical cancer using machine learning methods;2-s2.0-85089005533;10.14569/IJACSA.2020.0110723;Article;2020;surgery
A Multi-view Deep Convolutional Neural Network for Reduction of False Positive Findings in Breast Cancer Screening;2-s2.0-85096582706;10.1109/ATSIP49331.2020.9231738;Conference Paper;2020;surgery
Screening test accuracy to improve detection of precancerous lesions of the cervix in women living with HIV: A study protocol;2-s2.0-85098229521;10.1136/bmjopen-2020-037955;Article;2020;surgery
Visual and quantitative assessment of HRCT pulmonary changes in idiopathic interstitial pneumonia with PFT correlation;2-s2.0-85081234036;10.1186/s43055-020-0142-4;Article;2020;surgery
Artificial intelligence assistance significantly improves Gleason grading of prostate biopsies by pathologists;2-s2.0-85089025736;10.1038/s41379-020-0640-y;Article;2021;surgery
A Novel Approach to Classifying Breast Cancer Histopathology Biopsy Images Using Bilateral Knowledge Distillation and Label Smoothing Regularization;2-s2.0-85118568638;10.1155/2021/4019358;Article;2021;surgery
Classification of Hematoxylin and Eosin-Stained Breast Cancer Histology Microscopy Images Using Transfer Learning with EfficientNets;2-s2.0-85104419515;10.1155/2021/5580914;Article;2021;surgery
Deep Learning Approach for Breast Cancer Diagnosis from Microscopy Biopsy Images;2-s2.0-85111405848;10.1109/MIUCC52538.2021.9447653;Conference Paper;2021;surgery
Brain cancer tumor classification from motion-corrected MRI images using convolutional neural network;2-s2.0-85104825321;10.32604/cmc.2021.016907;Article;2021;surgery
Prediction of clinical outcomes in women with placenta accreta spectrum using machine learning models: an international multicenter study;2-s2.0-85111741739;10.1080/14767058.2021.1918670;Article;2021;surgery
A comprehensive computer-assisted diagnosis system for early assessment of renal cancer tumors;2-s2.0-85110516927;10.3390/s21144928;Article;2021;surgery
Diagnosing the Stage of Hepatitis C Using Machine Learning;2-s2.0-85122228136;10.1155/2021/8062410;Article;2021;surgery
Deep multiple-instance learning for abnormal cell detection in cervical histopathology images;2-s2.0-85116055859;10.1016/j.compbiomed.2021.104890;Article;2021;surgery
Classification of breast cancer types, sub-types and grade from histopathological images using deep learning technique;2-s2.0-85114998703;10.1007/s12553-021-00592-0;Article;2021;surgery
Artificial intelligence and computer-aided diagnosis for colonoscopy: Where do we stand now?;2-s2.0-85118265099;10.21037/tgh.2019.12.14;Review;2021;surgery
