Title;EID;DOI;DocumentType;Year;Category
A multimodal computer-aided diagnostic system for precise identification of renal allograft rejection: Preliminary results;2-s2.0-85082972566;10.1002/mp.14109;Article;2020;transplantology
A machine learning framework for predicting long-term graft survival after kidney transplantation;2-s2.0-85106882130;10.1016/j.eswa.2021.115235;Article;2021;transplantology
Early identification of acute rejection for renal allografts: A machine learning approach;2-s2.0-85126781295;10.1016/B978-0-12-819740-0.00010-3;Book Chapter;2021;transplantology
A Novel CNN-Based CAD System for Early Assessment of Transplanted Kidney Dysfunction;2-s2.0-85064240222;10.1038/s41598-019-42431-3;Article;2019;transplantology
Computer-Aided Diagnostic System for Early Detection of Acute Renal Transplant Rejection Using Diffusion-Weighted MRI;2-s2.0-85049109082;10.1109/TBME.2018.2849987;Article;2019;transplantology
A promising non-invasive CAD system for kidney function assessment;2-s2.0-84996561821;10.1007/978-3-319-46726-9_71;Conference Paper;2016;transplantology
A new non-invasive approach for early classification of renal rejection types using diffusion-weighted MRI;2-s2.0-85006741916;10.1109/ICIP.2016.7532334;Conference Paper;2016;transplantology
A generalized MRI-based CAD system for functional assessment of renal transplant;2-s2.0-85023161130;10.1109/ISBI.2017.7950629;Conference Paper;2017;transplantology
Role of Integrating Diffusion Mr Image-Markers with Clinical-Biomarkers for Early Assessment of Renal Transplants;2-s2.0-85062905238;10.1109/ICIP.2018.8451068;Conference Paper;2018;transplantology
A new proposed feature selection method to predict kidney transplantation outcome;2-s2.0-85072017983;10.1007/s12553-019-00369-6;Article;2019;transplantology
