Title;EID;DOI;DocumentType;Year;Category
Leveraging Deep Learning Techniques for Malaria Parasite Detection Using Mobile Application;2-s2.0-85089150797;10.1155/2020/8895429;Article;2020;tropical medicine
Routine data for malaria morbidity estimation in Africa: Challenges and prospects;2-s2.0-85085909628;10.1186/s12916-020-01593-y;Article;2020;tropical medicine
Current Affairs of Microbial Genome-Wide Association Studies: Approaches, Bottlenecks and Analytical Pitfalls;2-s2.0-85079478109;10.3389/fmicb.2019.03119;Review;2020;tropical medicine
Expert-level automated malaria diagnosis on routine blood films with deep neural networks;2-s2.0-85084221352;10.1002/ajh.25827;Article;2020;tropical medicine
A new approach for microscopic diagnosis of malaria parasites in thick blood smears using pre-trained deep learning models;2-s2.0-85089882567;10.1007/s42452-020-3000-0;Article;2020;tropical medicine
Real-time Malaria Parasite Screening in Thick Blood Smears for Low-Resource Setting;2-s2.0-85078361205;10.1007/s10278-019-00284-2;Article;2020;tropical medicine
Immune signature against plasmodium falciparum antigens predicts clinical immunity in distinct malaria endemic communities;2-s2.0-85077401550;10.1074/mcp.RA118.001256;Article;2020;tropical medicine
Anthrax in the Amhara regional state of Ethiopia: spatiotemporal analysis and environmental suitability modeling with an ensemble approach;2-s2.0-85091636500;10.1016/j.prevetmed.2020.105155;Article;2020;tropical medicine
Analysis for Disease Gene Association Using Machine Learning;2-s2.0-85091309988;10.1109/ACCESS.2020.3020592;Article;2020;tropical medicine
Machine learning approaches classify clinical malaria outcomes based on haematological parameters;2-s2.0-85096832659;10.1186/s12916-020-01823-3;Article;2020;tropical medicine
A novel deep learning-based point-of-care diagnostic method for detecting Plasmodium falciparum with fluorescence digital microscopy;2-s2.0-85096348064;10.1371/journal.pone.0242355;Article;2020;tropical medicine
Artificial intelligence, diagnostic imaging and neglected tropical diseases: Ethical implications;2-s2.0-85083245662;10.2471/BLT.19.237560;Note;2020;tropical medicine
A Weakly Supervised Deep Learning Approach for Detecting Malaria and Sickle Cells in Blood Films;2-s2.0-85092747756;10.1007/978-3-030-59722-1_22;Conference Paper;2020;tropical medicine
Medical use of deep learning: Malaria testing using pre-trained ResNet;2-s2.0-85080864592;10.1007/978-3-030-36664-3_31;Conference Paper;2020;tropical medicine
A Platform for Disease Intervention Planning;2-s2.0-85098831738;10.1109/ICHI48887.2020.9374384;Conference Paper;2020;tropical medicine
Adaptive interventions for optimizing malaria control: An implementation study protocol for a block-cluster randomized, sequential multiple assignment trial;2-s2.0-85088351886;10.1186/s13063-020-04573-y;Article;2020;tropical medicine
Integration of DHIS2 and Climatic Data for Disease Prediction: A Case of Malaria occurrence in Gulu District, Uganda;2-s2.0-85094324426;;Conference Paper;2020;tropical medicine
A study of the possible factors affecting COVID-19 spread, severity and mortality and the effect of social distancing on these factors: Machine learning forecasting model;2-s2.0-85102173963;10.1111/ijcp.14116;Article;2021;tropical medicine
Smartphone-based DNA diagnostics for malaria detection using deep learning for local decision support and blockchain technology for security;2-s2.0-85111860579;10.1038/s41928-021-00612-x;Article;2021;tropical medicine
Systems analysis and controlled malaria infection in Europeans and Africans elucidate naturally acquired immunity;2-s2.0-85104715107;10.1038/s41590-021-00911-7;Article;2021;tropical medicine
Prediction of Malaria Fever Using Long-Short-Term Memory and Big Data;2-s2.0-85102771513;10.1007/978-3-030-69143-1_4;Conference Paper;2021;tropical medicine
Prediction of malaria incidence using climate variability and machine learning;2-s2.0-85099233220;10.1016/j.imu.2020.100508;Article;2021;tropical medicine
Optical mesoscopy, machine learning, and computational microscopy enable high information content diagnostic imaging of blood films;2-s2.0-85108793641;10.1002/path.5738;Article;2021;tropical medicine
Mobile-aware deep learning algorithms for malaria parasites and white blood cells localization in thick blood smears;2-s2.0-85099779949;10.3390/a14010017;Article;2021;tropical medicine
Performance of a fullyâ€automated system on a WHO malaria microscopy evaluation slide set;2-s2.0-85101771435;10.1186/s12936-021-03631-3;Article;2021;tropical medicine
Modelling the spatial distribution of mycetoma in Sudan;2-s2.0-85117343320;10.1093/trstmh/trab076;Article;2021;tropical medicine
Forecasting influenza-like illness trends in Cameroon using Google Search Data;2-s2.0-85103356584;10.1038/s41598-021-85987-9;Article;2021;tropical medicine
