Title;EID;DOI;DocumentType;Year;Category
Epileptic seizure detection on EEG signals using machine learning techniques and advanced preprocessing methods;2-s2.0-85078510517;10.1515/bmt-2019-0001;Article;2020;urology
A Dynamic filtering df-rnn deep-learning-based approach for eeg-based neurological disorders diagnosis;2-s2.0-85097220687;10.1109/ACCESS.2020.3037995;Article;2020;urology
Brain graph super-resolution for boosting neurological disorder diagnosis using unsupervised multi-topology connectional brain template learning;2-s2.0-85087880099;10.1016/j.media.2020.101768;Article;2020;urology
Topology-Aware Generative Adversarial Network for Joint Prediction of Multiple Brain Graphs from a Single Brain Graph;2-s2.0-85092704087;10.1007/978-3-030-59728-3_54;Conference Paper;2020;urology
Diagnosis of amyotrophic lateral sclerosis (ALS) disorders based on electromyogram (EMG) signal analysis and feature selection;2-s2.0-85092891003;10.2478/pjmpe-2020-0018;Article;2020;urology
Clustering-Based Deep Brain MultiGraph Integrator Network for Learning Connectional Brain Templates;2-s2.0-85093102517;10.1007/978-3-030-60365-6_11;Conference Paper;2020;urology
A natural evolution optimization based deep learning algorithm for neurological disorder classification;2-s2.0-85086891372;10.3233/BME-201081;Article;2020;urology
Laughter signature, a new approach to gender recognition;2-s2.0-85136031940;10.1002/eng2.12267;Article;2020;urology
A deep learning identification system for different epileptic seizure disease stages;2-s2.0-85089162485;;Article;2020;urology
Data augmentation for skin lesion using self-attention based progressive generative adversarial network;2-s2.0-85090417710;10.1016/j.eswa.2020.113922;Article;2021;urology
Parkinsonâ€™s disease diagnosis in cepstral domain using MFCC and dimensionality reduction with SVM classifier;2-s2.0-85104504766;10.1155/2021/8822069;Article;2021;urology
Advance Machine Learning Methods for Dyslexia Biomarker Detection: A Review of Implementation Details and Challenges;2-s2.0-85101815798;10.1109/ACCESS.2021.3062709;Article;2021;urology
An automatic Computer-Aided Diagnosis system based on the Multimodal fusion of Breast Cancer (MF-CAD);2-s2.0-85108999877;10.1016/j.bspc.2021.102914;Article;2021;urology
MRI-based radiomics for prognosis of pediatric diffuse intrinsic pontine glioma: An international study;2-s2.0-85119104101;10.1093/noajnl/vdab042;Article;2021;urology
Brain graph synthesis by dual adversarial domain alignment and target graph prediction from a source graph;2-s2.0-85097735772;10.1016/j.media.2020.101902;Article;2021;urology
Structural dynamics and allostery of Rab proteins: Strategies for drug discovery and design;2-s2.0-85098664554;10.1093/bib/bbz161;Review;2021;urology
Voice-Based Deep Learning Medical Diagnosis System for Parkinson's Disease Prediction;2-s2.0-85112355457;10.1109/ICOTEN52080.2021.9493456;Conference Paper;2021;urology
A text mining approach in the classification of free-text cancer pathology reports from the south african national health laboratory services;2-s2.0-85118956252;10.3390/info12110451;Article;2021;urology
Multimodal analysis of electroencephalographic and electrooculographic signals;2-s2.0-85114700275;10.1016/j.compbiomed.2021.104809;Article;2021;urology
A novel epileptic seizure detection system using scalp EEG signals based on hybrid CNN-SVM classifier;2-s2.0-85124655396;10.1109/ISIEA51897.2021.9510002;Conference Paper;2021;urology
EEG signal analysis using deep learning: A systematic literature review;2-s2.0-85123480267;10.1109/ICDS53782.2021.9626707;Conference Paper;2021;urology
An On-Chain Analysis-Based Approach to Predict Ethereum Prices;2-s2.0-85121794232;10.1109/ACCESS.2021.3135620;Article;2021;urology
Using artificial intelligence for high-volume identification of silicosis and tuberculosis a bio-ethics approach;2-s2.0-85109800678;10.5334/aogh.3206;Article;2021;urology
ABCB1 Single Nucleotide Polymorphism Genotypes as Predictors of Paclitaxel-Induced Peripheral Neuropathy in Breast Cancer;2-s2.0-85111063944;10.1089/gtmb.2021.0014;Article;2021;urology
A new Machine Learning approach for epilepsy diagnostic based on Sample Entropy;2-s2.0-85120710680;10.1016/j.ifacol.2021.10.280;Conference Paper;2021;urology
The ENIGMA-Epilepsy working group: Mapping disease from large data sets;2-s2.0-85085547126;10.1002/hbm.25037;Review;2022;urology
A machine learning approach involving functional connectivity features to classify rest-eeg psychogenic non-epileptic seizures from healthy controls;2-s2.0-85121653783;10.3390/s22010129;Article;2022;urology
Voice disorder classification using speech enhancement and deep learning models;2-s2.0-85126865153;10.1016/j.bbe.2022.03.002;Article;2022;urology
Deep Learning Models for Predicting Epileptic Seizures Using iEEG Signals;2-s2.0-85124617910;10.3390/electronics11040605;Article;2022;urology
Multi-step Ahead Forecasting of River Water Temperature Using Advance Artificial Intelligence Models: Voting Based Extreme Learning Machine Based on Empirical Mode Decomposition;2-s2.0-85134155047;10.1007/978-981-19-2519-1_18;Book Chapter;2022;urology
Deep Multiple Instance Learning for Automatic Breast Cancer Assessment Using Digital Mammography;2-s2.0-85130857451;10.1109/TIM.2022.3177141;Article;2022;urology
Tlife-GDN: Detecting andÂ Forecasting Spatio-Temporal Anomalies viaÂ Persistent Homology andÂ Geometric Deep Learning;2-s2.0-85130218053;10.1007/978-3-031-05936-0_40;Conference Paper;2022;urology
Analyzing the Patient Behavior for Improving the Medical Treatment Using Smart Healthcare and IoT-Based Deep Belief Network;2-s2.0-85126852529;10.1155/2022/6389069;Article;2022;urology
Employing Machine Learning-Based Predictive Analytical Approaches to Classify Autism Spectrum Disorder Types;2-s2.0-85123749598;10.1155/2022/8134018;Article;2022;urology
Manual versus automatic analysis of microglial density and distribution: a comparison in the hippocampus of healthy and lipopolysaccharide-challenged mature male mice;2-s2.0-85135788458;10.1016/j.micron.2022.103334;Article;2022;urology
A novel deep learning model for STN localization from LFPs in Parkinson's disease;2-s2.0-85134017530;10.1016/j.bspc.2022.103830;Article;2022;urology
A Novel Deep Convolutional Neural Network Model for Alzheimerâ€™s Disease Classification Using Brain MRI;2-s2.0-85134206794;10.3103/S0146411622030063;Article;2022;urology
Faultsâ€™ Diagnosis of Time-Varying Rotational Speed Machinery Based on Vibration and Acoustic Signals Features Extraction, and Machine Learning Methods;2-s2.0-85138431307;10.1007/s42417-022-00705-7;Article;2022;urology
A Novel Machine Learning Approach Based on Fast Multi-Scale Hybrid Wavelet Network for Supporting Diagnosis of Neuromuscular Disorders;2-s2.0-85134324117;10.1117/12.2623016;Conference Paper;2022;urology
A Convolutional Neural Network for Artifacts Detection in EEG Data;2-s2.0-85129313239;10.1007/978-981-16-7618-5_1;Conference Paper;2022;urology
IoHCT: Internet of Cultural Heritage Things Digital Twins for Conservation and Health Monitoring of Cultural in the Age of Digital Transformation;2-s2.0-85128934751;10.1007/978-3-030-96802-1_1;Book Chapter;2022;urology
An Efficient Parallelization Model for Sparse Non-negative Matrix Factorization Using cuSPARSE Library on Multi-GPU Platform;2-s2.0-85126196923;10.1007/978-3-030-95388-1_11;Conference Paper;2022;urology
Parkinsonâ€™s Disease Diagnosis Through Electroencephalographic Signal Processing and Sub-optimal Feature Extraction;2-s2.0-85126193052;10.1007/978-3-030-96293-7_12;Conference Paper;2022;urology
A review on a deep learning perspective in brain cancer classification;2-s2.0-85061909070;10.3390/cancers11010111;Review;2019;urology
The application of unsupervised clustering methods to Alzheimerâ€™s disease;2-s2.0-85068487040;10.3389/fncom.2019.00031;Review;2019;urology
Predicting chronic kidney failure disease using data mining techniques;2-s2.0-84996848826;10.1007/978-981-10-1627-1_55;Conference Paper;2017;urology
Prediction of diabetic foot ulceration using spatial and temporal dynamic plantar pressure;2-s2.0-85015307998;10.1109/CIBEC.2016.7836116;Conference Paper;2017;urology
Effective cancer subtyping by employing density peaks clustering by using gene expression microarray;2-s2.0-85041912577;10.1007/s00779-018-1112-y;Article;2018;urology
Multi-view learning-based data proliferator for boosting classification using highly imbalanced classes;2-s2.0-85070892031;10.1016/j.jneumeth.2019.108344;Article;2019;urology
Ultrasound image enhancement using a deep learning architecture;2-s2.0-84994537839;10.1007/978-3-319-48308-5_61;Conference Paper;2017;urology
Motor current signal analysis based on machine learning for centrifugal pump fault diagnosis;2-s2.0-85075773915;10.23919/IConAC.2019.8895057;Conference Paper;2019;urology
Discrete wavelet transform analysis and empirical mode decomposition of physiological signals for stress recognition;2-s2.0-85052335395;10.1504/IJBET.2018.094126;Article;2018;urology
Generation of Head Models for Brain Stimulation Using Deep Convolution Networks;2-s2.0-85076810716;10.1109/ICIP.2019.8803334;Conference Paper;2019;urology
Application of Koniocortex-Like Networks to Cardiac Arrhythmias Classification;2-s2.0-85065963665;10.1007/978-3-030-19651-6_26;Conference Paper;2019;urology
Predicting toxicity behaviour of engineered nanomaterials using adaptive neuro-fuzzy inference systems;2-s2.0-85083390417;;Conference Paper;2019;urology
A mobile online platform for aged menâ€™s prostate hypertrophy monitoring based on linea nigra images analysis;2-s2.0-85078446642;;Conference Paper;2019;urology
Modelling toxicity behaviour of engineered nanomaterials using computational intelligence approach;2-s2.0-85088201012;10.2118/190498-ms;Conference Paper;2018;urology
