Title;EID;DOI;DocumentType;Year;Category
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;vascular surgery
Automatic Diabetic Retinopathy Grading System Based on Detecting Multiple Retinal Lesions;2-s2.0-85099725193;10.1109/ACCESS.2021.3052870;Article;2021;vascular surgery
The Role of Different Retinal Imaging Modalities in Predicting Progression of Diabetic Retinopathy: A Survey;2-s2.0-85129362588;10.3390/s22093490;Article;2022;vascular surgery
Diabetic Retinopathy Classification Using Hybrid Deep Learning Approach;2-s2.0-85133469259;10.1007/s42979-022-01240-8;Article;2022;vascular surgery
Combining mathematical modeling and deep learning to make rapid and explainable predictions of the patient-specific response to anticoagulant therapy under venous flow;2-s2.0-85130731854;10.1016/j.mbs.2022.108830;Article;2022;vascular surgery
A Machine Learning Based Discharge Prediction of Cardiovascular Diseases Patients in Intensive Care Units;2-s2.0-85131379397;10.3390/healthcare10060966;Article;2022;vascular surgery
Efficient Pipeline for Rapid Detection of Catheters and Tubes in Chest Radiographs;2-s2.0-85135895820;10.1007/978-3-031-12053-4_64;Conference Paper;2022;vascular surgery
Combining machine learning and artery characterization to identify the main bifurcations in 3D vascular trees;2-s2.0-85132023114;10.1117/12.2605459;Conference Paper;2022;vascular surgery
Design of Biodegradable Mg Alloy for Abdominal Aortic Aneurysm Repair (AAAR) Using ANFIS Regression Model;2-s2.0-85125733794;10.1109/ACCESS.2022.3155645;Article;2022;vascular surgery
Transfer Learning-based Computer-aided Diagnosis System for Predicting Grades of Diabetic Retinopathy;2-s2.0-85122743415;10.32604/cmc.2022.023670;Article;2022;vascular surgery
An artificial neural network stratifies the risks of reintervention and mortality after endovascular aneurysm repair: A retrospective observational study;2-s2.0-84941350866;10.1371/journal.pone.0129024;Article;2015;vascular surgery
Performance of machine learning approaches on prediction of esophageal varices for Egyptian chronic hepatitis C patients;2-s2.0-85075209594;10.1016/j.imu.2019.100267;Article;2019;vascular surgery
Using multiple classifiers for predicting the risk of endovascular aortic aneurysm repair re-intervention through hybrid feature selection;2-s2.0-85030761580;10.1177/0954411917731592;Article;2017;vascular surgery
