Title;EID;DOI;DocumentType;Year;Disease;Category
A smart healthcare monitoring system for heart disease prediction based on ensemble deep learning and feature fusion;2-s2.0-85087655069;10.1016/j.inffus.2020.06.008;Article;2020;heart diseases;cardiology
A smart healthcare monitoring system for heart disease prediction based on ensemble deep learning and feature fusion;2-s2.0-85087655069;10.1016/j.inffus.2020.06.008;Article;2020;heart disease;cardiology
Optimal feature level fusion based ANFIS classifier for brain MRI image classification;2-s2.0-85052648478;10.1002/cpe.4887;Conference Paper;2020;brain tumor;neurosurgery
DeepSeg: deep neural network framework for automatic brain tumor segmentation using magnetic resonance FLAIR images;2-s2.0-85085154586;10.1007/s11548-020-02186-z;Article;2020;brain tumors;neurosurgery
DeepSeg: deep neural network framework for automatic brain tumor segmentation using magnetic resonance FLAIR images;2-s2.0-85085154586;10.1007/s11548-020-02186-z;Article;2020;brain tumor;neurosurgery
Deep Multi-Scale 3D Convolutional Neural Network (CNN) for MRI Gliomas Brain Tumor Classification;2-s2.0-85085353964;10.1007/s10278-020-00347-9;Article;2020;brain tumor;neurosurgery
Generalization of Convolutional Neural Networks for ECG Classification Using Generative Adversarial Networks;2-s2.0-85080894221;10.1109/ACCESS.2020.2974712;Article;2020;heart diseases;cardiology
Generalization of Convolutional Neural Networks for ECG Classification Using Generative Adversarial Networks;2-s2.0-85080894221;10.1109/ACCESS.2020.2974712;Article;2020;Arrhythmia;rhythmology
Generalization of Convolutional Neural Networks for ECG Classification Using Generative Adversarial Networks;2-s2.0-85080894221;10.1109/ACCESS.2020.2974712;Article;2020;arrhythmia;rhythmology
Generalization of Convolutional Neural Networks for ECG Classification Using Generative Adversarial Networks;2-s2.0-85080894221;10.1109/ACCESS.2020.2974712;Article;2020;heart disease;cardiology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;Arrhythmia;rhythmology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;arrhythmia;rhythmology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;encephalitis;neurology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;hypoxia;medical toxicology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;venous thromboembolism;cardiology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;Venous Thromboembolism;cardiology
COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review;2-s2.0-85090163898;10.1016/j.compbiomed.2020.103960;Review;2020;lung injury;pulmonology
Fully automatic brain tumor segmentation with deep learning-based selective attention using overlapping patches and multi-class weighted cross-entropy;2-s2.0-85084600417;10.1016/j.media.2020.101692;Article;2020;brain tumors;neurosurgery
Fully automatic brain tumor segmentation with deep learning-based selective attention using overlapping patches and multi-class weighted cross-entropy;2-s2.0-85084600417;10.1016/j.media.2020.101692;Article;2020;brain tumor;neurosurgery
