name,specialtylabel
binge-eating disorder,psychiatry
delirium tremens,psychiatry
delirium,psychiatry
hypomania,psychiatry
hysteria,psychiatry
tobacco use disorder,psychiatry
nicotine dependence,psychiatry
tobacco addiction,psychiatry
tobacco dependence,psychiatry
acute confusional state,psychiatry
بیماری اختلال خلقی دوقطبی چهار نوع دارد که نوع یک آن(BMD/I),psychiatry
BED,psychiatry
binge eating disorder,psychiatry
psychogenic overeating,psychiatry
alcohol withdrawal associated autonomic hyperactivity,psychiatry
alcohol withdrawal delirium,psychiatry
alcohol withdrawal hallucinosis,psychiatry
alcohol withdrawal induced delirium Tremens,psychiatry
alcohol withdrawal-induced delirium Tremens,psychiatry
alcoholic delirium,psychiatry
barrel fever,psychiatry
"delirium tremens,alcohol withdrawal induced",psychiatry
gallon distemper,psychiatry
"hallucinosis, alcohol withdrawal",psychiatry
mental and behavioral disorder due to use of alcohol: withdrawal state with delirium (disorder),psychiatry
obsolete alcohol withdrawal delirium,psychiatry
ork orks,psychiatry
pint paralysis,psychiatry
quart mania,psychiatry
seeing pink elephants,psychiatry
the 750 itch,psychiatry
the bottleache,psychiatry
the Brooklyn Boys,psychiatry
the horrors,psychiatry
the shakes,psychiatry
the zoots,psychiatry
DTs,psychiatry
Hypermobility syndrome,genetics
Dementia pugilistica,psychiatry
thought disorder,psychiatry
Charles Bonnet syndrome,psychiatry
primary polydipsia,psychiatry
fugue state,psychiatry
Cotard delusion,psychiatry
caffeine dependence,psychiatry
Chronic traumatic encephalopathy,psychiatry
CTE,psychiatry
formal thought disorder,psychiatry
thought disorders,psychiatry
CBS,psychiatry
charles bonnet syndrome,psychiatry
"polydipsia, psychogenic",psychiatry
psychogenic polydipsia,psychiatry
Cotard's syndrome,psychiatry
walking corpse syndrome,psychiatry
Cotard's delusion,psychiatry
caffeine poisoning,psychiatry
caffeine addiction,psychiatry
hypermobility syndrome,genetics
reading/writing disorder,neuropsychology
dysarthria,neuropsychology
hamartoma,pathology
stupor,psychiatry
nocturnal enuresis,psychiatry
stuporous state,psychiatry
Nocturnal Enuresis,psychiatry
bedwetting,psychiatry
"enuresis, nocturnal",psychiatry
Sleep Enuresis,psychiatry
Hamartoma,pathology
hamartoma (disorder),pathology
